iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,1,machine_name,1.9,2.3,0.0,94.2,0.0,0.0,1.6,0.0,5.8,8012552
4,1,machine_name,6.5,2.8,0.0,88.8,0.0,0.0,2.0,0.0,11.3,8012552
6,1,machine_name,5.6,2.7,0.0,90.3,0.0,0.0,1.5,0.0,9.8,8012472
8,1,machine_name,10.4,3.0,0.0,84.9,0.5,0.0,1.2,0.0,15.1,8012472
10,1,machine_name,7.5,2.6,0.0,88.0,0.0,0.0,1.8,0.0,11.9,8012472
12,1,machine_name,7.5,3.2,0.0,87.2,0.0,0.0,2.0,0.0,12.7,8013676
14,1,machine_name,8.7,3.6,0.0,86.0,0.0,0.0,1.7,0.0,14.0,8013676
16,1,machine_name,6.4,2.8,0.0,89.3,0.1,0.0,1.3,0.0,10.6,8013676
18,1,machine_name,5.8,3.0,0.0,88.5,0.8,0.0,1.9,0.0,11.5,8013084
20,1,machine_name,7.6,2.1,0.0,88.5,0.0,0.0,1.8,0.0,11.5,8013084
