iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-27,01:56:59,0.5,LocalHost,89.1,16674512896,8916996096,46.5,7254966272,4005314560,5110751232,1401495552,1416122368,3998109696,168763392
1,2022-01-27,01:56:59,0.5,LocalHost,99.5,16674512896,8815325184,47.1,7356391424,3903565824,5111533568,1401499648,1416126464,3998429184,169009152
2,2022-01-27,01:57:00,0.5,LocalHost,87.2,16674512896,8808787968,47.2,7362932736,3897008128,5111545856,1401499648,1416134656,3998437376,169009152
3,2022-01-27,01:57:00,0.5,LocalHost,41.3,16674512896,8816525312,47.1,7364472832,3904745472,5111545856,1401618432,1416134656,3989159936,159727616
4,2022-01-27,01:57:01,0.5,LocalHost,21.8,16674512896,8816787456,47.1,7364370432,3905007616,5111545856,1401499648,1416134656,3989000192,159567872
5,2022-01-27,01:57:01,0.5,LocalHost,19.2,16674512896,8816529408,47.1,7364628480,3904749568,5111545856,1401499648,1416134656,3989000192,159567872
6,2022-01-27,01:57:02,0.5,LocalHost,17.8,16674512896,8816529408,47.1,7364628480,3904749568,5111545856,1401499648,1416134656,3989000192,159567872
7,2022-01-27,01:57:02,0.5,LocalHost,21.4,16674512896,8815845376,47.1,7365308416,3904065536,5111279616,1401499648,1416134656,3989004288,159567872
8,2022-01-27,01:57:03,0.5,LocalHost,21.9,16674512896,8816013312,47.1,7365140480,3904233472,5111214080,1401499648,1416134656,3989004288,159567872
9,2022-01-27,01:57:03,0.5,LocalHost,21.7,16674512896,8815620096,47.1,7365525504,3903717376,5111558144,1401622528,1416134656,3989135360,159567872
10,2022-01-27,01:57:04,0.5,LocalHost,18.8,16674512896,8815636480,47.1,7365521408,3903717376,5111562240,1401634816,1416138752,3989135360,159567872
11,2022-01-27,01:57:04,0.5,LocalHost,22.0,16674512896,8815640576,47.1,7365521408,3903717376,5111562240,1401638912,1416138752,3989135360,159567872
