iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-07,22:06:36,0.5,LocalHost,91.2,16674512896,4247973888,74.5,11851051008,228941824,8055316480,1328406528,808771584,3785748480,240201728
1,2022-02-07,22:06:36,0.5,LocalHost,99.3,16674512896,4189736960,74.9,11909287936,170704896,8055316480,1328406528,808779776,3785740288,240201728
2,2022-02-07,22:06:37,0.5,LocalHost,95.7,16674512896,4159479808,75.1,11948421120,160276480,8044580864,1321050112,803016704,3762798592,231317504
3,2022-02-07,22:06:37,0.5,LocalHost,59.5,16674512896,4157779968,75.1,11950252032,177885184,8034578432,1312788480,797216768,3749158912,231317504
4,2022-02-07,22:06:38,0.5,LocalHost,37.0,16674512896,4158382080,75.1,11949531136,178892800,8034275328,1312833536,797216768,3748872192,231317504
5,2022-02-07,22:06:38,0.5,LocalHost,33.4,16674512896,4157341696,75.1,11950571520,177852416,8034336768,1312833536,797216768,3748872192,231317504
6,2022-02-07,22:06:39,0.5,LocalHost,38.7,16674512896,4149157888,75.1,11950247936,169275392,8034271232,1312972800,797216768,3757772800,239837184
7,2022-02-07,22:06:39,0.5,LocalHost,39.2,16674512896,4149022720,75.1,11950231552,169140224,8034271232,1312972800,797216768,3757924352,239988736
8,2022-02-07,22:06:40,0.5,LocalHost,35.2,16674512896,4149051392,75.1,11949989888,169168896,8033943552,1312972800,797216768,3758137344,240201728
9,2022-02-07,22:06:40,0.5,LocalHost,33.4,16674512896,4149051392,75.1,11949989888,169168896,8033943552,1312972800,797216768,3758137344,240201728
10,2022-02-07,22:06:41,0.5,LocalHost,40.5,16674512896,4149063680,75.1,11949969408,169168896,8033996800,1312980992,797241344,3758133248,240201728
11,2022-02-07,22:06:41,0.5,LocalHost,44.1,16674512896,4149477376,75.1,11949547520,169582592,8033996800,1312980992,797257728,3758125056,240201728
12,2022-02-07,22:06:42,0.5,LocalHost,38.3,16674512896,4149358592,75.1,11949654016,169451520,8034058240,1312931840,797265920,3758141440,240201728
13,2022-02-07,22:06:42,0.5,LocalHost,35.2,16674512896,4150329344,75.1,11948683264,170422272,8034283520,1312931840,797265920,3758141440,240201728
14,2022-02-07,22:06:43,0.5,LocalHost,37.2,16674512896,4150149120,75.1,11948867584,170233856,8034066432,1312931840,797265920,3758145536,240201728
15,2022-02-07,22:06:43,0.5,LocalHost,42.4,16674512896,4150165504,75.1,11948863488,170237952,8034050048,1312931840,797265920,3758145536,240201728
16,2022-02-07,22:06:44,0.5,LocalHost,40.4,16674512896,4150280192,75.1,11948761088,170340352,8034091008,1312931840,797265920,3758145536,240201728
17,2022-02-07,22:06:44,0.5,LocalHost,40.5,16674512896,4150280192,75.1,11948761088,170127360,8034091008,1312931840,797265920,3758358528,240201728
18,2022-02-07,22:06:45,0.5,LocalHost,40.1,16674512896,4150272000,75.1,11948765184,170119168,8034091008,1312931840,797265920,3758362624,240201728
19,2022-02-07,22:06:45,0.5,LocalHost,43.5,16674512896,4150272000,75.1,11948765184,170119168,8034091008,1312931840,797265920,3758362624,240201728
20,2022-02-07,22:06:46,0.5,LocalHost,40.9,16674512896,4150272000,75.1,11948748800,170119168,8034091008,1312931840,797282304,3758362624,240201728
21,2022-02-07,22:06:46,0.5,LocalHost,40.6,16674512896,4150304768,75.1,11948707840,170151936,8034091008,1312931840,797290496,3758362624,240201728
