iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-05,12:49:28,0.5,LocalHost,87.2,16679079936,4499927040,73.0,11647188992,1527980032,3159949312,1113694208,319262720,3184648192,197652480
1,2022-01-05,12:49:29,0.5,LocalHost,96.7,16679079936,4499673088,73.0,11647442944,1527721984,3158884352,1113694208,319262720,3184652288,197652480
2,2022-01-05,12:49:29,0.5,LocalHost,96.5,16679079936,4498317312,73.0,11648802816,1526358016,3158405120,1113702400,319262720,3184656384,197652480
3,2022-01-05,12:49:30,0.5,LocalHost,90.0,16679079936,4487307264,73.1,11659812864,1515347968,3159183360,1113702400,319262720,3184656384,197652480
4,2022-01-05,12:49:30,0.5,LocalHost,78.7,16679079936,4487090176,73.1,11660017664,1515130880,3159076864,1113702400,319283200,3184648192,197652480
5,2022-01-05,12:49:31,0.5,LocalHost,68.7,16679079936,4487090176,73.1,11660009472,1515130880,3159076864,1113702400,319299584,3184640000,197652480
6,2022-01-05,12:49:31,0.5,LocalHost,57.6,16679079936,4487434240,73.1,11659677696,1515446272,3158282240,1113702400,319299584,3184656384,197652480
7,2022-01-05,12:49:32,0.5,LocalHost,57.0,16679079936,4487401472,73.1,11659710464,1515413504,3158282240,1113702400,319299584,3184656384,197652480
8,2022-01-05,12:49:32,0.5,LocalHost,50.0,16679079936,4487467008,73.1,11659640832,1515479040,3158306816,1113702400,319299584,3184660480,197652480
9,2022-01-05,12:49:33,0.5,LocalHost,58.6,16679079936,4488597504,73.1,11658510336,1516609536,3157774336,1113702400,319299584,3184660480,197652480
10,2022-01-05,12:49:33,0.5,LocalHost,48.6,16679079936,4488785920,73.1,11658309632,1516785664,3157463040,1113706496,319324160,3184660480,197652480
11,2022-01-05,12:49:34,0.5,LocalHost,50.0,16679079936,4489699328,73.1,11657396224,1517699072,3157831680,1113706496,319332352,3184652288,197652480
12,2022-01-05,12:49:34,0.5,LocalHost,48.8,16679079936,4489728000,73.1,11657392128,1517559808,3157495808,1113841664,319332352,3184795648,197652480
13,2022-01-05,12:49:35,0.5,LocalHost,53.2,16679079936,4489474048,73.1,11657646080,1517301760,3157495808,1113841664,319332352,3184799744,197652480
14,2022-01-05,12:49:35,0.5,LocalHost,57.2,16679079936,4489216000,73.1,11657895936,1517043712,3157536768,1113841664,319348736,3184791552,197652480
15,2022-01-05,12:49:36,0.5,LocalHost,55.4,16679079936,4489220096,73.1,11657879552,1517043712,3157401600,1113841664,319365120,3184791552,197652480
16,2022-01-05,12:49:36,0.5,LocalHost,60.1,16679079936,4488437760,73.1,11658670080,1516236800,3157602304,1113845760,319365120,3184807936,197652480
17,2022-01-05,12:49:37,0.5,LocalHost,43.5,16679079936,4488470528,73.1,11658637312,1516269568,3157602304,1113845760,319365120,3184807936,197652480
