iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-01,16:51:10,0.5,LocalHost,91.5,16674512896,5475414016,67.2,10567786496,655679488,7704059904,1580306432,793587712,4657459200,296202240
1,2022-02-01,16:51:10,0.5,LocalHost,99.5,16674512896,5395005440,67.6,10647937024,575528960,7704059904,1580306432,793608192,4657438720,296202240
2,2022-02-01,16:51:11,0.5,LocalHost,94.4,16674512896,5399834624,67.6,10663034880,580091904,7704059904,1580306432,793620480,4637765632,276500480
3,2022-02-01,16:51:11,0.5,LocalHost,40.6,16674512896,5400010752,67.6,10662989824,580231168,7704109056,1580302336,793620480,4637671424,276402176
4,2022-02-01,16:51:12,0.5,LocalHost,23.6,16674512896,5396639744,67.6,10666377216,576843776,7704301568,1580310528,793620480,4637671424,276402176
5,2022-02-01,16:51:12,0.5,LocalHost,26.1,16674512896,5396639744,67.6,10666377216,576843776,7704301568,1580310528,793620480,4637671424,276402176
6,2022-02-01,16:51:13,0.5,LocalHost,26.2,16674512896,5393276928,67.7,10669740032,573480960,7708295168,1580310528,793620480,4637671424,276402176
7,2022-02-01,16:51:13,0.5,LocalHost,26.2,16674512896,5395865600,67.6,10667151360,576069632,7704305664,1580310528,793620480,4637671424,276402176
8,2022-02-01,16:51:14,0.5,LocalHost,25.8,16674512896,5395865600,67.6,10667147264,576069632,7704305664,1580310528,793620480,4637675520,276402176
9,2022-02-01,16:51:14,0.5,LocalHost,24.7,16674512896,5395865600,67.6,10667147264,576069632,7704305664,1580310528,793620480,4637675520,276402176
10,2022-02-01,16:51:15,0.5,LocalHost,24.5,16674512896,5395865600,67.6,10667143168,576069632,7704305664,1580310528,793624576,4637675520,276402176
11,2022-02-01,16:51:15,0.5,LocalHost,24.6,16674512896,5395865600,67.6,10667139072,576069632,7704305664,1580310528,793624576,4637679616,276402176
12,2022-02-01,16:51:16,0.5,LocalHost,21.4,16674512896,5395869696,67.6,10667126784,576069632,7704305664,1580310528,793636864,4637679616,276402176
13,2022-02-01,16:51:16,0.5,LocalHost,19.4,16674512896,5395869696,67.6,10667106304,576069632,7704367104,1580310528,793653248,4637683712,276402176
14,2022-02-01,16:51:17,0.5,LocalHost,19.7,16674512896,5395611648,67.6,10667372544,575795200,7704420352,1580314624,793661440,4637683712,276402176
15,2022-02-01,16:51:17,0.5,LocalHost,20.6,16674512896,5395611648,67.6,10667372544,575795200,7704420352,1580314624,793661440,4637683712,276402176
16,2022-02-01,16:51:18,0.5,LocalHost,21.1,16674512896,5395611648,67.6,10667372544,575795200,7704420352,1580314624,793661440,4637683712,276402176
17,2022-02-01,16:51:18,0.5,LocalHost,22.6,16674512896,5395947520,67.6,10667036672,576131072,7704465408,1580314624,793661440,4637683712,276402176
18,2022-02-01,16:51:19,0.5,LocalHost,18.3,16674512896,5396164608,67.6,10666852352,576311296,7704469504,1580318720,793661440,4637687808,276402176
19,2022-02-01,16:51:19,0.5,LocalHost,23.3,16674512896,5396164608,67.6,10666852352,576311296,7704469504,1580318720,793661440,4637687808,276402176
20,2022-02-01,16:51:20,0.5,LocalHost,25.1,16674512896,5396287488,67.6,10666721280,576311296,7704469504,1580441600,793661440,4637818880,276402176
21,2022-02-01,16:51:20,0.5,LocalHost,22.4,16674512896,5396287488,67.6,10666721280,576311296,7704469504,1580441600,793665536,4637814784,276402176
22,2022-02-01,16:51:21,0.5,LocalHost,26.6,16674512896,5396520960,67.6,10666475520,576544768,7704469504,1580441600,793673728,4637818880,276402176
23,2022-02-01,16:51:21,0.5,LocalHost,24.8,16674512896,5396561920,67.6,10666446848,576569344,7704383488,1580449792,793677824,4637818880,276402176
24,2022-02-01,16:51:22,0.5,LocalHost,27.0,16674512896,5395574784,67.6,10667433984,575569920,7704563712,1580449792,793694208,4637814784,276402176
25,2022-02-01,16:51:22,0.5,LocalHost,21.4,16674512896,5395574784,67.6,10667425792,575569920,7704563712,1580449792,793702400,4637814784,276402176
26,2022-02-01,16:51:23,0.5,LocalHost,30.1,16674512896,5395574784,67.6,10667413504,575569920,7704563712,1580449792,793702400,4637827072,276402176
27,2022-02-01,16:51:23,0.5,LocalHost,22.3,16674512896,5396127744,67.6,10666889216,576094208,7704588288,1580453888,793702400,4637827072,276402176
28,2022-02-01,16:51:24,0.5,LocalHost,20.3,16674512896,5396119552,67.6,10666893312,576086016,7704588288,1580453888,793702400,4637831168,276402176
29,2022-02-01,16:51:24,0.5,LocalHost,21.7,16674512896,5396119552,67.6,10666893312,576086016,7704588288,1580453888,793702400,4637831168,276402176
