iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-04,23:37:12,0.5,LocalHost,88.4,16679079936,9510965248,43.0,6679261184,8633421824,2030338048,428421120,274690048,1091706880,188149760
1,2022-01-04,23:37:12,0.5,LocalHost,99.8,16679079936,9410437120,43.6,6779760640,8532893696,2029432832,428421120,274714624,1091710976,188149760
2,2022-01-04,23:37:13,0.5,LocalHost,88.9,16679079936,9402081280,43.6,6788124672,8524505088,2029424640,428425216,274722816,1091727360,188149760
3,2022-01-04,23:37:13,0.5,LocalHost,29.2,16679079936,9401622528,43.6,6788624384,8524005376,2028924928,428417024,274722816,1091727360,188149760
4,2022-01-04,23:37:14,0.5,LocalHost,27.9,16679079936,9402986496,43.6,6787260416,8525369344,2026815488,428417024,274722816,1091727360,188149760
5,2022-01-04,23:37:14,0.5,LocalHost,13.6,16679079936,9402851328,43.6,6787399680,8525225984,2025922560,428425216,274722816,1091731456,188149760
6,2022-01-04,23:37:15,0.5,LocalHost,13.4,16679079936,9402683392,43.6,6787567616,8525058048,2026106880,428425216,274722816,1091731456,188149760
7,2022-01-04,23:37:15,0.5,LocalHost,15.0,16679079936,9402859520,43.6,6787391488,8525234176,2026094592,428425216,274722816,1091731456,188149760
8,2022-01-04,23:37:16,0.5,LocalHost,13.0,16679079936,9402859520,43.6,6787391488,8525234176,2026094592,428425216,274722816,1091731456,188149760
9,2022-01-04,23:37:16,0.5,LocalHost,15.2,16679079936,9402859520,43.6,6787391488,8525234176,2026094592,428425216,274722816,1091731456,188149760
10,2022-01-04,23:37:17,0.5,LocalHost,15.0,16679079936,9402810368,43.6,6787436544,8525185024,2026094592,428425216,274731008,1091727360,188149760
11,2022-01-04,23:37:17,0.5,LocalHost,14.2,16679079936,9402572800,43.6,6787657728,8524943360,2026094592,428425216,274739200,1091739648,188149760
12,2022-01-04,23:37:18,0.5,LocalHost,15.0,16679079936,9403625472,43.6,6786621440,8525971456,2026135552,428425216,274755584,1091731456,188149760
13,2022-01-04,23:37:18,0.5,LocalHost,14.7,16679079936,9403891712,43.6,6786347008,8526233600,2026119168,428429312,274771968,1091727360,188149760
14,2022-01-04,23:37:19,0.5,LocalHost,15.5,16679079936,9403891712,43.6,6786347008,8526233600,2026119168,428429312,274771968,1091727360,188149760
15,2022-01-04,23:37:19,0.5,LocalHost,15.3,16679079936,9402957824,43.6,6787231744,8525201408,2026078208,428515328,274771968,1091874816,188149760
16,2022-01-04,23:37:20,0.5,LocalHost,15.6,16679079936,9402281984,43.6,6787915776,8524517376,2026102784,428519424,274771968,1091874816,188149760
17,2022-01-04,23:37:20,0.5,LocalHost,14.7,16679079936,9402499072,43.6,6787747840,8524685312,2026139648,428564480,274771968,1091874816,188149760
18,2022-01-04,23:37:21,0.5,LocalHost,12.9,16679079936,9402499072,43.6,6787747840,8524685312,2026139648,428564480,274771968,1091874816,188149760
19,2022-01-04,23:37:21,0.5,LocalHost,15.6,16679079936,9402499072,43.6,6787743744,8524685312,2026139648,428564480,274771968,1091878912,188149760
20,2022-01-04,23:37:22,0.5,LocalHost,15.2,16679079936,9402499072,43.6,6787743744,8524685312,2026139648,428564480,274771968,1091878912,188149760
21,2022-01-04,23:37:22,0.5,LocalHost,11.3,16679079936,9402499072,43.6,6787743744,8524685312,2026139648,428564480,274780160,1091870720,188149760
22,2022-01-04,23:37:23,0.5,LocalHost,15.6,16679079936,9402499072,43.6,6787743744,8524685312,2026139648,428564480,274796544,1091854336,188149760
23,2022-01-04,23:37:23,0.5,LocalHost,13.0,16679079936,9402499072,43.6,6787710976,8524685312,2026139648,428564480,274812928,1091870720,188149760
24,2022-01-04,23:37:24,0.5,LocalHost,11.6,16679079936,9402535936,43.6,6787698688,8524685312,2026176512,428564480,274837504,1091858432,188149760
25,2022-01-04,23:37:24,0.5,LocalHost,15.2,16679079936,9402302464,43.6,6787932160,8524427264,2026237952,428564480,274837504,1091883008,188149760
26,2022-01-04,23:37:25,0.5,LocalHost,15.9,16679079936,9401376768,43.6,6788853760,8523501568,2026504192,428564480,274837504,1091887104,188149760
27,2022-01-04,23:37:25,0.5,LocalHost,14.0,16679079936,9401544704,43.6,6788702208,8523653120,2026209280,428572672,274837504,1091887104,188149760
28,2022-01-04,23:37:26,0.5,LocalHost,14.1,16679079936,9401544704,43.6,6788702208,8523653120,2026209280,428572672,274837504,1091887104,188149760
29,2022-01-04,23:37:26,0.5,LocalHost,11.1,16679079936,9401548800,43.6,6788698112,8523653120,2026209280,428576768,274837504,1091891200,188149760
30,2022-01-04,23:37:27,0.5,LocalHost,15.1,16679079936,9399848960,43.6,6790397952,8521953280,2027274240,428576768,274837504,1091891200,188149760
31,2022-01-04,23:37:27,0.5,LocalHost,15.6,16679079936,9400344576,43.6,6789902336,8522444800,2026213376,428580864,274837504,1091895296,188149760
32,2022-01-04,23:37:28,0.5,LocalHost,18.4,16679079936,9400344576,43.6,6789894144,8522444800,2026201088,428580864,274845696,1091895296,188149760
33,2022-01-04,23:37:28,0.5,LocalHost,11.6,16679079936,9400520704,43.6,6789705728,8522620928,2026196992,428580864,274862080,1091891200,188149760
34,2022-01-04,23:37:29,0.5,LocalHost,12.7,16679079936,9400520704,43.6,6789693440,8522620928,2026196992,428580864,274878464,1091887104,188149760
35,2022-01-04,23:37:29,0.5,LocalHost,14.0,16679079936,9400299520,43.6,6789910528,8522362880,2026250240,428584960,274903040,1091903488,188149760
36,2022-01-04,23:37:30,0.5,LocalHost,14.4,16679079936,9401196544,43.6,6789013504,8523259904,2026250240,428584960,274903040,1091903488,188149760
37,2022-01-04,23:37:30,0.5,LocalHost,11.5,16679079936,9401356288,43.6,6788878336,8523395072,2026254336,428580864,274903040,1091903488,188149760
38,2022-01-04,23:37:31,0.5,LocalHost,14.7,16679079936,9401356288,43.6,6788878336,8523395072,2026254336,428580864,274903040,1091903488,188149760
39,2022-01-04,23:37:31,0.5,LocalHost,14.5,16679079936,9401356288,43.6,6788874240,8523395072,2026254336,428580864,274903040,1091907584,188149760
40,2022-01-04,23:37:32,0.5,LocalHost,14.9,16679079936,9401356288,43.6,6788874240,8523395072,2026254336,428580864,274903040,1091907584,188149760
41,2022-01-04,23:37:32,0.5,LocalHost,12.8,16679079936,9401356288,43.6,6788874240,8523395072,2026254336,428580864,274903040,1091907584,188149760
42,2022-01-04,23:37:33,0.5,LocalHost,13.5,16679079936,9401356288,43.6,6788874240,8523395072,2026254336,428580864,274903040,1091907584,188149760
43,2022-01-04,23:37:33,0.5,LocalHost,10.2,16679079936,9401356288,43.6,6788870144,8523395072,2026254336,428580864,274911232,1091903488,188149760
44,2022-01-04,23:37:34,0.5,LocalHost,16.4,16679079936,9401397248,43.6,6788845568,8523395072,2026283008,428593152,274927616,1091911680,188149760
45,2022-01-04,23:37:34,0.5,LocalHost,16.9,16679079936,9401921536,43.6,6788321280,8523911168,2026274816,428589056,274944000,1091903488,188149760
46,2022-01-04,23:37:35,0.5,LocalHost,17.0,16679079936,9398304768,43.7,6791925760,8520290304,2030297088,428593152,274968576,1091895296,188149760
47,2022-01-04,23:37:35,0.5,LocalHost,13.7,16679079936,9401958400,43.6,6788284416,8523911168,2026328064,428593152,274968576,1091915776,188149760
48,2022-01-04,23:37:36,0.5,LocalHost,15.7,16679079936,9401958400,43.6,6788280320,8523911168,2026328064,428593152,274968576,1091919872,188149760
49,2022-01-04,23:37:36,0.5,LocalHost,19.3,16679079936,9403596800,43.6,6786641920,8525549568,2026328064,428593152,274968576,1091919872,188149760
50,2022-01-04,23:37:37,0.5,LocalHost,12.4,16679079936,9403846656,43.6,6786392064,8525799424,2026328064,428593152,274968576,1091919872,188149760
51,2022-01-04,23:37:37,0.5,LocalHost,15.0,16679079936,9403478016,43.6,6786764800,8525426688,2026328064,428597248,274968576,1091919872,188149760
52,2022-01-04,23:37:38,0.5,LocalHost,16.4,16679079936,9403478016,43.6,6786764800,8525426688,2026328064,428597248,274968576,1091919872,188149760
53,2022-01-04,23:37:38,0.5,LocalHost,15.9,16679079936,9403478016,43.6,6786760704,8525426688,2026328064,428597248,274968576,1091923968,188149760
54,2022-01-04,23:37:39,0.5,LocalHost,13.0,16679079936,9403478016,43.6,6786752512,8525426688,2026328064,428597248,274976768,1091923968,188149760
55,2022-01-04,23:37:39,0.5,LocalHost,13.7,16679079936,9403461632,43.6,6786760704,8525410304,2026496000,428597248,275001344,1091907584,188149760
56,2022-01-04,23:37:40,0.5,LocalHost,13.5,16679079936,9403469824,43.6,6786752512,8525418496,2026291200,428597248,275009536,1091899392,188149760
57,2022-01-04,23:37:40,0.5,LocalHost,15.5,16679079936,9403895808,43.6,6786297856,8525684736,2026352640,428732416,275034112,1092063232,188149760
58,2022-01-04,23:37:41,0.5,LocalHost,18.0,16679079936,9403895808,43.6,6786297856,8525684736,2026352640,428732416,275034112,1092063232,188149760
59,2022-01-04,23:37:41,0.5,LocalHost,18.4,16679079936,9403895808,43.6,6786297856,8525684736,2026352640,428732416,275034112,1092063232,188149760
60,2022-01-04,23:37:42,0.5,LocalHost,13.3,16679079936,9403895808,43.6,6786297856,8525684736,2026352640,428732416,275034112,1092063232,188149760
61,2022-01-04,23:37:42,0.5,LocalHost,13.9,16679079936,9403895808,43.6,6786297856,8525684736,2026352640,428732416,275034112,1092063232,188149760
62,2022-01-04,23:37:43,0.5,LocalHost,12.4,16679079936,9403944960,43.6,6786244608,8525733888,2026352640,428732416,275034112,1092067328,188149760
63,2022-01-04,23:37:43,0.5,LocalHost,14.3,16679079936,9403904000,43.6,6786285568,8525692928,2026352640,428732416,275034112,1092067328,188149760
64,2022-01-04,23:37:44,0.5,LocalHost,15.2,16679079936,9403949056,43.6,6786285568,8525692928,2026393600,428736512,275034112,1092067328,188149760
65,2022-01-04,23:37:44,0.5,LocalHost,14.5,16679079936,9403179008,43.6,6787051520,8524918784,2026184704,428740608,275058688,1092050944,188149760
66,2022-01-04,23:37:45,0.5,LocalHost,15.6,16679079936,9403428864,43.6,6786801664,8525168640,2025922560,428740608,275066880,1092042752,188149760
67,2022-01-04,23:37:45,0.5,LocalHost,16.5,16679079936,9403731968,43.6,6786494464,8525434880,2026115072,428748800,275075072,1092075520,188149760
68,2022-01-04,23:37:46,0.5,LocalHost,13.9,16679079936,9403232256,43.6,6786985984,8524918784,2026434560,428748800,275099648,1092075520,188149760
69,2022-01-04,23:37:46,0.5,LocalHost,15.5,16679079936,9403232256,43.6,6786985984,8524918784,2026434560,428748800,275099648,1092075520,188149760
70,2022-01-04,23:37:47,0.5,LocalHost,20.6,16679079936,9403232256,43.6,6786985984,8524918784,2026434560,428748800,275099648,1092075520,188149760
71,2022-01-04,23:37:47,0.5,LocalHost,13.3,16679079936,9403232256,43.6,6786985984,8524918784,2026434560,428748800,275099648,1092075520,188149760
72,2022-01-04,23:37:48,0.5,LocalHost,14.8,16679079936,9403232256,43.6,6786985984,8524918784,2026434560,428748800,275099648,1092075520,188149760
73,2022-01-04,23:37:48,0.5,LocalHost,16.4,16679079936,9403232256,43.6,6786981888,8524918784,2026434560,428748800,275099648,1092079616,188149760
74,2022-01-04,23:37:49,0.5,LocalHost,17.7,16679079936,9403232256,43.6,6786981888,8524918784,2026434560,428748800,275099648,1092079616,188149760
75,2022-01-04,23:37:49,0.5,LocalHost,20.1,16679079936,9403514880,43.6,6786715648,8525168640,2026487808,428752896,275116032,1092079616,188149760
76,2022-01-04,23:37:50,0.5,LocalHost,18.7,16679079936,9403514880,43.6,6786715648,8525168640,2026487808,428752896,275124224,1092071424,188149760
77,2022-01-04,23:37:50,0.5,LocalHost,18.2,16679079936,9403023360,43.6,6787211264,8524652544,2026483712,428756992,275132416,1092083712,188149760
78,2022-01-04,23:37:51,0.5,LocalHost,18.1,16679079936,9403023360,43.6,6787203072,8524652544,2026483712,428756992,275140608,1092083712,188149760
