iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-08,00:13:40,0.5,LocalHost,85.1,16674512896,3626962944,78.2,12479107072,174829568,7476633600,1199394816,846184448,3174391808,231813120
1,2022-02-08,00:13:40,0.5,LocalHost,64.3,16674512896,3622797312,78.3,12483276800,176332800,7473098752,1198891008,844546048,3170357248,231813120
2,2022-02-08,00:13:41,0.5,LocalHost,40.8,16674512896,3624042496,78.3,12482170880,178720768,7472660480,1198698496,844320768,3169300480,231813120
3,2022-02-08,00:13:41,0.5,LocalHost,41.4,16674512896,3624378368,78.3,12481855488,179236864,7472435200,1198813184,844320768,3169099776,231813120
4,2022-02-08,00:13:42,0.5,LocalHost,33.6,16674512896,3624087552,78.3,12482146304,178946048,7472496640,1198813184,844320768,3169099776,231813120
5,2022-02-08,00:13:42,0.5,LocalHost,29.6,16674512896,3624087552,78.3,12482146304,178946048,7472496640,1198813184,844320768,3169099776,231813120
6,2022-02-08,00:13:43,0.5,LocalHost,39.6,16674512896,3623849984,78.3,12482383872,178688000,7472553984,1198813184,844345344,3169095680,231813120
7,2022-02-08,00:13:43,0.5,LocalHost,38.0,16674512896,3625226240,78.3,12481011712,180056064,7472746496,1198546944,844345344,3169099776,231813120
8,2022-02-08,00:13:44,0.5,LocalHost,41.0,16674512896,3625402368,78.3,12480843776,180187136,7472132096,1198530560,844345344,3169136640,231813120
9,2022-02-08,00:13:44,0.5,LocalHost,42.6,16674512896,3625402368,78.3,12480843776,180187136,7472132096,1198530560,844353536,3169128448,231813120
10,2022-02-08,00:13:45,0.5,LocalHost,44.7,16674512896,3626450944,78.3,12479787008,181219328,7472173056,1198530560,844378112,3169128448,231813120
11,2022-02-08,00:13:45,0.5,LocalHost,44.5,16674512896,3626450944,78.3,12479774720,181219328,7472173056,1198530560,844386304,3169132544,231813120
12,2022-02-08,00:13:46,0.5,LocalHost,50.1,16674512896,3625938944,78.3,12480270336,180703232,7472996352,1198534656,844398592,3169140736,231813120
13,2022-02-08,00:13:46,0.5,LocalHost,42.0,16674512896,3625938944,78.3,12480270336,180703232,7472996352,1198534656,844398592,3169140736,231813120
14,2022-02-08,00:13:47,0.5,LocalHost,37.1,16674512896,3625938944,78.3,12480270336,180572160,7473094656,1198534656,844398592,3169271808,231813120
15,2022-02-08,00:13:47,0.5,LocalHost,34.0,16674512896,3626061824,78.3,12480139264,180572160,7473098752,1198653440,844398592,3169402880,231813120
16,2022-02-08,00:13:48,0.5,LocalHost,33.2,16674512896,3626115072,78.3,12480094208,180613120,7473147904,1198665728,844398592,3169406976,231813120
17,2022-02-08,00:13:48,0.5,LocalHost,36.9,16674512896,3626115072,78.3,12480094208,180613120,7473147904,1198665728,844398592,3169406976,231813120
18,2022-02-08,00:13:49,0.5,LocalHost,38.0,16674512896,3625885696,78.3,12480327680,180355072,7472971776,1198669824,844398592,3169431552,231813120
19,2022-02-08,00:13:49,0.5,LocalHost,37.0,16674512896,3625885696,78.3,12480327680,180355072,7472971776,1198669824,844414976,3169415168,231813120
20,2022-02-08,00:13:50,0.5,LocalHost,48.8,16674512896,3625672704,78.3,12480557056,180097024,7473168384,1198649344,844427264,3169431552,231813120
21,2022-02-08,00:13:50,0.5,LocalHost,40.2,16674512896,3625672704,78.3,12480536576,180097024,7473168384,1198649344,844443648,3169435648,231813120
22,2022-02-08,00:13:51,0.5,LocalHost,33.4,16674512896,3625672704,78.3,12480528384,180097024,7473168384,1198649344,844451840,3169435648,231813120
23,2022-02-08,00:13:51,0.5,LocalHost,44.9,16674512896,3625672704,78.3,12480520192,180097024,7473168384,1198649344,844460032,3169435648,231813120
24,2022-02-08,00:13:52,0.5,LocalHost,43.4,16674512896,3625672704,78.3,12480520192,180097024,7473168384,1198649344,844460032,3169435648,231813120
25,2022-02-08,00:13:52,0.5,LocalHost,40.5,16674512896,3625717760,78.3,12480479232,180137984,7473156096,1198649344,844460032,3169435648,231813120
26,2022-02-08,00:13:53,0.5,LocalHost,37.5,16674512896,3624923136,78.3,12481323008,179290112,7473213440,1198661632,844460032,3169439744,231813120
27,2022-02-08,00:13:53,0.5,LocalHost,31.6,16674512896,3624923136,78.3,12481323008,179290112,7473213440,1198661632,844460032,3169439744,231813120
28,2022-02-08,00:13:54,0.5,LocalHost,44.3,16674512896,3624923136,78.3,12481318912,179290112,7473213440,1198661632,844460032,3169443840,231813120
29,2022-02-08,00:13:54,0.5,LocalHost,48.6,16674512896,3624923136,78.3,12481318912,179290112,7473213440,1198661632,844464128,3169439744,231813120
30,2022-02-08,00:13:55,0.5,LocalHost,43.1,16674512896,3624935424,78.3,12481306624,179290112,7473238016,1198657536,844468224,3169447936,231813120
31,2022-02-08,00:13:55,0.5,LocalHost,41.8,16674512896,3624935424,78.3,12481302528,179290112,7473254400,1198653440,844472320,3169447936,231813120
32,2022-02-08,00:13:56,0.5,LocalHost,41.3,16674512896,3624935424,78.3,12481294336,179290112,7473254400,1198653440,844480512,3169447936,231813120
33,2022-02-08,00:13:56,0.5,LocalHost,40.8,16674512896,3625218048,78.3,12481011712,179572736,7473254400,1198653440,844488704,3169439744,231813120
34,2022-02-08,00:13:57,0.5,LocalHost,42.4,16674512896,3625193472,78.3,12481024000,179548160,7473426432,1198653440,844492800,3169447936,231813120
35,2022-02-08,00:13:57,0.5,LocalHost,44.8,16674512896,3625193472,78.3,12481024000,179548160,7473426432,1198653440,844492800,3169447936,231813120
36,2022-02-08,00:13:58,0.5,LocalHost,42.8,16674512896,3625205760,78.3,12481019904,179548160,7473438720,1198657536,844492800,3169452032,231813120
37,2022-02-08,00:13:58,0.5,LocalHost,44.6,16674512896,3625205760,78.3,12481019904,179548160,7473438720,1198657536,844492800,3169452032,231813120
38,2022-02-08,00:13:59,0.5,LocalHost,39.6,16674512896,3625209856,78.3,12481019904,179548160,7473315840,1198653440,844492800,3169452032,231813120
39,2022-02-08,00:13:59,0.5,LocalHost,44.6,16674512896,3625209856,78.3,12481019904,179548160,7473315840,1198653440,844505088,3169439744,231813120
40,2022-02-08,00:14:00,0.5,LocalHost,45.3,16674512896,3625508864,78.3,12480606208,179806208,7473373184,1198661632,844521472,3169579008,231936000
41,2022-02-08,00:14:00,0.5,LocalHost,47.8,16674512896,3625590784,78.3,12480614400,179798016,7473582080,1198747648,844521472,3169579008,231936000
42,2022-02-08,00:14:01,0.5,LocalHost,38.3,16674512896,3625783296,78.3,12480606208,179806208,7473414144,1198927872,844529664,3169570816,231936000
43,2022-02-08,00:14:01,0.5,LocalHost,39.4,16674512896,3624796160,78.3,12481581056,178819072,7473680384,1198927872,844537856,3169574912,231936000
44,2022-02-08,00:14:02,0.5,LocalHost,40.2,16674512896,3625021440,78.3,12481363968,179032064,7473426432,1198927872,844546048,3169570816,231936000
45,2022-02-08,00:14:02,0.5,LocalHost,40.1,16674512896,3625021440,78.3,12481347584,179032064,7473426432,1198927872,844554240,3169579008,231936000
46,2022-02-08,00:14:03,0.5,LocalHost,41.2,16674512896,3624271872,78.3,12482117632,178257920,7473446912,1198931968,844554240,3169583104,231936000
47,2022-02-08,00:14:03,0.5,LocalHost,46.8,16674512896,3624271872,78.3,12482117632,178257920,7473446912,1198931968,844554240,3169583104,231936000
48,2022-02-08,00:14:04,0.5,LocalHost,44.2,16674512896,3624271872,78.3,12482113536,178257920,7473254400,1198931968,844554240,3169587200,231936000
49,2022-02-08,00:14:04,0.5,LocalHost,40.7,16674512896,3624271872,78.3,12482109440,178257920,7473254400,1198931968,844570624,3169574912,231936000
50,2022-02-08,00:14:05,0.5,LocalHost,47.8,16674512896,3624013824,78.3,12482347008,177999872,7473254400,1198931968,844587008,3169579008,231936000
51,2022-02-08,00:14:05,0.5,LocalHost,45.7,16674512896,3624013824,78.3,12482338816,177999872,7473254400,1198931968,844587008,3169587200,231936000
52,2022-02-08,00:14:06,0.5,LocalHost,29.0,16674512896,3624013824,78.3,12482334720,177999872,7473254400,1198931968,844587008,3169591296,231936000
53,2022-02-08,00:14:06,0.5,LocalHost,32.2,16674512896,3624013824,78.3,12482334720,177999872,7473254400,1198931968,844595200,3169583104,231936000
54,2022-02-08,00:14:07,0.5,LocalHost,48.3,16674512896,3624013824,78.3,12482318336,177999872,7473254400,1198931968,844603392,3169591296,231936000
55,2022-02-08,00:14:07,0.5,LocalHost,41.7,16674512896,3624013824,78.3,12482314240,177999872,7473254400,1198931968,844611584,3169587200,231936000
56,2022-02-08,00:14:08,0.5,LocalHost,41.3,16674512896,3623813120,78.3,12482555904,177741824,7473299456,1198944256,844619776,3169595392,231936000
57,2022-02-08,00:14:08,0.5,LocalHost,46.5,16674512896,3623813120,78.3,12482555904,177741824,7473299456,1198944256,844619776,3169595392,231936000
58,2022-02-08,00:14:09,0.5,LocalHost,38.0,16674512896,3623936000,78.3,12482420736,177741824,7473299456,1199067136,844619776,3169730560,231936000
59,2022-02-08,00:14:09,0.5,LocalHost,37.1,16674512896,3623936000,78.3,12482420736,177741824,7473299456,1199067136,844623872,3169726464,231936000
60,2022-02-08,00:14:10,0.5,LocalHost,33.5,16674512896,3623432192,78.3,12482932736,177225728,7473307648,1199071232,844632064,3169722368,231936000
61,2022-02-08,00:14:10,0.5,LocalHost,31.0,16674512896,3623432192,78.3,12482920448,177225728,7473307648,1199071232,844632064,3169734656,231936000
62,2022-02-08,00:14:11,0.5,LocalHost,28.9,16674512896,3624726528,78.3,12481662976,178483200,7473336320,1199079424,844632064,3169734656,231936000
63,2022-02-08,00:14:11,0.5,LocalHost,31.6,16674512896,3624726528,78.3,12481662976,178483200,7473336320,1199079424,844632064,3169734656,231936000
64,2022-02-08,00:14:12,0.5,LocalHost,48.0,16674512896,3624726528,78.3,12481658880,178483200,7473336320,1199079424,844640256,3169730560,231936000
65,2022-02-08,00:14:12,0.5,LocalHost,42.7,16674512896,3624726528,78.3,12481658880,178483200,7473336320,1199079424,844640256,3169730560,231936000
66,2022-02-08,00:14:13,0.5,LocalHost,37.3,16674512896,3624988672,78.3,12481392640,178741248,7473340416,1199079424,844640256,3169738752,231936000
67,2022-02-08,00:14:13,0.5,LocalHost,50.8,16674512896,3624988672,78.3,12481388544,178741248,7473340416,1199079424,844644352,3169738752,231936000
68,2022-02-08,00:14:14,0.5,LocalHost,44.9,16674512896,3624988672,78.3,12481388544,178741248,7473340416,1199079424,844644352,3169738752,231936000
69,2022-02-08,00:14:14,0.5,LocalHost,34.7,16674512896,3624988672,78.3,12481388544,178741248,7473340416,1199079424,844652544,3169730560,231936000
70,2022-02-08,00:14:15,0.5,LocalHost,43.0,16674512896,3623964672,78.3,12482412544,177709056,7473352704,1199075328,844656640,3169734656,231936000
71,2022-02-08,00:14:15,0.5,LocalHost,36.3,16674512896,3623964672,78.3,12482404352,177709056,7473352704,1199075328,844656640,3169742848,231936000
72,2022-02-08,00:14:16,0.5,LocalHost,42.6,16674512896,3623964672,78.3,12482404352,177709056,7473352704,1199075328,844656640,3169742848,231936000
73,2022-02-08,00:14:16,0.5,LocalHost,47.5,16674512896,3623964672,78.3,12482404352,177709056,7473352704,1199075328,844656640,3169742848,231936000
74,2022-02-08,00:14:17,0.5,LocalHost,39.9,16674512896,3624222720,78.3,12482146304,177967104,7472771072,1199075328,844656640,3169742848,231936000
75,2022-02-08,00:14:17,0.5,LocalHost,42.0,16674512896,3624222720,78.3,12482134016,177967104,7472771072,1199075328,844664832,3169746944,231936000
76,2022-02-08,00:14:18,0.5,LocalHost,43.4,16674512896,3623735296,78.3,12482641920,177451008,7472844800,1199083520,844673024,3169746944,231936000
77,2022-02-08,00:14:18,0.5,LocalHost,46.4,16674512896,3623993344,78.3,12482383872,177709056,7472844800,1199083520,844677120,3169742848,231936000
78,2022-02-08,00:14:19,0.5,LocalHost,40.6,16674512896,3623993344,78.3,12482379776,177709056,7472844800,1199083520,844677120,3169746944,231936000
79,2022-02-08,00:14:19,0.5,LocalHost,43.7,16674512896,3623993344,78.3,12482379776,177709056,7472844800,1199083520,844685312,3169738752,231936000
80,2022-02-08,00:14:20,0.5,LocalHost,40.8,16674512896,3623976960,78.3,12482404352,177664000,7472865280,1199075328,844701696,3169742848,231936000
81,2022-02-08,00:14:20,0.5,LocalHost,41.9,16674512896,3624083456,78.3,12482342912,177709056,7472881664,1199108096,844709888,3169751040,231936000
82,2022-02-08,00:14:21,0.5,LocalHost,39.1,16674512896,3624083456,78.3,12482342912,177709056,7472885760,1199108096,844709888,3169751040,231936000
83,2022-02-08,00:14:21,0.5,LocalHost,43.8,16674512896,3624083456,78.3,12482342912,177709056,7472885760,1199108096,844709888,3169751040,231936000
84,2022-02-08,00:14:22,0.5,LocalHost,46.6,16674512896,3624083456,78.3,12482338816,177709056,7472885760,1199108096,844709888,3169755136,231936000
85,2022-02-08,00:14:22,0.5,LocalHost,43.0,16674512896,3624083456,78.3,12482334720,177709056,7472885760,1199108096,844709888,3169759232,231936000
