iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-27,16:59:15,0.5,LocalHost,82.4,16674512896,6364508160,61.8,9794482176,434184192,6093180928,1564864512,1601273856,4844572672,182439936
1,2022-01-27,16:59:15,0.5,LocalHost,81.3,16674512896,6342959104,62.0,9816027136,412635136,6093180928,1564864512,1601273856,4844576768,182439936
2,2022-01-27,16:59:16,0.5,LocalHost,85.5,16674512896,6334054400,62.0,9840910336,403722240,6092685312,1564868608,1601277952,4828602368,166465536
3,2022-01-27,16:59:16,0.5,LocalHost,66.0,16674512896,6334058496,62.0,9841070080,403722240,6092898304,1564868608,1601277952,4828442624,166301696
4,2022-01-27,16:59:17,0.5,LocalHost,56.3,16674512896,6334033920,62.0,9841094656,403697664,6093271040,1564868608,1601277952,4828442624,166301696
5,2022-01-27,16:59:17,0.5,LocalHost,48.4,16674512896,6334070784,62.0,9841053696,403730432,6093275136,1564868608,1601290240,4828438528,166301696
6,2022-01-27,16:59:18,0.5,LocalHost,56.4,16674512896,6334042112,62.0,9841078272,403697664,6093275136,1564872704,1601294336,4828442624,166301696
7,2022-01-27,16:59:18,0.5,LocalHost,56.0,16674512896,6334046208,62.0,9841078272,403697664,6093295616,1564876800,1601298432,4828438528,166301696
8,2022-01-27,16:59:19,0.5,LocalHost,64.5,16674512896,6334050304,62.0,9841070080,403697664,6093303808,1564876800,1601298432,4828446720,166301696
9,2022-01-27,16:59:19,0.5,LocalHost,56.3,16674512896,6334050304,62.0,9841070080,403697664,6093303808,1564876800,1601298432,4828446720,166301696
10,2022-01-27,16:59:20,0.5,LocalHost,44.6,16674512896,6329397248,62.0,9845714944,399044608,6096789504,1564876800,1601306624,4828446720,166301696
11,2022-01-27,16:59:20,0.5,LocalHost,57.6,16674512896,6333063168,62.0,9842057216,402694144,6092840960,1564876800,1601318912,4828442624,166301696
12,2022-01-27,16:59:21,0.5,LocalHost,46.9,16674512896,6333104128,62.0,9842024448,402718720,6092783616,1564872704,1601318912,4828450816,166301696
13,2022-01-27,16:59:21,0.5,LocalHost,38.4,16674512896,6333292544,62.0,9841836032,402907136,6093180928,1564868608,1601318912,4828450816,166301696
14,2022-01-27,16:59:22,0.5,LocalHost,45.7,16674512896,6333300736,62.0,9841827840,402915328,6093180928,1564868608,1601318912,4828450816,166301696
15,2022-01-27,16:59:22,0.5,LocalHost,56.3,16674512896,6333300736,62.0,9841827840,402915328,6093180928,1564868608,1601318912,4828450816,166301696
16,2022-01-27,16:59:23,0.5,LocalHost,49.4,16674512896,6333255680,62.0,9841876992,402862080,6092587008,1564872704,1601318912,4828454912,166301696
