iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-27,01:02:44,0.5,LocalHost,87.1,16674512896,9428619264,43.5,6743150592,4559060992,5097672704,1376825344,1404538880,3967762432,168951808
1,2022-01-27,01:02:45,0.5,LocalHost,100.0,16674512896,9427853312,43.5,6743855104,4558237696,5098000384,1376833536,1404555264,3967864832,169013248
2,2022-01-27,01:02:45,0.5,LocalHost,80.6,16674512896,9427877888,43.5,6743838720,4558237696,5098024960,1376829440,1404555264,3967881216,169013248
3,2022-01-27,01:02:46,0.5,LocalHost,32.9,16674512896,9427877888,43.5,6743838720,4558237696,5097787392,1376829440,1404555264,3967881216,169013248
4,2022-01-27,01:02:46,0.5,LocalHost,12.7,16674512896,9427877888,43.5,6743838720,4558237696,5097787392,1376829440,1404555264,3967881216,169013248
5,2022-01-27,01:02:47,0.5,LocalHost,9.8,16674512896,9427619840,43.5,6744096768,4557979648,5098024960,1376829440,1404555264,3967881216,169013248
6,2022-01-27,01:02:47,0.5,LocalHost,7.7,16674512896,9427619840,43.5,6744096768,4557979648,5098024960,1376829440,1404555264,3967881216,169013248
7,2022-01-27,01:02:48,0.5,LocalHost,7.9,16674512896,9427619840,43.5,6744092672,4557979648,5098024960,1376829440,1404555264,3967885312,169013248
8,2022-01-27,01:02:48,0.5,LocalHost,9.3,16674512896,9427386368,43.5,6744326144,4557746176,5098024960,1376829440,1404555264,3967885312,169013248
9,2022-01-27,01:02:49,0.5,LocalHost,10.3,16674512896,9427386368,43.5,6744326144,4557746176,5098037248,1376817152,1404555264,3967885312,169013248
10,2022-01-27,01:02:49,0.5,LocalHost,14.2,16674512896,9426870272,43.5,6744838144,4557230080,5098094592,1376808960,1404555264,3967889408,169013248
11,2022-01-27,01:02:50,0.5,LocalHost,10.8,16674512896,9426878464,43.5,6744838144,4557230080,5098127360,1376817152,1404555264,3967889408,169013248
12,2022-01-27,01:02:50,0.5,LocalHost,10.7,16674512896,9426878464,43.5,6744838144,4557230080,5098127360,1376817152,1404555264,3967889408,169013248
13,2022-01-27,01:02:51,0.5,LocalHost,10.5,16674512896,9427361792,43.5,6744354816,4557705216,5097906176,1376817152,1404563456,3967889408,169013248
14,2022-01-27,01:02:51,0.5,LocalHost,9.1,16674512896,9427361792,43.5,6744334336,4557705216,5097906176,1376817152,1404583936,3967889408,169013248
15,2022-01-27,01:02:52,0.5,LocalHost,11.7,16674512896,9424613376,43.5,6747082752,4554956800,5099200512,1376817152,1404583936,3967889408,169013248
16,2022-01-27,01:02:52,0.5,LocalHost,11.0,16674512896,9425547264,43.5,6746148864,4555890688,5097709568,1376817152,1404583936,3967889408,169013248
17,2022-01-27,01:02:53,0.5,LocalHost,9.1,16674512896,9425072128,43.5,6746644480,4555390976,5098156032,1376821248,1404583936,3967893504,169013248
18,2022-01-27,01:02:53,0.5,LocalHost,10.0,16674512896,9425072128,43.5,6746644480,4555390976,5098156032,1376821248,1404583936,3967893504,169013248
19,2022-01-27,01:02:54,0.5,LocalHost,9.6,16674512896,9425072128,43.5,6746644480,4555390976,5098156032,1376821248,1404583936,3967893504,169013248
20,2022-01-27,01:02:54,0.5,LocalHost,10.3,16674512896,9424797696,43.5,6746914816,4555116544,5098233856,1376821248,1404583936,3967897600,169013248
21,2022-01-27,01:02:55,0.5,LocalHost,9.8,16674512896,9424556032,43.5,6747156480,4554874880,5098156032,1376821248,1404583936,3967897600,169013248
22,2022-01-27,01:02:55,0.5,LocalHost,9.2,16674512896,9424556032,43.5,6747156480,4554874880,5098156032,1376821248,1404583936,3967897600,169013248
23,2022-01-27,01:02:56,0.5,LocalHost,10.5,16674512896,9425723392,43.5,6745976832,4556038144,5098053632,1376825344,1404600320,3967897600,169013248
24,2022-01-27,01:02:56,0.5,LocalHost,10.0,16674512896,9425211392,43.5,6746472448,4555522048,5098180608,1376825344,1404616704,3967901696,169013248
25,2022-01-27,01:02:57,0.5,LocalHost,8.5,16674512896,9425342464,43.5,6746341376,4555649024,5098160128,1376825344,1404616704,3967905792,169013248
26,2022-01-27,01:02:57,0.5,LocalHost,8.0,16674512896,9425342464,43.5,6746341376,4555649024,5098160128,1376825344,1404616704,3967905792,169013248
27,2022-01-27,01:02:58,0.5,LocalHost,9.1,16674512896,9425084416,43.5,6746599424,4555390976,5098160128,1376825344,1404616704,3967905792,169013248
28,2022-01-27,01:02:58,0.5,LocalHost,11.2,16674512896,9425084416,43.5,6746599424,4555390976,5098160128,1376825344,1404616704,3967905792,169013248
29,2022-01-27,01:02:59,0.5,LocalHost,9.6,16674512896,9425084416,43.5,6746591232,4555390976,5098160128,1376825344,1404616704,3967913984,169013248
30,2022-01-27,01:02:59,0.5,LocalHost,9.6,16674512896,9425084416,43.5,6746591232,4555390976,5098160128,1376825344,1404616704,3967913984,169013248
31,2022-01-27,01:03:00,0.5,LocalHost,10.9,16674512896,9433604096,43.4,6747451392,4563906560,5098160128,1376829440,1404616704,3958538240,159637504
32,2022-01-27,01:03:01,0.5,LocalHost,11.7,16674512896,9433604096,43.4,6747451392,4563906560,5098160128,1376829440,1404616704,3958538240,159637504
33,2022-01-27,01:03:01,0.5,LocalHost,9.6,16674512896,9433604096,43.4,6747480064,4563738624,5098196992,1376960512,1404633088,3958661120,159637504
34,2022-01-27,01:03:02,0.5,LocalHost,13.0,16674512896,9433722880,43.4,6747369472,4563845120,5098221568,1376968704,1404641280,3958657024,159637504
35,2022-01-27,01:03:02,0.5,LocalHost,10.7,16674512896,9434058752,43.4,6747033600,4564164608,5098217472,1376968704,1404641280,3958673408,159637504
36,2022-01-27,01:03:03,0.5,LocalHost,10.3,16674512896,9434058752,43.4,6747033600,4564164608,5098217472,1376968704,1404645376,3958669312,159637504
37,2022-01-27,01:03:03,0.5,LocalHost,10.0,16674512896,9434058752,43.4,6747029504,4564164608,5098217472,1376968704,1404645376,3958673408,159637504
38,2022-01-27,01:03:04,0.5,LocalHost,7.8,16674512896,9434058752,43.4,6747029504,4564164608,5098217472,1376968704,1404645376,3958673408,159637504
39,2022-01-27,01:03:04,0.5,LocalHost,9.8,16674512896,9434058752,43.4,6747025408,4564164608,5098217472,1376968704,1404645376,3958677504,159637504
40,2022-01-27,01:03:05,0.5,LocalHost,9.0,16674512896,9433796608,43.4,6747291648,4563898368,5098217472,1376972800,1404645376,3958677504,159637504
41,2022-01-27,01:03:05,0.5,LocalHost,8.7,16674512896,9433804800,43.4,6747283456,4563906560,5098217472,1376972800,1404645376,3958677504,159637504
42,2022-01-27,01:03:06,0.5,LocalHost,10.5,16674512896,9433808896,43.4,6747279360,4563906560,5098225664,1376968704,1404645376,3958681600,159637504
43,2022-01-27,01:03:06,0.5,LocalHost,9.9,16674512896,9435357184,43.4,6745731072,4565446656,5098192896,1376968704,1404661760,3958673408,159637504
44,2022-01-27,01:03:07,0.5,LocalHost,9.4,16674512896,9435365376,43.4,6745722880,4565446656,5098201088,1376968704,1404661760,3958681600,159637504
45,2022-01-27,01:03:07,0.5,LocalHost,10.0,16674512896,9435119616,43.4,6745972736,4565196800,5098242048,1376972800,1404661760,3958681600,159637504
46,2022-01-27,01:03:08,0.5,LocalHost,10.7,16674512896,9435119616,43.4,6745972736,4565196800,5098242048,1376972800,1404661760,3958681600,159637504
47,2022-01-27,01:03:08,0.5,LocalHost,10.7,16674512896,9435119616,43.4,6745972736,4565196800,5098242048,1376972800,1404661760,3958681600,159637504
48,2022-01-27,01:03:09,0.5,LocalHost,9.6,16674512896,9435119616,43.4,6745972736,4565196800,5098242048,1376972800,1404661760,3958681600,159637504
49,2022-01-27,01:03:09,0.5,LocalHost,9.6,16674512896,9435119616,43.4,6745968640,4565196800,5098242048,1376972800,1404661760,3958685696,159637504
50,2022-01-27,01:03:10,0.5,LocalHost,9.2,16674512896,9435127808,43.4,6745960448,4565204992,5098266624,1376972800,1404661760,3958685696,159637504
51,2022-01-27,01:03:10,0.5,LocalHost,9.1,16674512896,9435119616,43.4,6745968640,4565196800,5098242048,1376972800,1404661760,3958685696,159637504
52,2022-01-27,01:03:11,0.5,LocalHost,11.2,16674512896,9434767360,43.4,6746320896,4564844544,5098754048,1376972800,1404661760,3958685696,159637504
53,2022-01-27,01:03:11,0.5,LocalHost,9.6,16674512896,9433939968,43.4,6747152384,4564004864,5098250240,1376980992,1404665856,3958689792,159637504
54,2022-01-27,01:03:12,0.5,LocalHost,10.9,16674512896,9433944064,43.4,6747148288,4564004864,5098254336,1376980992,1404669952,3958689792,159637504
55,2022-01-27,01:03:12,0.5,LocalHost,11.5,16674512896,9434103808,43.4,6746988544,4564164608,5098254336,1376980992,1404669952,3958689792,159637504
56,2022-01-27,01:03:13,0.5,LocalHost,11.5,16674512896,9434103808,43.4,6746984448,4564164608,5098254336,1376980992,1404669952,3958693888,159637504
57,2022-01-27,01:03:13,0.5,LocalHost,9.2,16674512896,9434107904,43.4,6746980352,4564164608,5098254336,1376985088,1404682240,3958685696,159637504
58,2022-01-27,01:03:14,0.5,LocalHost,8.9,16674512896,9434107904,43.4,6746980352,4564164608,5098254336,1376985088,1404682240,3958685696,159637504
59,2022-01-27,01:03:14,0.5,LocalHost,10.3,16674512896,9434107904,43.4,6746968064,4564164608,5098254336,1376985088,1404682240,3958697984,159637504
60,2022-01-27,01:03:15,0.5,LocalHost,10.0,16674512896,9434107904,43.4,6746984448,4564148224,5098278912,1376976896,1404682240,3958697984,159637504
61,2022-01-27,01:03:15,0.5,LocalHost,9.2,16674512896,9434124288,43.4,6746968064,4564164608,5098278912,1376976896,1404682240,3958697984,159637504
62,2022-01-27,01:03:16,0.5,LocalHost,9.2,16674512896,9434124288,43.4,6746968064,4564164608,5098278912,1376976896,1404682240,3958697984,159637504
63,2022-01-27,01:03:16,0.5,LocalHost,11.3,16674512896,9434128384,43.4,6746963968,4564156416,5098283008,1376980992,1404690432,3958702080,159637504
64,2022-01-27,01:03:17,0.5,LocalHost,10.0,16674512896,9434128384,43.4,6746963968,4564156416,5098283008,1376980992,1404690432,3958702080,159637504
65,2022-01-27,01:03:17,0.5,LocalHost,9.4,16674512896,9434136576,43.4,6746955776,4564164608,5098287104,1376980992,1404698624,3958693888,159637504
66,2022-01-27,01:03:18,0.5,LocalHost,8.9,16674512896,9434136576,43.4,6746955776,4564164608,5098287104,1376980992,1404698624,3958693888,159637504
67,2022-01-27,01:03:18,0.5,LocalHost,11.4,16674512896,9434144768,43.4,6746943488,4564164608,5098299392,1376976896,1404698624,3958706176,159637504
68,2022-01-27,01:03:19,0.5,LocalHost,9.5,16674512896,9434148864,43.4,6746943488,4564164608,5098299392,1376980992,1404702720,3958702080,159637504
69,2022-01-27,01:03:19,0.5,LocalHost,9.6,16674512896,9434152960,43.4,6746935296,4564164608,5098303488,1376980992,1404715008,3958697984,159637504
70,2022-01-27,01:03:20,0.5,LocalHost,7.7,16674512896,9434144768,43.4,6746943488,4564156416,5098303488,1376980992,1404715008,3958697984,159637504
71,2022-01-27,01:03:20,0.5,LocalHost,11.1,16674512896,9433874432,43.4,6747213824,4563873792,5098315776,1376980992,1404715008,3958710272,159637504
72,2022-01-27,01:03:21,0.5,LocalHost,9.6,16674512896,9433874432,43.4,6747213824,4563873792,5098315776,1376980992,1404715008,3958710272,159637504
73,2022-01-27,01:03:21,0.5,LocalHost,10.4,16674512896,9433706496,43.4,6747381760,4563705856,5098315776,1376980992,1404719104,3958706176,159637504
74,2022-01-27,01:03:22,0.5,LocalHost,9.5,16674512896,9433706496,43.4,6747381760,4563705856,5098315776,1376980992,1404719104,3958706176,159637504
75,2022-01-27,01:03:22,0.5,LocalHost,9.7,16674512896,9433735168,43.4,6747336704,4563615744,5098319872,1377095680,1404719104,3958841344,159637504
76,2022-01-27,01:03:23,0.5,LocalHost,8.9,16674512896,9433739264,43.4,6747336704,4563615744,5098319872,1377099776,1404723200,3958837248,159637504
77,2022-01-27,01:03:23,0.5,LocalHost,10.4,16674512896,9433747456,43.4,6747328512,4563615744,5098323968,1377103872,1404723200,3958845440,159637504
78,2022-01-27,01:03:24,0.5,LocalHost,7.8,16674512896,9433747456,43.4,6747328512,4563615744,5098323968,1377103872,1404723200,3958845440,159637504
79,2022-01-27,01:03:24,0.5,LocalHost,11.4,16674512896,9433747456,43.4,6747324416,4563615744,5098323968,1377103872,1404727296,3958845440,159637504
80,2022-01-27,01:03:25,0.5,LocalHost,7.5,16674512896,9433214976,43.4,6747852800,4563083264,5098323968,1377103872,1404731392,3958845440,159637504
81,2022-01-27,01:03:25,0.5,LocalHost,11.5,16674512896,9434021888,43.4,6747054080,4563857408,5098340352,1377099776,1404731392,3958870016,159637504
82,2022-01-27,01:03:26,0.5,LocalHost,11.3,16674512896,9434021888,43.4,6747054080,4563857408,5098340352,1377099776,1404731392,3958870016,159637504
83,2022-01-27,01:03:26,0.5,LocalHost,12.6,16674512896,9433604096,43.4,6747471872,4563439616,5098074112,1377099776,1404731392,3958870016,159637504
84,2022-01-27,01:03:27,0.5,LocalHost,9.8,16674512896,9433513984,43.4,6747578368,4563333120,5098086400,1377116160,1404731392,3958870016,159637504
85,2022-01-27,01:03:27,0.5,LocalHost,9.6,16674512896,9433264128,43.4,6747820032,4563083264,5098348544,1377107968,1404731392,3958878208,159637504
86,2022-01-27,01:03:28,0.5,LocalHost,9.1,16674512896,9433264128,43.4,6747820032,4563083264,5098348544,1377107968,1404731392,3958878208,159637504
87,2022-01-27,01:03:28,0.5,LocalHost,12.6,16674512896,9433264128,43.4,6747820032,4563083264,5098348544,1377107968,1404731392,3958878208,159637504
88,2022-01-27,01:03:29,0.5,LocalHost,10.7,16674512896,9433264128,43.4,6747820032,4563083264,5098348544,1377107968,1404731392,3958878208,159637504
89,2022-01-27,01:03:29,0.5,LocalHost,12.1,16674512896,9432961024,43.4,6748123136,4562780160,5098491904,1377107968,1404731392,3958878208,159637504
90,2022-01-27,01:03:30,0.5,LocalHost,11.1,16674512896,9432694784,43.4,6748385280,4562513920,5098504192,1377107968,1404735488,3958878208,159637504
91,2022-01-27,01:03:30,0.5,LocalHost,11.0,16674512896,9432985600,43.4,6748098560,4562792448,5098348544,1377116160,1404735488,3958886400,159637504
92,2022-01-27,01:03:31,0.5,LocalHost,9.3,16674512896,9432985600,43.4,6748098560,4562792448,5098348544,1377116160,1404735488,3958886400,159637504
93,2022-01-27,01:03:31,0.5,LocalHost,10.6,16674512896,9432301568,43.4,6748782592,4562108416,5098348544,1377116160,1404735488,3958886400,159637504
94,2022-01-27,01:03:32,0.5,LocalHost,10.2,16674512896,9432469504,43.4,6748610560,4562276352,5098344448,1377116160,1404735488,3958890496,159637504
95,2022-01-27,01:03:32,0.5,LocalHost,11.6,16674512896,9432473600,43.4,6748610560,4562276352,5098360832,1377107968,1404735488,3958890496,159637504
96,2022-01-27,01:03:33,0.5,LocalHost,9.6,16674512896,9432473600,43.4,6748610560,4562276352,5098360832,1377107968,1404735488,3958890496,159637504
97,2022-01-27,01:03:33,0.5,LocalHost,9.2,16674512896,9432473600,43.4,6748610560,4562276352,5098360832,1377107968,1404735488,3958890496,159637504
98,2022-01-27,01:03:34,0.5,LocalHost,10.9,16674512896,9432473600,43.4,6748602368,4562276352,5098360832,1377107968,1404743680,3958890496,159637504
99,2022-01-27,01:03:34,0.5,LocalHost,12.0,16674512896,9432473600,43.4,6748602368,4562276352,5098360832,1377107968,1404743680,3958890496,159637504
100,2022-01-27,01:03:35,0.5,LocalHost,8.9,16674512896,9432473600,43.4,6748602368,4562276352,5098360832,1377107968,1404743680,3958890496,159637504
