iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,03:34:53,0.5,LocalHost,80.2,16679079936,7548923904,54.7,8572321792,2421256192,4671025152,1464954880,1195413504,4490088448,222949376
1,2021-12-28,03:34:53,0.5,LocalHost,69.7,16679079936,7515299840,54.9,8605716480,2387623936,4671414272,1464954880,1195413504,4490326016,223174656
2,2021-12-28,03:34:54,0.5,LocalHost,58.8,16679079936,7510581248,55.0,8610435072,2382905344,4671414272,1464954880,1195413504,4490326016,223174656
3,2021-12-28,03:34:54,0.5,LocalHost,39.1,16679079936,7506464768,55.0,8614555648,2378784768,4671410176,1464958976,1195413504,4490326016,223174656
4,2021-12-28,03:34:55,0.5,LocalHost,36.1,16679079936,7506464768,55.0,8614555648,2378784768,4671410176,1464958976,1195413504,4490326016,223174656
5,2021-12-28,03:34:55,0.5,LocalHost,34.9,16679079936,7504891904,55.0,8616128512,2377187328,4671606784,1464963072,1195413504,4490350592,223174656
6,2021-12-28,03:34:56,0.5,LocalHost,39.2,16679079936,7504891904,55.0,8616128512,2377187328,4671606784,1464963072,1195413504,4490350592,223174656
7,2021-12-28,03:34:56,0.5,LocalHost,48.5,16679079936,7504629760,55.0,8616386560,2376921088,4671873024,1464967168,1195421696,4490350592,223174656
8,2021-12-28,03:34:57,0.5,LocalHost,47.3,16679079936,7504740352,55.0,8616280064,2377027584,4671684608,1464967168,1195421696,4490350592,223174656
9,2021-12-28,03:34:57,0.5,LocalHost,42.3,16679079936,7504904192,55.0,8616116224,2377187328,4671614976,1464967168,1195421696,4490354688,223174656
10,2021-12-28,03:34:58,0.5,LocalHost,43.6,16679079936,7504908288,55.0,8616116224,2377187328,4671614976,1464971264,1195421696,4490354688,223174656
11,2021-12-28,03:34:58,0.5,LocalHost,44.1,16679079936,7504908288,55.0,8616112128,2377187328,4671676416,1464971264,1195429888,4490350592,223174656
12,2021-12-28,03:34:59,0.5,LocalHost,43.0,16679079936,7504916480,55.0,8616103936,2377187328,4671684608,1464971264,1195433984,4490354688,223174656
13,2021-12-28,03:34:59,0.5,LocalHost,42.7,16679079936,7504916480,55.0,8616103936,2377187328,4671688704,1464971264,1195433984,4490354688,223174656
14,2021-12-28,03:35:00,0.5,LocalHost,41.8,16679079936,7504916480,55.0,8616103936,2377187328,4671688704,1464971264,1195433984,4490354688,223174656
15,2021-12-28,03:35:00,0.5,LocalHost,44.0,16679079936,7512850432,55.0,8617091072,2385121280,4671692800,1464971264,1195433984,4481433600,214249472
16,2021-12-28,03:35:01,0.5,LocalHost,44.8,16679079936,7512850432,55.0,8617091072,2385121280,4671692800,1464971264,1195433984,4481433600,214249472
17,2021-12-28,03:35:01,0.5,LocalHost,43.3,16679079936,7511863296,55.0,8617963520,2384121856,4671729664,1464971264,1195450368,4481544192,214360064
18,2021-12-28,03:35:02,0.5,LocalHost,43.8,16679079936,7512125440,55.0,8617693184,2384261120,4671471616,1465085952,1195450368,4481675264,214360064
19,2021-12-28,03:35:02,0.5,LocalHost,45.0,16679079936,7512539136,55.0,8617299968,2384654336,4671737856,1465106432,1195450368,4481675264,214360064
20,2021-12-28,03:35:03,0.5,LocalHost,42.1,16679079936,7512539136,55.0,8617299968,2384654336,4671737856,1465106432,1195454464,4481671168,214360064
21,2021-12-28,03:35:03,0.5,LocalHost,44.1,16679079936,7512489984,55.0,8617328640,2384605184,4671737856,1465106432,1195466752,4481679360,214360064
22,2021-12-28,03:35:04,0.5,LocalHost,40.5,16679079936,7512502272,55.0,8617328640,2384605184,4671754240,1465106432,1195466752,4481679360,214360064
23,2021-12-28,03:35:04,0.5,LocalHost,42.4,16679079936,7512219648,55.0,8617619456,2384314368,4671688704,1465110528,1195466752,4481679360,214360064
24,2021-12-28,03:35:05,0.5,LocalHost,39.1,16679079936,7512219648,55.0,8617615360,2384314368,4671688704,1465110528,1195466752,4481683456,214360064
