iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 02:32:17 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 10.57%
2 2022-01-03 02:32:19 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 18.89%
3 2022-01-03 02:32:21 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 14.09%
4 2022-01-03 02:32:23 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 19.07%
5 2022-01-03 02:32:25 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 12.98%
6 2022-01-03 02:32:27 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 18.22%
7 2022-01-03 02:32:29 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 15.56%
8 2022-01-03 02:32:31 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 20.19%
9 2022-01-03 02:32:33 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 20.28%
10 2022-01-03 02:32:35 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 21.34%
11 2022-01-03 02:32:37 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 17.78%
12 2022-01-03 02:32:39 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 20.21%
13 2022-01-03 02:32:41 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 15.36%
14 2022-01-03 02:32:43 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 14.36%
15 2022-01-03 02:32:45 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 18.84%
16 2022-01-03 02:32:47 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 19.95%
17 2022-01-03 02:32:49 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 16.40%
18 2022-01-03 02:32:51 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 20.31%
19 2022-01-03 02:32:53 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 20.84%
20 2022-01-03 02:32:55 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 16.57%
21 2022-01-03 02:32:57 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 16.56%
22 2022-01-03 02:32:59 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 17.64%
23 2022-01-03 02:33:01 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 16.43%
24 2022-01-03 02:33:03 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 12.82%
25 2022-01-03 02:33:05 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 12.17%
26 2022-01-03 02:33:07 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 17.07%
27 2022-01-03 02:33:09 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 18.66%
28 2022-01-03 02:33:11 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 19.93%
29 2022-01-03 02:33:13 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.23MiB / 1.941GiB 4.49% 17.65%
