iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 01:39:28 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.63MiB / 1.941GiB 4.51% 20.66%
2 2022-01-03 01:39:30 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.68MiB / 1.941GiB 4.51% 22.08%
3 2022-01-03 01:39:32 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.73MiB / 1.941GiB 4.51% 21.77%
4 2022-01-03 01:39:34 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.73MiB / 1.941GiB 4.51% 20.04%
5 2022-01-03 01:39:36 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.74MiB / 1.941GiB 4.52% 20.29%
6 2022-01-03 01:39:38 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.74MiB / 1.941GiB 4.52% 20.34%
7 2022-01-03 01:39:40 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.74MiB / 1.941GiB 4.52% 19.36%
8 2022-01-03 01:39:42 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.74MiB / 1.941GiB 4.52% 19.60%
9 2022-01-03 01:39:44 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.74MiB / 1.941GiB 4.52% 21.12%
10 2022-01-03 01:39:46 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.77MiB / 1.941GiB 4.52% 19.81%
11 2022-01-03 01:39:48 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.77MiB / 1.941GiB 4.52% 21.05%
12 2022-01-03 01:39:50 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.77MiB / 1.941GiB 4.52% 19.46%
13 2022-01-03 01:39:52 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.77MiB / 1.941GiB 4.52% 19.62%
14 2022-01-03 01:39:54 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.77MiB / 1.941GiB 4.52% 20.81%
15 2022-01-03 01:39:56 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.78MiB / 1.941GiB 4.52% 21.20%
16 2022-01-03 01:39:58 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.78MiB / 1.941GiB 4.52% 20.73%
17 2022-01-03 01:40:01 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.78MiB / 1.941GiB 4.52% 21.54%
18 2022-01-03 01:40:03 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.78MiB / 1.941GiB 4.52% 19.79%
19 2022-01-03 01:40:05 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.83MiB / 1.941GiB 4.52% 23.06%
20 2022-01-03 01:40:07 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.83MiB / 1.941GiB 4.52% 20.51%
21 2022-01-03 01:40:09 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.83MiB / 1.941GiB 4.52% 22.77%
22 2022-01-03 01:40:11 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.83MiB / 1.941GiB 4.52% 21.16%
23 2022-01-03 01:40:13 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.83MiB / 1.941GiB 4.52% 21.96%
24 2022-01-03 01:40:15 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.83MiB / 1.941GiB 4.52% 19.96%
25 2022-01-03 01:40:17 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.83MiB / 1.941GiB 4.52% 21.01%
26 2022-01-03 01:40:19 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.83MiB / 1.941GiB 4.52% 20.42%
27 2022-01-03 01:40:21 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.86MiB / 1.941GiB 4.52% 20.54%
28 2022-01-03 01:40:23 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.86MiB / 1.941GiB 4.52% 19.54%
29 2022-01-03 01:40:25 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.86MiB / 1.941GiB 4.52% 20.29%
30 2022-01-03 01:40:27 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.86MiB / 1.941GiB 4.52% 16.25%
31 2022-01-03 01:40:29 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.86MiB / 1.941GiB 4.52% 20.63%
32 2022-01-03 01:40:31 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.87MiB / 1.941GiB 4.52% 20.12%
33 2022-01-03 01:40:33 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.87MiB / 1.941GiB 4.52% 20.59%
34 2022-01-03 01:40:35 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.98MiB / 1.941GiB 4.53% 21.62%
35 2022-01-03 01:40:37 ROS_VNF_driver ebe9e1457180 driver_robot_1 89.96MiB / 1.941GiB 4.53% 20.98%
