iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 03:05:38 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.54MiB / 1.941GiB 4.51% 16.44%
2 2022-01-03 03:05:40 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.6MiB / 1.941GiB 4.51% 17.07%
3 2022-01-03 03:05:42 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.62MiB / 1.941GiB 4.51% 15.25%
4 2022-01-03 03:05:44 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.63MiB / 1.941GiB 4.51% 19.27%
5 2022-01-03 03:05:46 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.69MiB / 1.941GiB 4.51% 21.75%
6 2022-01-03 03:05:48 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.7MiB / 1.941GiB 4.51% 18.03%
7 2022-01-03 03:05:50 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.7MiB / 1.941GiB 4.51% 18.89%
8 2022-01-03 03:05:52 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.7MiB / 1.941GiB 4.51% 19.12%
9 2022-01-03 03:05:54 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.7MiB / 1.941GiB 4.51% 17.81%
10 2022-01-03 03:05:56 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.71MiB / 1.941GiB 4.51% 16.81%
11 2022-01-03 03:05:58 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.71MiB / 1.941GiB 4.51% 13.90%
12 2022-01-03 03:06:00 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.71MiB / 1.941GiB 4.51% 23.87%
13 2022-01-03 03:06:02 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.71MiB / 1.941GiB 4.51% 21.35%
14 2022-01-03 03:06:04 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.71MiB / 1.941GiB 4.51% 19.95%
15 2022-01-03 03:06:06 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.75MiB / 1.941GiB 4.52% 15.18%
16 2022-01-03 03:06:08 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.88MiB / 1.941GiB 4.52% 12.48%
17 2022-01-03 03:06:10 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.77MiB / 1.941GiB 4.52% 17.36%
18 2022-01-03 03:06:12 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.77MiB / 1.941GiB 4.52% 17.59%
19 2022-01-03 03:06:14 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.77MiB / 1.941GiB 4.52% 19.85%
20 2022-01-03 03:06:16 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.79MiB / 1.941GiB 4.52% 13.93%
21 2022-01-03 03:06:18 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.79MiB / 1.941GiB 4.52% 19.33%
22 2022-01-03 03:06:20 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.79MiB / 1.941GiB 4.52% 20.84%
23 2022-01-03 03:06:22 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.79MiB / 1.941GiB 4.52% 19.72%
24 2022-01-03 03:06:24 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.79MiB / 1.941GiB 4.52% 19.77%
25 2022-01-03 03:06:27 ROS_VNF_driver 9e4643ba8603 driver_robot_1 89.79MiB / 1.941GiB 4.52% 23.30%
