iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 00:46:19 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.35%
2 2022-01-03 00:46:21 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 16.68%
3 2022-01-03 00:46:23 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 17.82%
4 2022-01-03 00:46:25 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 17.43%
5 2022-01-03 00:46:27 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 12.83%
6 2022-01-03 00:46:29 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.09%
7 2022-01-03 00:46:31 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 16.28%
8 2022-01-03 00:46:33 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 20.46%
9 2022-01-03 00:46:35 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.91%
10 2022-01-03 00:46:37 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 20.84%
11 2022-01-03 00:46:39 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 21.03%
12 2022-01-03 00:46:41 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 11.64%
13 2022-01-03 00:46:43 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 17.88%
14 2022-01-03 00:46:45 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 19.41%
15 2022-01-03 00:46:47 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 21.44%
16 2022-01-03 00:46:49 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 16.63%
17 2022-01-03 00:46:51 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.89%
18 2022-01-03 00:46:54 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 11.05%
19 2022-01-03 00:46:56 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 12.53%
20 2022-01-03 00:46:58 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 15.99%
21 2022-01-03 00:47:00 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 19.33%
22 2022-01-03 00:47:02 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 19.29%
23 2022-01-03 00:47:04 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 17.47%
24 2022-01-03 00:47:06 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 15.99%
25 2022-01-03 00:47:08 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 17.36%
26 2022-01-03 00:47:10 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 11.67%
27 2022-01-03 00:47:12 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 15.36%
28 2022-01-03 00:47:14 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.85%
29 2022-01-03 00:47:16 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 20.01%
30 2022-01-03 00:47:18 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 17.02%
31 2022-01-03 00:47:20 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 20.27%
32 2022-01-03 00:47:22 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 13.67%
33 2022-01-03 00:47:24 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 13.06%
34 2022-01-03 00:47:26 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 15.36%
35 2022-01-03 00:47:28 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 17.94%
36 2022-01-03 00:47:30 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.49%
37 2022-01-03 00:47:32 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.48%
38 2022-01-03 00:47:34 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 20.46%
39 2022-01-03 00:47:36 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 15.38%
40 2022-01-03 00:47:38 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 15.96%
41 2022-01-03 00:47:40 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.18%
42 2022-01-03 00:47:42 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.50%
43 2022-01-03 00:47:44 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.04%
44 2022-01-03 00:47:46 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 22.73%
45 2022-01-03 00:47:48 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 20.63%
46 2022-01-03 00:47:50 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.83%
47 2022-01-03 00:47:52 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 22.91%
48 2022-01-03 00:47:54 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 17.97%
49 2022-01-03 00:47:56 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.05%
50 2022-01-03 00:47:58 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 19.52%
51 2022-01-03 00:48:00 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.29%
52 2022-01-03 00:48:02 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 12.10%
53 2022-01-03 00:48:04 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.25%
54 2022-01-03 00:48:06 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.67%
55 2022-01-03 00:48:08 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 15.61%
56 2022-01-03 00:48:11 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 13.40%
57 2022-01-03 00:48:13 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 12.23%
58 2022-01-03 00:48:15 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 16.84%
59 2022-01-03 00:48:17 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 13.04%
60 2022-01-03 00:48:19 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.36%
61 2022-01-03 00:48:21 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 20.21%
62 2022-01-03 00:48:23 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 16.22%
63 2022-01-03 00:48:25 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.84%
64 2022-01-03 00:48:27 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.42%
65 2022-01-03 00:48:29 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 12.59%
66 2022-01-03 00:48:31 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 19.47%
67 2022-01-03 00:48:33 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 19.53%
68 2022-01-03 00:48:35 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 14.12%
69 2022-01-03 00:48:37 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 12.60%
70 2022-01-03 00:48:39 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 20.23%
71 2022-01-03 00:48:41 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.73%
72 2022-01-03 00:48:43 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 16.77%
73 2022-01-03 00:48:45 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 19.02%
74 2022-01-03 00:48:47 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 13.09%
75 2022-01-03 00:48:49 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 13.11%
76 2022-01-03 00:48:51 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 17.53%
77 2022-01-03 00:48:53 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 20.91%
78 2022-01-03 00:48:55 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 18.98%
79 2022-01-03 00:48:57 ROS_VNF_driver 661b880fa3d8 driver_robot_1 89.43MiB / 1.941GiB 4.50% 12.83%
