iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-06,04:59:36,0.5,ROS_VNF_driver,15.9,2079498240,1315696640,36.7,595484672,1004367872,671125504,210989056,32178176,447467520,1236992
1,2022-01-06,04:59:37,0.5,ROS_VNF_driver,20.7,2079498240,1315696640,36.7,595484672,1004367872,671186944,210989056,32178176,447467520,1236992
2,2022-01-06,04:59:37,0.5,ROS_VNF_driver,17.9,2079498240,1315696640,36.7,595484672,1004367872,671186944,210989056,32178176,447467520,1236992
3,2022-01-06,04:59:38,0.5,ROS_VNF_driver,19.5,2079498240,1315438592,36.7,595742720,1004109824,671264768,210989056,32178176,447467520,1236992
4,2022-01-06,04:59:38,0.5,ROS_VNF_driver,19.5,2079498240,1315438592,36.7,595742720,1004109824,671264768,210989056,32178176,447467520,1236992
5,2022-01-06,04:59:39,0.5,ROS_VNF_driver,19.3,2079498240,1323778048,36.3,587403264,1012449280,663007232,210989056,32178176,447467520,1236992
6,2022-01-06,04:59:39,0.5,ROS_VNF_driver,21.4,2079498240,1323778048,36.3,587403264,1012449280,663007232,210989056,32178176,447467520,1236992
7,2022-01-06,04:59:40,0.5,ROS_VNF_driver,17.5,2079498240,1323827200,36.3,587362304,1012490240,662970368,210997248,32178176,447467520,1236992
8,2022-01-06,04:59:40,0.5,ROS_VNF_driver,16.3,2079498240,1323827200,36.3,587362304,1012490240,662970368,210997248,32178176,447467520,1236992
9,2022-01-06,04:59:41,0.5,ROS_VNF_driver,17.2,2079498240,1323827200,36.3,587354112,1012490240,662970368,210997248,32186368,447467520,1236992
10,2022-01-06,04:59:41,0.5,ROS_VNF_driver,16.7,2079498240,1323827200,36.3,587354112,1012490240,662970368,210997248,32186368,447467520,1236992
11,2022-01-06,04:59:42,0.5,ROS_VNF_driver,10.8,2079498240,1323827200,36.3,587354112,1012490240,662970368,210997248,32186368,447467520,1236992
12,2022-01-06,04:59:42,0.5,ROS_VNF_driver,16.1,2079498240,1323827200,36.3,587354112,1012490240,662970368,210997248,32186368,447467520,1236992
13,2022-01-06,04:59:43,0.5,ROS_VNF_driver,13.1,2079498240,1323827200,36.3,587354112,1012490240,662970368,210997248,32186368,447467520,1236992
14,2022-01-06,04:59:44,0.5,ROS_VNF_driver,18.2,2079498240,1323827200,36.3,587354112,1012490240,662970368,210997248,32186368,447467520,1236992
15,2022-01-06,04:59:44,0.5,ROS_VNF_driver,18.0,2079498240,1323835392,36.3,587354112,1012490240,662978560,210997248,32186368,447467520,1236992
16,2022-01-06,04:59:45,0.5,ROS_VNF_driver,14.3,2079498240,1323835392,36.3,587354112,1012490240,662978560,210997248,32186368,447467520,1236992
17,2022-01-06,04:59:45,0.5,ROS_VNF_driver,16.9,2079498240,1323835392,36.3,587354112,1012490240,662978560,210997248,32186368,447467520,1236992
18,2022-01-06,04:59:46,0.5,ROS_VNF_driver,21.4,2079498240,1323835392,36.3,587354112,1012490240,662978560,210997248,32186368,447467520,1236992
19,2022-01-06,04:59:46,0.5,ROS_VNF_driver,17.6,2079498240,1323835392,36.3,587354112,1012490240,662978560,210997248,32186368,447467520,1236992
20,2022-01-06,04:59:47,0.5,ROS_VNF_driver,11.0,2079498240,1323835392,36.3,587345920,1012490240,662978560,210997248,32194560,447467520,1236992
21,2022-01-06,04:59:47,0.5,ROS_VNF_driver,11.4,2079498240,1323835392,36.3,587345920,1012490240,662978560,210997248,32194560,447467520,1236992
22,2022-01-06,04:59:48,0.5,ROS_VNF_driver,18.2,2079498240,1323835392,36.3,587345920,1012490240,662978560,210997248,32194560,447467520,1236992
23,2022-01-06,04:59:48,0.5,ROS_VNF_driver,19.3,2079498240,1323835392,36.3,587345920,1012490240,663040000,210997248,32194560,447467520,1236992
24,2022-01-06,04:59:49,0.5,ROS_VNF_driver,16.1,2079498240,1323835392,36.3,587345920,1012490240,663040000,210997248,32194560,447467520,1236992
25,2022-01-06,04:59:49,0.5,ROS_VNF_driver,15.1,2079498240,1323835392,36.3,587345920,1012490240,663040000,210997248,32194560,447467520,1236992
26,2022-01-06,04:59:50,0.5,ROS_VNF_driver,17.6,2079498240,1323835392,36.3,587345920,1012490240,663040000,210997248,32194560,447467520,1236992
27,2022-01-06,04:59:50,0.5,ROS_VNF_driver,16.3,2079498240,1323843584,36.3,587345920,1012490240,663048192,210997248,32194560,447467520,1236992
28,2022-01-06,04:59:51,0.5,ROS_VNF_driver,18.2,2079498240,1323843584,36.3,587341824,1012490240,663048192,210997248,32194560,447471616,1236992
29,2022-01-06,04:59:51,0.5,ROS_VNF_driver,19.8,2079498240,1323843584,36.3,587341824,1012490240,663048192,210997248,32194560,447471616,1236992
30,2022-01-06,04:59:52,0.5,ROS_VNF_driver,19.6,2079498240,1323843584,36.3,587341824,1012490240,663048192,210997248,32194560,447471616,1236992
31,2022-01-06,04:59:52,0.5,ROS_VNF_driver,15.1,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
32,2022-01-06,04:59:53,0.5,ROS_VNF_driver,15.1,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
33,2022-01-06,04:59:53,0.5,ROS_VNF_driver,19.3,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
34,2022-01-06,04:59:54,0.5,ROS_VNF_driver,17.8,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
35,2022-01-06,04:59:54,0.5,ROS_VNF_driver,18.2,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
36,2022-01-06,04:59:55,0.5,ROS_VNF_driver,15.3,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
37,2022-01-06,04:59:55,0.5,ROS_VNF_driver,16.1,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
38,2022-01-06,04:59:56,0.5,ROS_VNF_driver,19.5,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
39,2022-01-06,04:59:56,0.5,ROS_VNF_driver,20.5,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
40,2022-01-06,04:59:57,0.5,ROS_VNF_driver,17.0,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
41,2022-01-06,04:59:57,0.5,ROS_VNF_driver,18.2,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32202752,447471616,1236992
42,2022-01-06,04:59:58,0.5,ROS_VNF_driver,18.4,2079498240,1323843584,36.3,587333632,1012490240,663048192,210997248,32210944,447463424,1236992
43,2022-01-06,04:59:58,0.5,ROS_VNF_driver,16.7,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
44,2022-01-06,04:59:59,0.5,ROS_VNF_driver,13.3,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
45,2022-01-06,04:59:59,0.5,ROS_VNF_driver,17.1,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
46,2022-01-06,05:00:00,0.5,ROS_VNF_driver,18.1,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
47,2022-01-06,05:00:00,0.5,ROS_VNF_driver,17.9,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
48,2022-01-06,05:00:01,0.5,ROS_VNF_driver,18.0,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
49,2022-01-06,05:00:01,0.5,ROS_VNF_driver,10.0,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
50,2022-01-06,05:00:02,0.5,ROS_VNF_driver,22.2,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
51,2022-01-06,05:00:02,0.5,ROS_VNF_driver,19.1,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
52,2022-01-06,05:00:03,0.5,ROS_VNF_driver,14.9,2079498240,1323843584,36.3,587325440,1012490240,663105536,210997248,32210944,447471616,1236992
53,2022-01-06,05:00:03,0.5,ROS_VNF_driver,14.5,2079498240,1323872256,36.3,587317248,1012490240,663158784,211005440,32219136,447471616,1236992
54,2022-01-06,05:00:04,0.5,ROS_VNF_driver,14.9,2079498240,1323872256,36.3,587317248,1012490240,663158784,211005440,32219136,447471616,1236992
55,2022-01-06,05:00:04,0.5,ROS_VNF_driver,15.1,2079498240,1323872256,36.3,587317248,1012490240,663158784,211005440,32219136,447471616,1236992
56,2022-01-06,05:00:05,0.5,ROS_VNF_driver,13.1,2079498240,1323872256,36.3,587317248,1012490240,663158784,211005440,32219136,447471616,1236992
57,2022-01-06,05:00:05,0.5,ROS_VNF_driver,18.0,2079498240,1323872256,36.3,587313152,1012490240,663158784,211005440,32219136,447475712,1236992
58,2022-01-06,05:00:06,0.5,ROS_VNF_driver,19.1,2079498240,1323872256,36.3,587313152,1012490240,663158784,211005440,32219136,447475712,1236992
59,2022-01-06,05:00:06,0.5,ROS_VNF_driver,15.3,2079498240,1323872256,36.3,587313152,1012490240,663158784,211005440,32219136,447475712,1236992
60,2022-01-06,05:00:07,0.5,ROS_VNF_driver,16.7,2079498240,1323872256,36.3,587313152,1012490240,663220224,211005440,32219136,447475712,1236992
61,2022-01-06,05:00:07,0.5,ROS_VNF_driver,20.2,2079498240,1323872256,36.3,587313152,1012490240,663220224,211005440,32219136,447475712,1236992
62,2022-01-06,05:00:08,0.5,ROS_VNF_driver,17.8,2079498240,1323872256,36.3,587313152,1012490240,663220224,211005440,32219136,447475712,1236992
63,2022-01-06,05:00:08,0.5,ROS_VNF_driver,15.1,2079498240,1323872256,36.3,587313152,1012490240,663220224,211005440,32219136,447475712,1236992
64,2022-01-06,05:00:09,0.5,ROS_VNF_driver,19.5,2079498240,1323872256,36.3,587304960,1012490240,663220224,211005440,32227328,447475712,1236992
65,2022-01-06,05:00:09,0.5,ROS_VNF_driver,15.7,2079498240,1323872256,36.3,587304960,1012490240,663220224,211005440,32227328,447475712,1236992
66,2022-01-06,05:00:10,0.5,ROS_VNF_driver,13.3,2079498240,1323872256,36.3,587304960,1012490240,663220224,211005440,32227328,447475712,1236992
67,2022-01-06,05:00:10,0.5,ROS_VNF_driver,16.3,2079498240,1323880448,36.3,587304960,1012490240,663269376,211005440,32227328,447475712,1236992
68,2022-01-06,05:00:11,0.5,ROS_VNF_driver,16.5,2079498240,1323880448,36.3,587304960,1012490240,663269376,211005440,32227328,447475712,1236992
69,2022-01-06,05:00:11,0.5,ROS_VNF_driver,15.5,2079498240,1323880448,36.3,587304960,1012490240,663269376,211005440,32227328,447475712,1236992
70,2022-01-06,05:00:12,0.5,ROS_VNF_driver,18.7,2079498240,1323880448,36.3,587304960,1012490240,663269376,211005440,32227328,447475712,1236992
71,2022-01-06,05:00:12,0.5,ROS_VNF_driver,18.4,2079498240,1323880448,36.3,587304960,1012490240,663269376,211005440,32227328,447475712,1236992
72,2022-01-06,05:00:13,0.5,ROS_VNF_driver,16.5,2079498240,1323880448,36.3,587304960,1012490240,663269376,211005440,32227328,447475712,1236992
