iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,19:33:05,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
1,2021-12-29,19:33:05,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
2,2021-12-29,19:33:06,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
3,2021-12-29,19:33:06,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
4,2021-12-29,19:33:06,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
5,2021-12-29,19:33:07,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
6,2021-12-29,19:33:07,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
7,2021-12-29,19:33:07,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
8,2021-12-29,19:33:08,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
9,2021-12-29,19:33:08,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
10,2021-12-29,19:33:08,0.3,ROS_VNF_interface,0.0,2084077568,1725198336,17.2,205574144,1556148224,180420608,223502336,20369408,301985792,806912
11,2021-12-29,19:33:09,0.3,ROS_VNF_interface,1.6,2084077568,1735086080,16.7,195686400,1566035968,171397120,223502336,20369408,301985792,806912
12,2021-12-29,19:33:09,0.3,ROS_VNF_interface,0.0,2084077568,1735135232,16.7,195645440,1566076928,171380736,223510528,20369408,301985792,806912
13,2021-12-29,19:33:09,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
14,2021-12-29,19:33:10,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
15,2021-12-29,19:33:10,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
16,2021-12-29,19:33:10,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
17,2021-12-29,19:33:11,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
18,2021-12-29,19:33:11,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
19,2021-12-29,19:33:11,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
20,2021-12-29,19:33:12,0.3,ROS_VNF_interface,1.2,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
21,2021-12-29,19:33:12,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
22,2021-12-29,19:33:13,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
23,2021-12-29,19:33:13,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
24,2021-12-29,19:33:13,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
25,2021-12-29,19:33:14,0.3,ROS_VNF_interface,0.0,2084077568,1735139328,16.7,195633152,1566076928,171380736,223510528,20377600,301989888,806912
