iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-15,01:49:01,0.5,ROS_VNF_driver,6.7,2079465472,1435746304,31.0,481996800,1127149568,572088320,219299840,32481280,437837824,974848
1,2022-02-15,01:49:01,0.5,ROS_VNF_driver,4.5,2079465472,1435746304,31.0,481996800,1127149568,572088320,219299840,32481280,437837824,974848
2,2022-02-15,01:49:02,0.5,ROS_VNF_driver,9.8,2079465472,1435754496,31.0,481984512,1127149568,572157952,219303936,32481280,437850112,974848
3,2022-02-15,01:49:02,0.5,ROS_VNF_driver,6.6,2079465472,1435762688,31.0,481980416,1127149568,572157952,219299840,32481280,437854208,974848
4,2022-02-15,01:49:03,0.5,ROS_VNF_driver,10.5,2079465472,1435762688,31.0,481980416,1127149568,572157952,219299840,32481280,437854208,974848
5,2022-02-15,01:49:03,0.5,ROS_VNF_driver,7.7,2079465472,1435762688,31.0,481980416,1127149568,572157952,219299840,32489472,437846016,974848
6,2022-02-15,01:49:04,0.5,ROS_VNF_driver,7.7,2079465472,1435729920,31.0,481992704,1127116800,572157952,219299840,32489472,437866496,974848
7,2022-02-15,01:49:04,0.5,ROS_VNF_driver,8.8,2079465472,1443098624,30.6,474644480,1134465024,564064256,219312128,32489472,437866496,974848
8,2022-02-15,01:49:05,0.5,ROS_VNF_driver,7.5,2079465472,1443098624,30.6,474644480,1134465024,564064256,219312128,32489472,437866496,974848
9,2022-02-15,01:49:05,0.5,ROS_VNF_driver,10.5,2079465472,1443098624,30.6,474644480,1134465024,564064256,219312128,32489472,437866496,974848
10,2022-02-15,01:49:06,0.5,ROS_VNF_driver,9.9,2079465472,1443098624,30.6,474640384,1134465024,564064256,219312128,32489472,437870592,974848
11,2022-02-15,01:49:06,0.5,ROS_VNF_driver,12.2,2079465472,1443098624,30.6,474640384,1134465024,564064256,219312128,32489472,437870592,974848
12,2022-02-15,01:49:07,0.5,ROS_VNF_driver,8.5,2079465472,1443098624,30.6,474640384,1134465024,564064256,219312128,32489472,437870592,974848
13,2022-02-15,01:49:07,0.5,ROS_VNF_driver,4.5,2079465472,1443098624,30.6,474640384,1134465024,564064256,219312128,32489472,437870592,974848
14,2022-02-15,01:49:08,0.5,ROS_VNF_driver,6.7,2079465472,1443131392,30.6,474599424,1134497792,564064256,219312128,32489472,437878784,974848
15,2022-02-15,01:49:08,0.5,ROS_VNF_driver,7.7,2079465472,1443164160,30.6,474554368,1134530560,564064256,219312128,32497664,437882880,974848
16,2022-02-15,01:49:09,0.5,ROS_VNF_driver,7.6,2079465472,1443131392,30.6,474583040,1134497792,564064256,219312128,32497664,437886976,974848
17,2022-02-15,01:49:09,0.5,ROS_VNF_driver,7.6,2079465472,1443131392,30.6,474583040,1134497792,564064256,219312128,32497664,437886976,974848
18,2022-02-15,01:49:10,0.5,ROS_VNF_driver,5.6,2079465472,1443131392,30.6,474578944,1134497792,564064256,219312128,32497664,437891072,974848
19,2022-02-15,01:49:10,0.5,ROS_VNF_driver,5.6,2079465472,1443131392,30.6,474578944,1134497792,564064256,219312128,32497664,437891072,974848
20,2022-02-15,01:49:11,0.5,ROS_VNF_driver,8.8,2079465472,1443131392,30.6,474578944,1134497792,564064256,219312128,32497664,437891072,974848
21,2022-02-15,01:49:11,0.5,ROS_VNF_driver,10.5,2079465472,1443131392,30.6,474574848,1134497792,564064256,219312128,32497664,437895168,974848
22,2022-02-15,01:49:12,0.5,ROS_VNF_driver,10.5,2079465472,1443131392,30.6,474574848,1134497792,564064256,219312128,32497664,437895168,974848
23,2022-02-15,01:49:12,0.5,ROS_VNF_driver,8.7,2079465472,1443131392,30.6,474574848,1134497792,564064256,219312128,32497664,437895168,974848
24,2022-02-15,01:49:13,0.5,ROS_VNF_driver,9.7,2079465472,1443139584,30.6,474570752,1134497792,564064256,219320320,32497664,437899264,974848
25,2022-02-15,01:49:13,0.5,ROS_VNF_driver,22.1,2079465472,1438597120,30.8,479006720,1129242624,569880576,219344896,33034240,438181888,974848
26,2022-02-15,01:49:14,0.5,ROS_VNF_driver,11.8,2079465472,1482608640,28.7,434995200,1173250048,526184448,218148864,33034240,438185984,974848
