iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-05,06:31:34,0.5,ROS_VNF_driver,18.7,2084077568,1386872832,33.5,530243584,1069494272,611831808,213045248,35184640,449155072,1228800
1,2022-01-05,06:31:35,0.5,ROS_VNF_driver,9.9,2084077568,1386872832,33.5,530243584,1069494272,611831808,213045248,35184640,449155072,1228800
2,2022-01-05,06:31:35,0.5,ROS_VNF_driver,16.1,2084077568,1386872832,33.5,530243584,1069494272,611831808,213045248,35184640,449155072,1228800
3,2022-01-05,06:31:36,0.5,ROS_VNF_driver,11.6,2084077568,1386872832,33.5,530243584,1069494272,611831808,213045248,35184640,449155072,1228800
4,2022-01-05,06:31:36,0.5,ROS_VNF_driver,12.5,2084077568,1386872832,33.5,530243584,1069494272,611831808,213045248,35184640,449155072,1228800
5,2022-01-05,06:31:37,0.5,ROS_VNF_driver,10.5,2084077568,1386872832,33.5,530243584,1069494272,611831808,213045248,35184640,449155072,1228800
6,2022-01-05,06:31:37,0.5,ROS_VNF_driver,17.6,2084077568,1386872832,33.5,530243584,1069494272,611831808,213045248,35184640,449155072,1228800
7,2022-01-05,06:31:38,0.5,ROS_VNF_driver,16.3,2084077568,1396252672,33.0,520863744,1078874112,603402240,213045248,35184640,449155072,1228800
8,2022-01-05,06:31:38,0.5,ROS_VNF_driver,13.3,2084077568,1396289536,33.0,520830976,1078906880,603295744,213049344,35184640,449155072,1228800
9,2022-01-05,06:31:39,0.5,ROS_VNF_driver,9.6,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
10,2022-01-05,06:31:39,0.5,ROS_VNF_driver,14.3,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
11,2022-01-05,06:31:40,0.5,ROS_VNF_driver,15.3,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
12,2022-01-05,06:31:40,0.5,ROS_VNF_driver,18.1,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
13,2022-01-05,06:31:41,0.5,ROS_VNF_driver,9.6,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
14,2022-01-05,06:31:41,0.5,ROS_VNF_driver,15.7,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
15,2022-01-05,06:31:42,0.5,ROS_VNF_driver,13.5,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
16,2022-01-05,06:31:42,0.5,ROS_VNF_driver,17.0,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
17,2022-01-05,06:31:43,0.5,ROS_VNF_driver,10.0,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
18,2022-01-05,06:31:43,0.5,ROS_VNF_driver,10.6,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
19,2022-01-05,06:31:44,0.5,ROS_VNF_driver,13.1,2084077568,1396031488,33.0,521076736,1078648832,603295744,213049344,35192832,449159168,1228800
20,2022-01-05,06:31:44,0.5,ROS_VNF_driver,17.6,2084077568,1396031488,33.0,521068544,1078648832,603295744,213049344,35201024,449159168,1228800
21,2022-01-05,06:31:45,0.5,ROS_VNF_driver,15.1,2084077568,1396031488,33.0,521068544,1078648832,603295744,213049344,35201024,449159168,1228800
22,2022-01-05,06:31:45,0.5,ROS_VNF_driver,13.6,2084077568,1396031488,33.0,521068544,1078648832,603295744,213049344,35201024,449159168,1228800
23,2022-01-05,06:31:46,0.5,ROS_VNF_driver,12.6,2084077568,1396031488,33.0,521068544,1078648832,603295744,213049344,35201024,449159168,1228800
24,2022-01-05,06:31:46,0.5,ROS_VNF_driver,9.4,2084077568,1396031488,33.0,521068544,1078648832,603295744,213049344,35201024,449159168,1228800
25,2022-01-05,06:31:47,0.5,ROS_VNF_driver,11.6,2084077568,1396031488,33.0,521068544,1078648832,603295744,213049344,35201024,449159168,1228800
26,2022-01-05,06:31:47,0.5,ROS_VNF_driver,16.9,2084077568,1396031488,33.0,521068544,1078648832,603295744,213049344,35201024,449159168,1228800
27,2022-01-05,06:31:48,0.5,ROS_VNF_driver,17.4,2084077568,1396031488,33.0,521068544,1078648832,603295744,213049344,35201024,449159168,1228800
28,2022-01-05,06:31:48,0.5,ROS_VNF_driver,13.4,2084077568,1395769344,33.0,521326592,1078382592,603787264,213049344,35201024,449167360,1228800
29,2022-01-05,06:31:49,0.5,ROS_VNF_driver,20.7,2084077568,1395769344,33.0,521326592,1078382592,603787264,213049344,35201024,449167360,1228800
30,2022-01-05,06:31:49,0.5,ROS_VNF_driver,20.5,2084077568,1395769344,33.0,521326592,1078382592,603799552,213049344,35201024,449167360,1228800
31,2022-01-05,06:31:50,0.5,ROS_VNF_driver,15.0,2084077568,1395769344,33.0,521326592,1078382592,603799552,213049344,35209216,449159168,1228800
32,2022-01-05,06:31:50,0.5,ROS_VNF_driver,19.0,2084077568,1395769344,33.0,521318400,1078382592,603799552,213049344,35209216,449167360,1228800
33,2022-01-05,06:31:51,0.5,ROS_VNF_driver,14.1,2084077568,1395761152,33.0,521326592,1078374400,603799552,213049344,35209216,449167360,1228800
34,2022-01-05,06:31:51,0.5,ROS_VNF_driver,17.2,2084077568,1395761152,33.0,521326592,1078374400,603799552,213049344,35209216,449167360,1228800
35,2022-01-05,06:31:52,0.5,ROS_VNF_driver,14.0,2084077568,1396027392,33.0,521060352,1078640640,603299840,213049344,35209216,449167360,1228800
36,2022-01-05,06:31:52,0.5,ROS_VNF_driver,12.6,2084077568,1396027392,33.0,521060352,1078640640,603299840,213049344,35209216,449167360,1228800
37,2022-01-05,06:31:53,0.5,ROS_VNF_driver,19.8,2084077568,1396027392,33.0,521060352,1078640640,603299840,213049344,35209216,449167360,1228800
