iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-14,22:54:33,0.5,ROS_VNF_driver,12.2,2079465472,1590112256,23.5,330641408,1283887104,412102656,232538112,31846400,433090560,905216
1,2022-02-14,22:54:34,0.5,ROS_VNF_driver,1.1,2079465472,1590112256,23.5,330641408,1283887104,412102656,232538112,31846400,433090560,905216
2,2022-02-14,22:54:34,0.5,ROS_VNF_driver,3.1,2079465472,1590112256,23.5,330641408,1283887104,412102656,232538112,31846400,433090560,905216
3,2022-02-14,22:54:35,0.5,ROS_VNF_driver,2.1,2079465472,1590112256,23.5,330641408,1283887104,412102656,232538112,31846400,433090560,905216
4,2022-02-14,22:54:35,0.5,ROS_VNF_driver,0.0,2079465472,1590112256,23.5,330641408,1283887104,412102656,232538112,31846400,433090560,905216
5,2022-02-14,22:54:36,0.5,ROS_VNF_driver,2.1,2079465472,1590112256,23.5,330641408,1283887104,412102656,232538112,31846400,433090560,905216
6,2022-02-14,22:54:36,0.5,ROS_VNF_driver,0.0,2079465472,1590112256,23.5,330641408,1283887104,412102656,232538112,31846400,433090560,905216
7,2022-02-14,22:54:37,0.5,ROS_VNF_driver,4.3,2079465472,1597726720,23.2,323035136,1291493376,404107264,232546304,31846400,433090560,905216
8,2022-02-14,22:54:37,0.5,ROS_VNF_driver,2.0,2079465472,1597726720,23.2,323035136,1291493376,404107264,232546304,31846400,433090560,905216
9,2022-02-14,22:54:38,0.5,ROS_VNF_driver,0.0,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
10,2022-02-14,22:54:38,0.5,ROS_VNF_driver,1.1,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
11,2022-02-14,22:54:39,0.5,ROS_VNF_driver,3.2,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
12,2022-02-14,22:54:39,0.5,ROS_VNF_driver,1.1,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
13,2022-02-14,22:54:40,0.5,ROS_VNF_driver,2.1,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
14,2022-02-14,22:54:40,0.5,ROS_VNF_driver,0.0,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
15,2022-02-14,22:54:41,0.5,ROS_VNF_driver,1.1,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
16,2022-02-14,22:54:41,0.5,ROS_VNF_driver,0.0,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
17,2022-02-14,22:54:42,0.5,ROS_VNF_driver,2.1,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
18,2022-02-14,22:54:42,0.5,ROS_VNF_driver,2.1,2079465472,1597726720,23.2,323022848,1291493376,404107264,232546304,31854592,433094656,905216
