iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,05:49:46,0.5,ROS_VNF_driver,37.5,2084077568,1204584448,42.2,710967296,882806784,776912896,215982080,33042432,457261056,1368064
1,2021-12-28,05:49:46,0.5,ROS_VNF_driver,36.4,2084077568,1204584448,42.2,710967296,882806784,776912896,215982080,33042432,457261056,1368064
2,2021-12-28,05:49:47,0.5,ROS_VNF_driver,35.5,2084077568,1204576256,42.2,710975488,882798592,776974336,215982080,33042432,457261056,1368064
3,2021-12-28,05:49:47,0.5,ROS_VNF_driver,23.2,2084077568,1204576256,42.2,710975488,882798592,776974336,215982080,33042432,457261056,1368064
4,2021-12-28,05:49:48,0.5,ROS_VNF_driver,14.8,2084077568,1204576256,42.2,710975488,882798592,776974336,215982080,33042432,457261056,1368064
5,2021-12-28,05:49:48,0.5,ROS_VNF_driver,12.8,2084077568,1204576256,42.2,710975488,882798592,776974336,215982080,33042432,457261056,1368064
6,2021-12-28,05:49:49,0.5,ROS_VNF_driver,10.7,2084077568,1211932672,41.8,703627264,890146816,769167360,215990272,33042432,457261056,1368064
7,2021-12-28,05:49:49,0.5,ROS_VNF_driver,12.6,2084077568,1211932672,41.8,703619072,890146816,769167360,215990272,33050624,457261056,1368064
8,2021-12-28,05:49:50,0.5,ROS_VNF_driver,13.5,2084077568,1211932672,41.8,703619072,890146816,769167360,215990272,33050624,457261056,1368064
9,2021-12-28,05:49:50,0.5,ROS_VNF_driver,12.6,2084077568,1211932672,41.8,703619072,890146816,769167360,215990272,33050624,457261056,1368064
10,2021-12-28,05:49:51,0.5,ROS_VNF_driver,12.6,2084077568,1211932672,41.8,703619072,890146816,769167360,215990272,33050624,457261056,1368064
11,2021-12-28,05:49:51,0.5,ROS_VNF_driver,14.4,2084077568,1211932672,41.8,703619072,890146816,769167360,215990272,33050624,457261056,1368064
12,2021-12-28,05:49:52,0.5,ROS_VNF_driver,13.6,2084077568,1211932672,41.8,703619072,890146816,769167360,215990272,33050624,457261056,1368064
13,2021-12-28,05:49:52,0.5,ROS_VNF_driver,14.0,2084077568,1211932672,41.8,703619072,890146816,769167360,215990272,33050624,457261056,1368064
14,2021-12-28,05:49:53,0.5,ROS_VNF_driver,12.6,2084077568,1211924480,41.8,703627264,890138624,769167360,215990272,33050624,457261056,1368064
15,2021-12-28,05:49:53,0.5,ROS_VNF_driver,16.5,2084077568,1211924480,41.8,703627264,890138624,769167360,215990272,33050624,457261056,1368064
16,2021-12-28,05:49:54,0.5,ROS_VNF_driver,40.0,2084077568,1211924480,41.8,703627264,890138624,769167360,215990272,33050624,457261056,1368064
17,2021-12-28,05:49:54,0.5,ROS_VNF_driver,38.7,2084077568,1211924480,41.8,703627264,890138624,769167360,215990272,33050624,457261056,1368064
18,2021-12-28,05:49:55,0.5,ROS_VNF_driver,36.0,2084077568,1211916288,41.8,703627264,890130432,769167360,215990272,33058816,457261056,1368064
19,2021-12-28,05:49:55,0.5,ROS_VNF_driver,37.3,2084077568,1211916288,41.8,703627264,890130432,769167360,215990272,33058816,457261056,1368064
20,2021-12-28,05:49:56,0.5,ROS_VNF_driver,36.0,2084077568,1211932672,41.8,703627264,890130432,769196032,215990272,33058816,457261056,1368064
21,2021-12-28,05:49:56,0.5,ROS_VNF_driver,35.9,2084077568,1211932672,41.8,703627264,890130432,769196032,215990272,33058816,457261056,1368064
22,2021-12-28,05:49:57,0.5,ROS_VNF_driver,36.4,2084077568,1211932672,41.8,703627264,890130432,769196032,215990272,33058816,457261056,1368064
23,2021-12-28,05:49:57,0.5,ROS_VNF_driver,32.4,2084077568,1211932672,41.8,703627264,890130432,769196032,215990272,33058816,457261056,1368064
24,2021-12-28,05:49:58,0.5,ROS_VNF_driver,39.5,2084077568,1211932672,41.8,703627264,890130432,769196032,215990272,33058816,457261056,1368064
25,2021-12-28,05:49:58,0.5,ROS_VNF_driver,35.1,2084077568,1211932672,41.8,703627264,890130432,769196032,215990272,33058816,457261056,1368064
26,2021-12-28,05:49:59,0.5,ROS_VNF_driver,34.7,2084077568,1211932672,41.8,703627264,890130432,769196032,215990272,33058816,457261056,1368064
27,2021-12-28,05:49:59,0.5,ROS_VNF_driver,41.8,2084077568,1211932672,41.8,703627264,890130432,769196032,215990272,33058816,457261056,1368064
28,2021-12-28,05:50:00,0.5,ROS_VNF_driver,40.0,2084077568,1211932672,41.8,703627264,890130432,769196032,215990272,33058816,457261056,1368064
29,2021-12-28,05:50:00,0.5,ROS_VNF_driver,38.0,2084077568,1211932672,41.8,703614976,890130432,769196032,215990272,33067008,457265152,1368064
30,2021-12-28,05:50:01,0.5,ROS_VNF_driver,35.5,2084077568,1211932672,41.8,703614976,890130432,769196032,215990272,33067008,457265152,1368064
31,2021-12-28,05:50:01,0.5,ROS_VNF_driver,39.5,2084077568,1211932672,41.8,703614976,890130432,769196032,215990272,33067008,457265152,1368064
32,2021-12-28,05:50:02,0.5,ROS_VNF_driver,36.0,2084077568,1211924480,41.8,703623168,890122240,769196032,215990272,33067008,457265152,1368064
33,2021-12-28,05:50:02,0.5,ROS_VNF_driver,41.3,2084077568,1211924480,41.8,703623168,890122240,769196032,215990272,33067008,457265152,1368064
34,2021-12-28,05:50:03,0.5,ROS_VNF_driver,38.5,2084077568,1211924480,41.8,703623168,890122240,769196032,215990272,33067008,457265152,1368064
35,2021-12-28,05:50:03,0.5,ROS_VNF_driver,35.5,2084077568,1211924480,41.8,703623168,890122240,769196032,215990272,33067008,457265152,1368064
36,2021-12-28,05:50:04,0.5,ROS_VNF_driver,33.8,2084077568,1211924480,41.8,703623168,890122240,769196032,215990272,33067008,457265152,1368064
37,2021-12-28,05:50:04,0.5,ROS_VNF_driver,28.6,2084077568,1211924480,41.8,703623168,890122240,769196032,215990272,33067008,457265152,1368064
38,2021-12-28,05:50:05,0.5,ROS_VNF_driver,12.5,2084077568,1211924480,41.8,703623168,890122240,769196032,215990272,33067008,457265152,1368064
39,2021-12-28,05:50:05,0.5,ROS_VNF_driver,11.4,2084077568,1211924480,41.8,703623168,890122240,769196032,215990272,33067008,457265152,1368064
40,2021-12-28,05:50:06,0.5,ROS_VNF_driver,10.6,2084077568,1211908096,41.8,703631360,890105856,769196032,215990272,33075200,457265152,1368064
41,2021-12-28,05:50:06,0.5,ROS_VNF_driver,10.5,2084077568,1211899904,41.8,703639552,890097664,769196032,215990272,33075200,457265152,1368064
42,2021-12-28,05:50:07,0.5,ROS_VNF_driver,11.9,2084077568,1211899904,41.8,703639552,890097664,769196032,215990272,33075200,457265152,1368064
43,2021-12-28,05:50:07,0.5,ROS_VNF_driver,11.5,2084077568,1211899904,41.8,703639552,890097664,769196032,215990272,33075200,457265152,1368064
44,2021-12-28,05:50:08,0.5,ROS_VNF_driver,10.6,2084077568,1211899904,41.8,703639552,890097664,769196032,215990272,33075200,457265152,1368064
45,2021-12-28,05:50:08,0.5,ROS_VNF_driver,6.1,2084077568,1211899904,41.8,703639552,890097664,769196032,215990272,33075200,457265152,1368064
46,2021-12-28,05:50:09,0.5,ROS_VNF_driver,12.2,2084077568,1211965440,41.8,703574016,890163200,769196032,215990272,33075200,457265152,1368064
47,2021-12-28,05:50:09,0.5,ROS_VNF_driver,40.7,2084077568,1211965440,41.8,703574016,890163200,769196032,215990272,33075200,457265152,1368064
48,2021-12-28,05:50:10,0.5,ROS_VNF_driver,42.5,2084077568,1211965440,41.8,703574016,890163200,769196032,215990272,33075200,457265152,1368064
49,2021-12-28,05:50:10,0.5,ROS_VNF_driver,40.5,2084077568,1211965440,41.8,703574016,890163200,769196032,215990272,33075200,457265152,1368064
50,2021-12-28,05:50:11,0.5,ROS_VNF_driver,41.3,2084077568,1211965440,41.8,703574016,890163200,769196032,215990272,33075200,457265152,1368064
51,2021-12-28,05:50:11,0.5,ROS_VNF_driver,46.5,2084077568,1211965440,41.8,703574016,890163200,769196032,215990272,33083392,457256960,1368064
52,2021-12-28,05:50:12,0.5,ROS_VNF_driver,43.7,2084077568,1211965440,41.8,703565824,890163200,769196032,215990272,33083392,457265152,1368064
53,2021-12-28,05:50:12,0.5,ROS_VNF_driver,39.0,2084077568,1211965440,41.8,703565824,890163200,769196032,215990272,33083392,457265152,1368064
