iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 00:46:19 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.84%
2 2022-01-03 00:46:21 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.93%
3 2022-01-03 00:46:23 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.97%
4 2022-01-03 00:46:25 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.89%
5 2022-01-03 00:46:27 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.92%
6 2022-01-03 00:46:29 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.93%
7 2022-01-03 00:46:31 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.11%
8 2022-01-03 00:46:33 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.78%
9 2022-01-03 00:46:35 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.97%
10 2022-01-03 00:46:37 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.93%
11 2022-01-03 00:46:40 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.99%
12 2022-01-03 00:46:42 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.67%
13 2022-01-03 00:46:44 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.95%
14 2022-01-03 00:46:46 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.91%
15 2022-01-03 00:46:48 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.93%
16 2022-01-03 00:46:50 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.16%
17 2022-01-03 00:46:52 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.90%
18 2022-01-03 00:46:54 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.71%
19 2022-01-03 00:46:56 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.44%
20 2022-01-03 00:46:58 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.07%
21 2022-01-03 00:47:00 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.79%
22 2022-01-03 00:47:02 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.76%
23 2022-01-03 00:47:04 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.75%
24 2022-01-03 00:47:06 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.92%
25 2022-01-03 00:47:08 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.60%
26 2022-01-03 00:47:10 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.97%
27 2022-01-03 00:47:12 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.01%
28 2022-01-03 00:47:14 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.01%
29 2022-01-03 00:47:16 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.87%
30 2022-01-03 00:47:18 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.80%
31 2022-01-03 00:47:20 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.86%
32 2022-01-03 00:47:22 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.08%
33 2022-01-03 00:47:24 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.95%
34 2022-01-03 00:47:26 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.60%
35 2022-01-03 00:47:28 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.72%
36 2022-01-03 00:47:30 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.77%
37 2022-01-03 00:47:32 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.93%
38 2022-01-03 00:47:34 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.54%
39 2022-01-03 00:47:36 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.74%
40 2022-01-03 00:47:38 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.73%
41 2022-01-03 00:47:40 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.99%
42 2022-01-03 00:47:42 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.08%
43 2022-01-03 00:47:44 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.82%
44 2022-01-03 00:47:46 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.96%
45 2022-01-03 00:47:48 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 1.92%
46 2022-01-03 00:47:50 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.92%
47 2022-01-03 00:47:52 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.84%
48 2022-01-03 00:47:54 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.83%
49 2022-01-03 00:47:56 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.94%
50 2022-01-03 00:47:59 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.21%
51 2022-01-03 00:48:01 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.84%
52 2022-01-03 00:48:03 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.25%
53 2022-01-03 00:48:05 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.03%
54 2022-01-03 00:48:07 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.41%
55 2022-01-03 00:48:09 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.77%
56 2022-01-03 00:48:11 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.71%
57 2022-01-03 00:48:13 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.03%
58 2022-01-03 00:48:15 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.66%
59 2022-01-03 00:48:17 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.19%
60 2022-01-03 00:48:19 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.35%
61 2022-01-03 00:48:21 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.70%
62 2022-01-03 00:48:23 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.07%
63 2022-01-03 00:48:25 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.97%
64 2022-01-03 00:48:27 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.98%
65 2022-01-03 00:48:29 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.92%
66 2022-01-03 00:48:31 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.32%
67 2022-01-03 00:48:33 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.06%
68 2022-01-03 00:48:35 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.34%
69 2022-01-03 00:48:37 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.95%
70 2022-01-03 00:48:39 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.93%
71 2022-01-03 00:48:41 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.95%
72 2022-01-03 00:48:43 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.52%
73 2022-01-03 00:48:45 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.77%
74 2022-01-03 00:48:47 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.12%
75 2022-01-03 00:48:49 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.13%
76 2022-01-03 00:48:51 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.18%
77 2022-01-03 00:48:53 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.80%
78 2022-01-03 00:48:55 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.68%
79 2022-01-03 00:48:57 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.88%
80 2022-01-03 00:48:59 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.60%
81 2022-01-03 00:49:01 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.71%
82 2022-01-03 00:49:03 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.85%
83 2022-01-03 00:49:05 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.10%
84 2022-01-03 00:49:07 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.28%
85 2022-01-03 00:49:09 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.83%
86 2022-01-03 00:49:12 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.70%
87 2022-01-03 00:49:14 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.51%
88 2022-01-03 00:49:16 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.08%
89 2022-01-03 00:49:18 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.88%
90 2022-01-03 00:49:20 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.05%
91 2022-01-03 00:49:22 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.22%
92 2022-01-03 00:49:24 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.91%
93 2022-01-03 00:49:26 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.66%
94 2022-01-03 00:49:28 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.74%
95 2022-01-03 00:49:30 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.09%
96 2022-01-03 00:49:32 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.99%
97 2022-01-03 00:49:34 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.94%
98 2022-01-03 00:49:36 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.70%
99 2022-01-03 00:49:38 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.57%
100 2022-01-03 00:49:40 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.87%
101 2022-01-03 00:49:42 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.12%
102 2022-01-03 00:49:44 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.56%
103 2022-01-03 00:49:46 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.56%
104 2022-01-03 00:49:48 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.79%
105 2022-01-03 00:49:50 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.88%
106 2022-01-03 00:49:52 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.85%
107 2022-01-03 00:49:54 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.87%
108 2022-01-03 00:49:56 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.47%
109 2022-01-03 00:49:58 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.35%
110 2022-01-03 00:50:00 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.83%
111 2022-01-03 00:50:02 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.72%
112 2022-01-03 00:50:04 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.03%
113 2022-01-03 00:50:06 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.11%
114 2022-01-03 00:50:08 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.27%
115 2022-01-03 00:50:10 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.81%
116 2022-01-03 00:50:12 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.92%
117 2022-01-03 00:50:14 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.95%
118 2022-01-03 00:50:16 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.98%
119 2022-01-03 00:50:18 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.10%
120 2022-01-03 00:50:20 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.71%
121 2022-01-03 00:50:22 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.15%
122 2022-01-03 00:50:24 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.92%
123 2022-01-03 00:50:26 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.85%
124 2022-01-03 00:50:28 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 3.39%
125 2022-01-03 00:50:30 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.58%
126 2022-01-03 00:50:32 ROS_VNF_control 4b1a7b31541d controller_robot_1 181.7MiB / 1.941GiB 9.14% 2.78%
