iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-15,05:00:14,0.5,ROS_VNF_control,13.3,2079465472,747462656,64.1,1165099008,432197632,1251201024,206610432,33902592,448266240,1114112
1,2022-02-15,05:00:15,0.5,ROS_VNF_control,5.3,2079465472,747462656,64.1,1165090816,432197632,1251201024,206610432,33902592,448274432,1114112
2,2022-02-15,05:00:15,0.5,ROS_VNF_control,5.2,2079465472,747462656,64.1,1165090816,432197632,1251201024,206610432,33902592,448274432,1114112
3,2022-02-15,05:00:16,0.5,ROS_VNF_control,7.2,2079465472,747474944,64.1,1165074432,432197632,1251250176,206622720,33902592,448290816,1114112
4,2022-02-15,05:00:16,0.5,ROS_VNF_control,5.2,2079465472,747474944,64.1,1165070336,432197632,1251250176,206622720,33902592,448294912,1114112
5,2022-02-15,05:00:17,0.5,ROS_VNF_control,6.2,2079465472,747474944,64.1,1165062144,432197632,1251250176,206622720,33902592,448303104,1114112
6,2022-02-15,05:00:17,0.5,ROS_VNF_control,9.2,2079465472,754774016,63.7,1157771264,439488512,1243574272,206630912,33902592,448303104,1114112
7,2022-02-15,05:00:18,0.5,ROS_VNF_control,4.2,2079465472,754847744,63.7,1157689344,439545856,1243521024,206647296,33914880,448315392,1114112
8,2022-02-15,05:00:18,0.5,ROS_VNF_control,7.1,2079465472,754847744,63.7,1157681152,439545856,1243521024,206647296,33914880,448323584,1114112
9,2022-02-15,05:00:19,0.5,ROS_VNF_control,7.1,2079465472,754847744,63.7,1157672960,439545856,1243521024,206647296,33914880,448331776,1114112
10,2022-02-15,05:00:19,0.5,ROS_VNF_control,7.2,2079465472,754847744,63.7,1157672960,439545856,1243521024,206647296,33914880,448331776,1114112
11,2022-02-15,05:00:20,0.5,ROS_VNF_control,5.2,2079465472,754847744,63.7,1157664768,439545856,1243521024,206647296,33914880,448339968,1114112
12,2022-02-15,05:00:20,0.5,ROS_VNF_control,6.2,2079465472,754593792,63.7,1157910528,439287808,1243521024,206647296,33914880,448352256,1114112
13,2022-02-15,05:00:21,0.5,ROS_VNF_control,8.2,2079465472,754593792,63.7,1157910528,439287808,1243521024,206647296,33914880,448352256,1114112
