iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,17:11:26,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
1,2021-12-29,17:11:26,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
2,2021-12-29,17:11:26,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
3,2021-12-29,17:11:27,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
4,2021-12-29,17:11:27,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
5,2021-12-29,17:11:27,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
6,2021-12-29,17:11:27,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
7,2021-12-29,17:11:27,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
8,2021-12-29,17:11:28,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
9,2021-12-29,17:11:28,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
10,2021-12-29,17:11:28,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
11,2021-12-29,17:11:28,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
12,2021-12-29,17:11:28,0.2,ROS_VNF_command,0.0,2084077568,1726652416,17.2,203341824,1558216704,179445760,223547392,19992576,302526464,806912
