iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-08,02:31:33,0.5,ROS_VNF_control,4.0,2079498240,192212992,90.8,1721487360,103256064,995442688,779931648,15400960,239353856,954368
1,2022-01-08,02:31:33,0.5,ROS_VNF_control,2.1,2079498240,192212992,90.8,1721487360,103256064,995442688,779931648,15400960,239353856,954368
2,2022-01-08,02:31:34,0.5,ROS_VNF_control,4.1,2079498240,192212992,90.8,1721487360,103256064,995442688,779931648,15400960,239353856,954368
3,2022-01-08,02:31:34,0.5,ROS_VNF_control,1.1,2079498240,192212992,90.8,1721487360,103256064,995442688,779931648,15400960,239353856,954368
4,2022-01-08,02:31:35,0.5,ROS_VNF_control,3.1,2079498240,192212992,90.8,1721487360,103256064,995442688,779931648,15400960,239353856,954368
5,2022-01-08,02:31:35,0.5,ROS_VNF_control,4.0,2079498240,192212992,90.8,1721487360,103256064,995442688,779931648,15400960,239353856,954368
6,2022-01-08,02:31:36,0.5,ROS_VNF_control,4.1,2079498240,192212992,90.8,1721487360,103256064,995442688,779931648,15400960,239353856,954368
7,2022-01-08,02:31:36,0.5,ROS_VNF_control,6.1,2079498240,200802304,90.3,1712943104,111804416,991166464,775380992,15400960,239349760,954368
8,2022-01-08,02:31:37,0.5,ROS_VNF_control,2.1,2079498240,200802304,90.3,1712943104,111804416,991166464,775380992,15400960,239349760,954368
9,2022-01-08,02:31:37,0.5,ROS_VNF_control,4.1,2079498240,200802304,90.3,1712930816,111804416,991166464,775380992,15413248,239349760,954368
10,2022-01-08,02:31:38,0.5,ROS_VNF_control,4.1,2079498240,200802304,90.3,1712930816,111804416,991166464,775380992,15413248,239349760,954368
11,2022-01-08,02:31:38,0.5,ROS_VNF_control,3.1,2079498240,200802304,90.3,1712930816,111804416,991166464,775380992,15413248,239349760,954368
12,2022-01-08,02:31:39,0.5,ROS_VNF_control,2.1,2079498240,200802304,90.3,1712930816,111804416,991166464,775380992,15413248,239349760,954368
13,2022-01-08,02:31:39,0.5,ROS_VNF_control,4.1,2079498240,200802304,90.3,1712930816,111804416,991166464,775380992,15413248,239349760,954368
14,2022-01-08,02:31:40,0.5,ROS_VNF_control,4.1,2079498240,200802304,90.3,1712930816,111804416,991166464,775380992,15413248,239349760,954368
15,2022-01-08,02:31:40,0.5,ROS_VNF_control,2.1,2079498240,200802304,90.3,1712930816,111804416,991166464,775380992,15413248,239349760,954368
16,2022-01-08,02:31:41,0.5,ROS_VNF_control,2.1,2079498240,200802304,90.3,1712930816,111804416,991166464,775380992,15413248,239349760,954368
17,2022-01-08,02:31:41,0.5,ROS_VNF_control,5.0,2079498240,200802304,90.3,1712930816,111804416,991166464,775380992,15413248,239349760,954368
18,2022-01-08,02:31:42,0.5,ROS_VNF_control,5.9,2079498240,200798208,90.3,1712930816,111796224,991166464,775380992,15413248,239357952,954368
19,2022-01-08,02:31:42,0.5,ROS_VNF_control,2.1,2079498240,200798208,90.3,1712930816,111796224,991166464,775380992,15413248,239357952,954368
20,2022-01-08,02:31:43,0.5,ROS_VNF_control,5.1,2079498240,200798208,90.3,1712922624,111796224,991166464,775380992,15421440,239357952,954368
21,2022-01-08,02:31:43,0.5,ROS_VNF_control,3.1,2079498240,200798208,90.3,1712922624,111796224,991166464,775380992,15421440,239357952,954368
22,2022-01-08,02:31:44,0.5,ROS_VNF_control,3.1,2079498240,200798208,90.3,1712922624,111796224,991166464,775380992,15421440,239357952,954368
23,2022-01-08,02:31:44,0.5,ROS_VNF_control,3.1,2079498240,200798208,90.3,1712922624,111796224,991166464,775380992,15421440,239357952,954368
24,2022-01-08,02:31:45,0.5,ROS_VNF_control,5.0,2079498240,200798208,90.3,1712922624,111796224,991166464,775380992,15421440,239357952,954368
25,2022-01-08,02:31:45,0.5,ROS_VNF_control,2.1,2079498240,200798208,90.3,1712922624,111796224,991166464,775380992,15421440,239357952,954368
26,2022-01-08,02:31:46,0.5,ROS_VNF_control,4.0,2079498240,200798208,90.3,1712922624,111796224,991166464,775380992,15421440,239357952,954368
