iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-08,12:14:05,0.5,ROS_VNF_control,15.8,2079465472,837144576,59.7,1074073600,523390976,1163681792,203681792,33546240,448454656,1118208
1,2022-02-08,12:14:05,0.5,ROS_VNF_control,3.1,2079465472,837144576,59.7,1074073600,523390976,1163681792,203681792,33546240,448454656,1118208
2,2022-02-08,12:14:06,0.5,ROS_VNF_control,3.0,2079465472,837144576,59.7,1074073600,523390976,1163681792,203681792,33546240,448454656,1118208
3,2022-02-08,12:14:06,0.5,ROS_VNF_control,0.0,2079465472,837144576,59.7,1074069504,523390976,1163681792,203681792,33546240,448458752,1118208
4,2022-02-08,12:14:07,0.5,ROS_VNF_control,5.1,2079465472,837144576,59.7,1074065408,523390976,1163681792,203681792,33546240,448462848,1118208
5,2022-02-08,12:14:07,0.5,ROS_VNF_control,5.1,2079465472,837144576,59.7,1074065408,523390976,1163681792,203681792,33546240,448462848,1118208
6,2022-02-08,12:14:08,0.5,ROS_VNF_control,3.1,2079465472,837144576,59.7,1074065408,523390976,1163681792,203681792,33546240,448462848,1118208
7,2022-02-08,12:14:08,0.5,ROS_VNF_control,3.1,2079465472,836886528,59.8,1074315264,523132928,1163681792,203681792,33558528,448458752,1118208
8,2022-02-08,12:14:09,0.5,ROS_VNF_control,2.1,2079465472,844173312,59.4,1067040768,530407424,1156136960,203681792,33558528,448458752,1118208
9,2022-02-08,12:14:09,0.5,ROS_VNF_control,1.1,2079465472,844267520,59.4,1066942464,530481152,1156141056,203689984,33558528,448483328,1118208
10,2022-02-08,12:14:10,0.5,ROS_VNF_control,3.1,2079465472,844267520,59.4,1066942464,530481152,1156141056,203689984,33558528,448483328,1118208
11,2022-02-08,12:14:10,0.5,ROS_VNF_control,2.1,2079465472,844267520,59.4,1066942464,530481152,1156141056,203689984,33558528,448483328,1118208
12,2022-02-08,12:14:11,0.5,ROS_VNF_control,3.1,2079465472,844267520,59.4,1066942464,530481152,1156141056,203689984,33558528,448483328,1118208
13,2022-02-08,12:14:11,0.5,ROS_VNF_control,2.1,2079465472,844271616,59.4,1066942464,530481152,1156296704,203694080,33558528,448483328,1118208
14,2022-02-08,12:14:12,0.5,ROS_VNF_control,4.1,2079465472,844271616,59.4,1066942464,530481152,1156296704,203694080,33558528,448483328,1118208
15,2022-02-08,12:14:12,0.5,ROS_VNF_control,2.1,2079465472,844304384,59.4,1066909696,530513920,1156317184,203694080,33558528,448483328,1118208
16,2022-02-08,12:14:13,0.5,ROS_VNF_control,1.0,2079465472,844304384,59.4,1066909696,530513920,1156317184,203694080,33558528,448483328,1118208
17,2022-02-08,12:14:13,0.5,ROS_VNF_control,3.1,2079465472,844406784,59.4,1066807296,530612224,1156333568,203698176,33558528,448487424,1118208
18,2022-02-08,12:14:14,0.5,ROS_VNF_control,3.2,2079465472,889049088,57.2,1022164992,575254528,1111863296,203698176,33566720,448479232,1118208
19,2022-02-08,12:14:14,0.5,ROS_VNF_control,1.0,2079465472,889126912,57.2,1022095360,575328256,1111818240,203677696,33566720,448475136,1118208
20,2022-02-08,12:14:15,0.5,ROS_VNF_control,3.1,2079465472,889126912,57.2,1022095360,575328256,1111818240,203677696,33566720,448475136,1118208
