iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-27,22:49:16,0.5,ROS_VNF_control,0.0,2084077568,1401421824,32.8,519290880,1105346560,620744704,200667136,31363072,428077056,950272
1,2021-12-27,22:49:16,0.5,ROS_VNF_control,0.0,2084077568,1401421824,32.8,519290880,1105346560,620744704,200667136,31363072,428077056,950272
2,2021-12-27,22:49:17,0.5,ROS_VNF_control,1.0,2084077568,1401421824,32.8,519290880,1105346560,620744704,200667136,31363072,428077056,950272
3,2021-12-27,22:49:17,0.5,ROS_VNF_control,0.0,2084077568,1401421824,32.8,519290880,1105346560,620744704,200667136,31363072,428077056,950272
4,2021-12-27,22:49:18,0.5,ROS_VNF_control,0.0,2084077568,1401421824,32.8,519290880,1105346560,620744704,200667136,31363072,428077056,950272
5,2021-12-27,22:49:18,0.5,ROS_VNF_control,1.0,2084077568,1401421824,32.8,519290880,1105346560,620744704,200667136,31363072,428077056,950272
6,2021-12-27,22:49:19,0.5,ROS_VNF_control,1.0,2084077568,1409495040,32.4,511225856,1113411584,612892672,200675328,31363072,428077056,950272
7,2021-12-27,22:49:19,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511168512,1113468928,612818944,200683520,31363072,428077056,950272
8,2021-12-27,22:49:20,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
9,2021-12-27,22:49:20,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
10,2021-12-27,22:49:21,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
11,2021-12-27,22:49:21,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
12,2021-12-27,22:49:22,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
13,2021-12-27,22:49:22,0.5,ROS_VNF_control,1.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
14,2021-12-27,22:49:23,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
15,2021-12-27,22:49:23,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
16,2021-12-27,22:49:24,0.5,ROS_VNF_control,1.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
17,2021-12-27,22:49:24,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
18,2021-12-27,22:49:25,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511160320,1113468928,612818944,200683520,31371264,428077056,950272
19,2021-12-27,22:49:25,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511152128,1113468928,612818944,200683520,31379456,428077056,950272
20,2021-12-27,22:49:26,0.5,ROS_VNF_control,1.0,2084077568,1409560576,32.4,511152128,1113468928,612818944,200683520,31379456,428077056,950272
21,2021-12-27,22:49:26,0.5,ROS_VNF_control,1.0,2084077568,1409560576,32.4,511152128,1113468928,612880384,200683520,31379456,428077056,950272
22,2021-12-27,22:49:27,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511152128,1113468928,612880384,200683520,31379456,428077056,950272
23,2021-12-27,22:49:27,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511152128,1113468928,612880384,200683520,31379456,428077056,950272
24,2021-12-27,22:49:28,0.5,ROS_VNF_control,0.0,2084077568,1409560576,32.4,511152128,1113468928,612880384,200683520,31379456,428077056,950272
25,2021-12-27,22:49:28,0.5,ROS_VNF_control,3.0,2084077568,1409576960,32.4,511152128,1113468928,612896768,200683520,31379456,428077056,950272
26,2021-12-27,22:49:29,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511152128,1113468928,612896768,200683520,31379456,428077056,950272
27,2021-12-27,22:49:29,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511152128,1113468928,612896768,200683520,31379456,428077056,950272
28,2021-12-27,22:49:30,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511152128,1113468928,612896768,200683520,31379456,428077056,950272
29,2021-12-27,22:49:30,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511148032,1113468928,612896768,200683520,31379456,428081152,950272
30,2021-12-27,22:49:31,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
31,2021-12-27,22:49:31,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
32,2021-12-27,22:49:32,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
33,2021-12-27,22:49:32,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
34,2021-12-27,22:49:33,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
35,2021-12-27,22:49:33,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
36,2021-12-27,22:49:34,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
37,2021-12-27,22:49:34,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
38,2021-12-27,22:49:35,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
39,2021-12-27,22:49:35,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
40,2021-12-27,22:49:36,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511139840,1113468928,612896768,200683520,31387648,428081152,950272
41,2021-12-27,22:49:36,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
42,2021-12-27,22:49:37,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
43,2021-12-27,22:49:37,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
44,2021-12-27,22:49:38,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
45,2021-12-27,22:49:38,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
46,2021-12-27,22:49:39,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
47,2021-12-27,22:49:39,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
48,2021-12-27,22:49:40,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
49,2021-12-27,22:49:40,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
50,2021-12-27,22:49:41,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
51,2021-12-27,22:49:41,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511131648,1113468928,612896768,200683520,31395840,428081152,950272
52,2021-12-27,22:49:42,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511123456,1113468928,612896768,200683520,31404032,428081152,950272
53,2021-12-27,22:49:42,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511123456,1113468928,612896768,200683520,31404032,428081152,950272
54,2021-12-27,22:49:43,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511123456,1113468928,612896768,200683520,31404032,428081152,950272
55,2021-12-27,22:49:43,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511123456,1113468928,612896768,200683520,31404032,428081152,950272
56,2021-12-27,22:49:44,0.5,ROS_VNF_control,2.0,2084077568,1409576960,32.4,511123456,1113468928,612896768,200683520,31404032,428081152,950272
57,2021-12-27,22:49:44,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511123456,1113468928,612896768,200683520,31404032,428081152,950272
58,2021-12-27,22:49:45,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511119360,1113468928,612896768,200683520,31404032,428085248,950272
59,2021-12-27,22:49:46,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511119360,1113468928,612896768,200683520,31404032,428085248,950272
60,2021-12-27,22:49:46,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511119360,1113468928,612896768,200683520,31404032,428085248,950272
61,2021-12-27,22:49:47,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511119360,1113468928,612896768,200683520,31404032,428085248,950272
62,2021-12-27,22:49:47,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511119360,1113468928,612896768,200683520,31404032,428085248,950272
63,2021-12-27,22:49:48,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511111168,1113468928,612896768,200683520,31412224,428085248,950272
64,2021-12-27,22:49:48,0.5,ROS_VNF_control,0.0,2084077568,1409576960,32.4,511111168,1113468928,612896768,200683520,31412224,428085248,950272
65,2021-12-27,22:49:49,0.5,ROS_VNF_control,1.0,2084077568,1409576960,32.4,511111168,1113468928,612896768,200683520,31412224,428085248,950272
66,2021-12-27,22:49:49,0.5,ROS_VNF_control,0.0,2084077568,1409585152,32.4,511111168,1113468928,612900864,200691712,31412224,428085248,950272
67,2021-12-27,22:49:50,0.5,ROS_VNF_control,0.0,2084077568,1409585152,32.4,511111168,1113468928,612900864,200691712,31412224,428085248,950272
68,2021-12-27,22:49:50,0.5,ROS_VNF_control,1.0,2084077568,1409585152,32.4,511111168,1113468928,612900864,200691712,31412224,428085248,950272
