iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-27,22:42:06,0.5,ROS_VNF_control,1.0,2079498240,134320128,93.5,1774268416,97972224,940113920,823156736,14209024,193048576,1056768
1,2022-01-27,22:42:06,0.5,ROS_VNF_control,2.1,2079498240,134320128,93.5,1774268416,97972224,940113920,823156736,14209024,193048576,1056768
2,2022-01-27,22:42:07,0.5,ROS_VNF_control,2.1,2079498240,134320128,93.5,1774268416,97972224,940113920,823156736,14209024,193048576,1056768
3,2022-01-27,22:42:07,0.5,ROS_VNF_control,6.5,2079498240,134320128,93.5,1774268416,97972224,940134400,823164928,14209024,193048576,1056768
4,2022-01-27,22:42:08,0.5,ROS_VNF_control,5.2,2079498240,134320128,93.5,1774268416,97972224,940134400,823164928,14209024,193048576,1056768
5,2022-01-27,22:42:08,0.5,ROS_VNF_control,5.4,2079498240,134320128,93.5,1774264320,97972224,940134400,823164928,14209024,193052672,1056768
6,2022-01-27,22:42:09,0.5,ROS_VNF_control,6.4,2079498240,142442496,93.2,1766141952,106094592,936067072,818749440,14209024,193052672,1056768
7,2022-01-27,22:42:09,0.5,ROS_VNF_control,7.3,2079498240,142495744,93.1,1766100992,106143744,935997440,818757632,14209024,193044480,1056768
8,2022-01-27,22:42:10,0.5,ROS_VNF_control,5.3,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
9,2022-01-27,22:42:10,0.5,ROS_VNF_control,7.4,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
10,2022-01-27,22:42:11,0.5,ROS_VNF_control,4.3,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
11,2022-01-27,22:42:11,0.5,ROS_VNF_control,4.3,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
12,2022-01-27,22:42:12,0.5,ROS_VNF_control,6.3,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
13,2022-01-27,22:42:12,0.5,ROS_VNF_control,5.4,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
14,2022-01-27,22:42:13,0.5,ROS_VNF_control,5.3,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
15,2022-01-27,22:42:13,0.5,ROS_VNF_control,3.3,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
16,2022-01-27,22:42:14,0.5,ROS_VNF_control,6.3,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
17,2022-01-27,22:42:14,0.5,ROS_VNF_control,7.3,2079498240,142495744,93.1,1766088704,106143744,935997440,818757632,14221312,193044480,1056768
18,2022-01-27,22:42:15,0.5,ROS_VNF_control,5.3,2079498240,142495744,93.1,1766088704,106143744,936001536,818757632,14221312,193044480,1056768
19,2022-01-27,22:42:15,0.5,ROS_VNF_control,5.3,2079498240,142495744,93.1,1766080512,106143744,936001536,818757632,14229504,193044480,1056768
20,2022-01-27,22:42:16,0.5,ROS_VNF_control,3.2,2079498240,142495744,93.1,1766080512,106143744,936001536,818757632,14229504,193044480,1056768
21,2022-01-27,22:42:16,0.5,ROS_VNF_control,7.3,2079498240,142528512,93.1,1766080512,106143744,936001536,818790400,14229504,193044480,1056768
22,2022-01-27,22:42:17,0.5,ROS_VNF_control,5.3,2079498240,142528512,93.1,1766080512,106143744,936001536,818790400,14229504,193044480,1056768
23,2022-01-27,22:42:17,0.5,ROS_VNF_control,5.3,2079498240,142548992,93.1,1766080512,106143744,936062976,818782208,14229504,193044480,1056768
24,2022-01-27,22:42:18,0.5,ROS_VNF_control,6.3,2079498240,142548992,93.1,1766080512,106143744,936062976,818782208,14229504,193044480,1056768
25,2022-01-27,22:42:18,0.5,ROS_VNF_control,6.3,2079498240,142548992,93.1,1766080512,106143744,936062976,818782208,14229504,193044480,1056768
26,2022-01-27,22:42:19,0.5,ROS_VNF_control,2.2,2079498240,142548992,93.1,1766080512,106143744,936062976,818782208,14229504,193044480,1056768
27,2022-01-27,22:42:19,0.5,ROS_VNF_control,5.3,2079498240,142548992,93.1,1766080512,106143744,936062976,818782208,14229504,193044480,1056768
28,2022-01-27,22:42:20,0.5,ROS_VNF_control,5.3,2079498240,142581760,93.1,1766080512,106143744,936030208,818814976,14229504,193044480,1056768
29,2022-01-27,22:42:20,0.5,ROS_VNF_control,7.3,2079498240,142581760,93.1,1766076416,106143744,936030208,818814976,14229504,193048576,1056768
30,2022-01-27,22:42:21,0.5,ROS_VNF_control,2.2,2079498240,142581760,93.1,1766076416,106143744,936030208,818814976,14237696,193040384,1056768
31,2022-01-27,22:42:21,0.5,ROS_VNF_control,5.4,2079498240,142581760,93.1,1766068224,106143744,936030208,818814976,14237696,193048576,1056768
32,2022-01-27,22:42:22,0.5,ROS_VNF_control,7.3,2079498240,142581760,93.1,1766068224,106143744,936030208,818814976,14237696,193048576,1056768
33,2022-01-27,22:42:22,0.5,ROS_VNF_control,8.4,2079498240,142581760,93.1,1766068224,106143744,936030208,818814976,14237696,193048576,1056768
34,2022-01-27,22:42:23,0.5,ROS_VNF_control,7.3,2079498240,142581760,93.1,1766068224,106143744,936030208,818814976,14237696,193048576,1056768
35,2022-01-27,22:42:23,0.5,ROS_VNF_control,6.3,2079498240,142581760,93.1,1766068224,106143744,936030208,818814976,14237696,193048576,1056768
36,2022-01-27,22:42:24,0.5,ROS_VNF_control,3.2,2079498240,142581760,93.1,1766068224,106143744,936030208,818814976,14237696,193048576,1056768
37,2022-01-27,22:42:24,0.5,ROS_VNF_control,5.3,2079498240,142581760,93.1,1766068224,106143744,936030208,818814976,14237696,193048576,1056768
38,2022-01-27,22:42:25,0.5,ROS_VNF_control,6.3,2079498240,142581760,93.1,1766068224,106143744,936030208,818814976,14237696,193048576,1056768
39,2022-01-27,22:42:25,0.5,ROS_VNF_control,4.3,2079498240,142585856,93.1,1766068224,106143744,936030208,818819072,14237696,193048576,1056768
40,2022-01-27,22:42:26,0.5,ROS_VNF_control,4.3,2079498240,142585856,93.1,1766068224,106143744,936030208,818819072,14245888,193040384,1056768
41,2022-01-27,22:42:26,0.5,ROS_VNF_control,5.3,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
42,2022-01-27,22:42:27,0.5,ROS_VNF_control,5.3,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
43,2022-01-27,22:42:27,0.5,ROS_VNF_control,1.0,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
44,2022-01-27,22:42:28,0.5,ROS_VNF_control,1.0,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
45,2022-01-27,22:42:28,0.5,ROS_VNF_control,1.1,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
46,2022-01-27,22:42:29,0.5,ROS_VNF_control,1.0,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
47,2022-01-27,22:42:29,0.5,ROS_VNF_control,1.0,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
48,2022-01-27,22:42:30,0.5,ROS_VNF_control,1.0,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
49,2022-01-27,22:42:30,0.5,ROS_VNF_control,2.0,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
50,2022-01-27,22:42:31,0.5,ROS_VNF_control,1.0,2079498240,142585856,93.1,1766060032,106143744,936030208,818819072,14245888,193048576,1056768
51,2022-01-27,22:42:31,0.5,ROS_VNF_control,0.0,2079498240,142585856,93.1,1766051840,106143744,936030208,818819072,14254080,193048576,1056768
52,2022-01-27,22:42:32,0.5,ROS_VNF_control,6.2,2079498240,142585856,93.1,1766051840,106143744,936030208,818819072,14254080,193048576,1056768
53,2022-01-27,22:42:32,0.5,ROS_VNF_control,3.3,2079498240,142585856,93.1,1766051840,106143744,936030208,818819072,14254080,193048576,1056768
54,2022-01-27,22:42:33,0.5,ROS_VNF_control,4.3,2079498240,142585856,93.1,1766051840,106143744,936030208,818819072,14254080,193048576,1056768
55,2022-01-27,22:42:33,0.5,ROS_VNF_control,5.3,2079498240,142585856,93.1,1766051840,106143744,936030208,818819072,14254080,193048576,1056768
56,2022-01-27,22:42:34,0.5,ROS_VNF_control,5.3,2079498240,142585856,93.1,1766051840,106143744,936030208,818819072,14254080,193048576,1056768
57,2022-01-27,22:42:34,0.5,ROS_VNF_control,6.3,2079498240,142585856,93.1,1766051840,106143744,936030208,818819072,14254080,193048576,1056768
58,2022-01-27,22:42:35,0.5,ROS_VNF_control,8.2,2079498240,142585856,93.1,1766047744,106143744,936030208,818819072,14254080,193052672,1056768
59,2022-01-27,22:42:35,0.5,ROS_VNF_control,4.3,2079498240,142585856,93.1,1766047744,106143744,936030208,818819072,14254080,193052672,1056768
60,2022-01-27,22:42:36,0.5,ROS_VNF_control,6.2,2079498240,142585856,93.1,1766047744,106143744,936030208,818819072,14254080,193052672,1056768
61,2022-01-27,22:42:36,0.5,ROS_VNF_control,3.3,2079498240,142585856,93.1,1766047744,106143744,936030208,818819072,14254080,193052672,1056768
62,2022-01-27,22:42:37,0.5,ROS_VNF_control,8.2,2079498240,142585856,93.1,1766047744,106143744,936030208,818819072,14262272,193044480,1056768
63,2022-01-27,22:42:37,0.5,ROS_VNF_control,5.3,2079498240,142614528,93.1,1766039552,106143744,936087552,818823168,14262272,193052672,1056768
64,2022-01-27,22:42:38,0.5,ROS_VNF_control,6.3,2079498240,142614528,93.1,1766039552,106143744,936087552,818823168,14262272,193052672,1056768
65,2022-01-27,22:42:38,0.5,ROS_VNF_control,7.4,2079498240,142618624,93.1,1766039552,106143744,936120320,818827264,14262272,193052672,1056768
66,2022-01-27,22:42:39,0.5,ROS_VNF_control,6.3,2079498240,142618624,93.1,1766039552,106143744,936120320,818827264,14262272,193052672,1056768
67,2022-01-27,22:42:39,0.5,ROS_VNF_control,8.2,2079498240,142618624,93.1,1766039552,106143744,936120320,818827264,14262272,193052672,1056768
68,2022-01-27,22:42:40,0.5,ROS_VNF_control,5.3,2079498240,142618624,93.1,1766039552,106143744,936120320,818827264,14262272,193052672,1056768
69,2022-01-27,22:42:40,0.5,ROS_VNF_control,5.3,2079498240,142618624,93.1,1766039552,106143744,936120320,818827264,14262272,193052672,1056768
70,2022-01-27,22:42:41,0.5,ROS_VNF_control,4.3,2079498240,142618624,93.1,1766039552,106143744,936120320,818827264,14262272,193052672,1056768
71,2022-01-27,22:42:41,0.5,ROS_VNF_control,5.3,2079498240,142618624,93.1,1766039552,106143744,936120320,818827264,14262272,193052672,1056768
72,2022-01-27,22:42:42,0.5,ROS_VNF_control,4.3,2079498240,142618624,93.1,1766039552,106143744,936120320,818827264,14262272,193052672,1056768
73,2022-01-27,22:42:42,0.5,ROS_VNF_control,4.3,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
74,2022-01-27,22:42:43,0.5,ROS_VNF_control,1.0,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
75,2022-01-27,22:42:43,0.5,ROS_VNF_control,3.1,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
76,2022-01-27,22:42:44,0.5,ROS_VNF_control,2.1,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
77,2022-01-27,22:42:44,0.5,ROS_VNF_control,1.1,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
78,2022-01-27,22:42:45,0.5,ROS_VNF_control,2.1,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
79,2022-01-27,22:42:45,0.5,ROS_VNF_control,0.0,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
80,2022-01-27,22:42:46,0.5,ROS_VNF_control,3.1,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
81,2022-01-27,22:42:46,0.5,ROS_VNF_control,0.0,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
82,2022-01-27,22:42:47,0.5,ROS_VNF_control,3.1,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
83,2022-01-27,22:42:47,0.5,ROS_VNF_control,4.3,2079498240,142618624,93.1,1766031360,106143744,936120320,818827264,14270464,193052672,1056768
