iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 02:32:18 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.91%
2 2022-01-03 02:32:20 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.63%
3 2022-01-03 02:32:22 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.76%
4 2022-01-03 02:32:24 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.45%
5 2022-01-03 02:32:26 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.74%
6 2022-01-03 02:32:28 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.63%
7 2022-01-03 02:32:31 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.49%
8 2022-01-03 02:32:33 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.60%
9 2022-01-03 02:32:35 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.46%
10 2022-01-03 02:32:37 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.66%
11 2022-01-03 02:32:39 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.31%
12 2022-01-03 02:32:41 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.90%
13 2022-01-03 02:32:43 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.35%
14 2022-01-03 02:32:45 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.66%
15 2022-01-03 02:32:47 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.56%
16 2022-01-03 02:32:49 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.62%
17 2022-01-03 02:32:51 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.42%
18 2022-01-03 02:32:53 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.07%
19 2022-01-03 02:32:55 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.82%
20 2022-01-03 02:32:57 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.56%
21 2022-01-03 02:32:59 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.74%
22 2022-01-03 02:33:01 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.06%
23 2022-01-03 02:33:03 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.06%
24 2022-01-03 02:33:05 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.33%
25 2022-01-03 02:33:07 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.69%
26 2022-01-03 02:33:09 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.62%
27 2022-01-03 02:33:11 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.26%
28 2022-01-03 02:33:13 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.77%
29 2022-01-03 02:33:15 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.59%
30 2022-01-03 02:33:17 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.53%
31 2022-01-03 02:33:19 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.63%
32 2022-01-03 02:33:21 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.48%
33 2022-01-03 02:33:23 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.24%
34 2022-01-03 02:33:25 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.61%
35 2022-01-03 02:33:27 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.24%
36 2022-01-03 02:33:29 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.92%
37 2022-01-03 02:33:31 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.76%
38 2022-01-03 02:33:33 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.43%
39 2022-01-03 02:33:35 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.95%
40 2022-01-03 02:33:38 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.12%
41 2022-01-03 02:33:39 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.43%
42 2022-01-03 02:33:42 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.39%
43 2022-01-03 02:33:44 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.91%
44 2022-01-03 02:33:46 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.62%
45 2022-01-03 02:33:48 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.66%
46 2022-01-03 02:33:50 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.39%
47 2022-01-03 02:33:52 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.64%
48 2022-01-03 02:33:54 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 4.87%
49 2022-01-03 02:33:56 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.67%
50 2022-01-03 02:33:58 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.11%
51 2022-01-03 02:34:00 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.72%
52 2022-01-03 02:34:02 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.41%
53 2022-01-03 02:34:04 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.22%
54 2022-01-03 02:34:06 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.25%
55 2022-01-03 02:34:08 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.01%
56 2022-01-03 02:34:10 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.14%
57 2022-01-03 02:34:12 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.16%
58 2022-01-03 02:34:14 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.71%
59 2022-01-03 02:34:16 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.59%
60 2022-01-03 02:34:18 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.20%
61 2022-01-03 02:34:20 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.20%
62 2022-01-03 02:34:22 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.49%
63 2022-01-03 02:34:24 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.36%
64 2022-01-03 02:34:26 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.43%
65 2022-01-03 02:34:28 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.41%
66 2022-01-03 02:34:30 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.59%
67 2022-01-03 02:34:32 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.26%
68 2022-01-03 02:34:34 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.25%
69 2022-01-03 02:34:36 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.96%
70 2022-01-03 02:34:38 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.38%
71 2022-01-03 02:34:40 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.57%
72 2022-01-03 02:34:42 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.89%
73 2022-01-03 02:34:44 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.18%
74 2022-01-03 02:34:46 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.69%
75 2022-01-03 02:34:48 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.13%
76 2022-01-03 02:34:50 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.70%
77 2022-01-03 02:34:52 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.13%
78 2022-01-03 02:34:54 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.66%
79 2022-01-03 02:34:56 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.89%
80 2022-01-03 02:34:58 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.91%
81 2022-01-03 02:35:00 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.15%
82 2022-01-03 02:35:02 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.94%
83 2022-01-03 02:35:04 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.79%
84 2022-01-03 02:35:06 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.07%
85 2022-01-03 02:35:08 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.03%
86 2022-01-03 02:35:10 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.80%
87 2022-01-03 02:35:12 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.77%
88 2022-01-03 02:35:15 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.74%
89 2022-01-03 02:35:17 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.44%
90 2022-01-03 02:35:19 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.73%
91 2022-01-03 02:35:21 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.23%
92 2022-01-03 02:35:23 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 4.68%
93 2022-01-03 02:35:25 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.79%
94 2022-01-03 02:35:27 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.68%
95 2022-01-03 02:35:29 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.76%
96 2022-01-03 02:35:31 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.18%
97 2022-01-03 02:35:33 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 8.24%
98 2022-01-03 02:35:35 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.97%
99 2022-01-03 02:35:37 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.10%
100 2022-01-03 02:35:39 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.39%
101 2022-01-03 02:35:41 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.11%
102 2022-01-03 02:35:43 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 6.13%
103 2022-01-03 02:35:45 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.72%
104 2022-01-03 02:35:47 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 7.12%
105 2022-01-03 02:35:49 ROS_VNF_state b0d3a2bed537 state_robot_1 86.66MiB / 1.941GiB 4.36% 5.50%
