iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 01:39:29 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.36%
2 2022-01-03 01:39:31 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.42%
3 2022-01-03 01:39:33 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.42%
4 2022-01-03 01:39:35 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.91%
5 2022-01-03 01:39:37 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.70%
6 2022-01-03 01:39:39 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.56%
7 2022-01-03 01:39:41 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.32%
8 2022-01-03 01:39:43 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.19%
9 2022-01-03 01:39:46 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.55%
10 2022-01-03 01:39:48 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.36%
11 2022-01-03 01:39:50 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.52%
12 2022-01-03 01:39:52 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 4.87%
13 2022-01-03 01:39:54 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.30%
14 2022-01-03 01:39:56 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.61%
15 2022-01-03 01:39:58 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.39%
16 2022-01-03 01:40:00 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.31%
17 2022-01-03 01:40:02 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.71%
18 2022-01-03 01:40:04 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 7.08%
19 2022-01-03 01:40:06 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.89%
20 2022-01-03 01:40:08 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.58%
21 2022-01-03 01:40:10 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.41%
22 2022-01-03 01:40:12 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.33%
23 2022-01-03 01:40:14 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.95%
24 2022-01-03 01:40:16 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.78%
25 2022-01-03 01:40:18 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.39%
26 2022-01-03 01:40:20 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.59%
27 2022-01-03 01:40:22 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.31%
28 2022-01-03 01:40:24 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 4.97%
29 2022-01-03 01:40:26 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.49%
30 2022-01-03 01:40:28 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 5.89%
31 2022-01-03 01:40:30 ROS_VNF_state 4bc4ab5273f1 state_robot_1 86.43MiB / 1.941GiB 4.35% 6.70%
