iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 03:05:39 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 5.77%
2 2022-01-03 03:05:41 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 5.68%
3 2022-01-03 03:05:43 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 4.85%
4 2022-01-03 03:05:45 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 6.69%
5 2022-01-03 03:05:47 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 6.55%
6 2022-01-03 03:05:49 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 6.41%
7 2022-01-03 03:05:51 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 5.40%
8 2022-01-03 03:05:53 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 5.40%
9 2022-01-03 03:05:55 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 6.62%
10 2022-01-03 03:05:57 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 5.78%
11 2022-01-03 03:05:59 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 5.48%
12 2022-01-03 03:06:01 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 6.53%
13 2022-01-03 03:06:03 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 5.87%
14 2022-01-03 03:06:05 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 5.64%
15 2022-01-03 03:06:07 ROS_VNF_state b0d3a2bed537 state_robot_1 86.79MiB / 1.941GiB 4.37% 5.84%
