iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 00:46:21 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 8.11%
2 2022-01-03 00:46:23 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.51%
3 2022-01-03 00:46:25 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.61%
4 2022-01-03 00:46:27 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 7.07%
5 2022-01-03 00:46:29 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.77%
6 2022-01-03 00:46:31 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.39%
7 2022-01-03 00:46:33 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.73%
8 2022-01-03 00:46:35 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.42%
9 2022-01-03 00:46:37 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.05%
10 2022-01-03 00:46:39 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.47%
11 2022-01-03 00:46:41 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.35%
12 2022-01-03 00:46:43 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 7.51%
13 2022-01-03 00:46:45 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.45%
14 2022-01-03 00:46:47 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.82%
15 2022-01-03 00:46:49 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.18%
16 2022-01-03 00:46:51 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.75%
17 2022-01-03 00:46:53 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.40%
18 2022-01-03 00:46:55 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 7.17%
19 2022-01-03 00:46:57 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 7.33%
20 2022-01-03 00:46:59 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.32%
21 2022-01-03 00:47:01 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.02%
22 2022-01-03 00:47:03 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 7.30%
23 2022-01-03 00:47:05 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 7.14%
24 2022-01-03 00:47:07 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.19%
25 2022-01-03 00:47:09 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.45%
26 2022-01-03 00:47:11 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.65%
27 2022-01-03 00:47:13 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.84%
28 2022-01-03 00:47:15 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.56%
29 2022-01-03 00:47:17 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 7.36%
30 2022-01-03 00:47:19 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.31%
31 2022-01-03 00:47:21 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.64%
32 2022-01-03 00:47:23 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.35%
33 2022-01-03 00:47:26 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.79%
34 2022-01-03 00:47:28 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.92%
35 2022-01-03 00:47:30 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.64%
36 2022-01-03 00:47:32 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.72%
37 2022-01-03 00:47:34 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.44%
38 2022-01-03 00:47:36 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.84%
39 2022-01-03 00:47:38 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.00%
40 2022-01-03 00:47:40 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.85%
41 2022-01-03 00:47:42 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 7.32%
42 2022-01-03 00:47:44 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 7.62%
43 2022-01-03 00:47:46 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.91%
44 2022-01-03 00:47:48 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.77%
45 2022-01-03 00:47:50 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.43%
46 2022-01-03 00:47:52 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.36%
47 2022-01-03 00:47:54 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.77%
48 2022-01-03 00:47:56 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.52%
49 2022-01-03 00:47:58 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.42%
50 2022-01-03 00:48:00 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 6.57%
51 2022-01-03 00:48:02 ROS_VNF_state 59d6b0caa198 state_robot_1 86.52MiB / 1.941GiB 4.35% 5.59%
