iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-15,10:47:40,0.5,ROS_VNF_state,5.7,2079498240,1234231296,40.6,675893248,920461312,767811584,205660160,34041856,449101824,1363968
1,2022-02-15,10:47:40,0.5,ROS_VNF_state,5.6,2079498240,1234223104,40.6,675901440,920453120,767811584,205660160,34041856,449101824,1363968
2,2022-02-15,10:47:41,0.5,ROS_VNF_state,5.7,2079498240,1234272256,40.6,675852288,920502272,767811584,205660160,34041856,449101824,1363968
3,2022-02-15,10:47:41,0.5,ROS_VNF_state,5.7,2079498240,1234214912,40.6,675909632,920444928,767811584,205660160,34041856,449101824,1363968
4,2022-02-15,10:47:42,0.5,ROS_VNF_state,3.4,2079498240,1234239488,40.6,675885056,920469504,767811584,205660160,34041856,449101824,1363968
5,2022-02-15,10:47:42,0.5,ROS_VNF_state,2.3,2079498240,1234223104,40.6,675901440,920453120,767811584,205660160,34041856,449101824,1363968
6,2022-02-15,10:47:43,0.5,ROS_VNF_state,6.7,2079498240,1234182144,40.7,675942400,920412160,767811584,205660160,34041856,449101824,1363968
7,2022-02-15,10:47:43,0.5,ROS_VNF_state,5.7,2079498240,1238925312,40.4,671199232,925147136,762155008,205660160,34050048,449101824,1363968
8,2022-02-15,10:47:44,0.5,ROS_VNF_state,7.9,2079498240,1238958080,40.4,671166464,925179904,762155008,205660160,34050048,449101824,1363968
9,2022-02-15,10:47:44,0.5,ROS_VNF_state,7.8,2079498240,1238810624,40.4,671313920,925032448,762155008,205660160,34050048,449101824,1363968
10,2022-02-15,10:47:45,0.5,ROS_VNF_state,2.4,2079498240,1238941696,40.4,671182848,925163520,762155008,205660160,34050048,449101824,1363968
11,2022-02-15,10:47:45,0.5,ROS_VNF_state,3.4,2079498240,1238900736,40.4,671223808,925122560,762155008,205660160,34050048,449101824,1363968
12,2022-02-15,10:47:46,0.5,ROS_VNF_state,9.2,2079498240,1238941696,40.4,671182848,925163520,762155008,205660160,34050048,449101824,1363968
13,2022-02-15,10:47:46,0.5,ROS_VNF_state,7.7,2079498240,1239023616,40.4,671100928,925245440,762155008,205660160,34050048,449101824,1363968
14,2022-02-15,10:47:47,0.5,ROS_VNF_state,6.7,2079498240,1239113728,40.4,671010816,925335552,762155008,205660160,34050048,449101824,1363968
15,2022-02-15,10:47:47,0.5,ROS_VNF_state,8.1,2079498240,1238827008,40.4,671297536,925048832,762155008,205660160,34050048,449101824,1363968
16,2022-02-15,10:47:48,0.5,ROS_VNF_state,6.8,2079498240,1238933504,40.4,671191040,925155328,762155008,205660160,34050048,449101824,1363968
17,2022-02-15,10:47:48,0.5,ROS_VNF_state,8.6,2079498240,1238851584,40.4,671272960,925073408,762155008,205660160,34050048,449101824,1363968
18,2022-02-15,10:47:49,0.5,ROS_VNF_state,7.4,2079498240,1238843392,40.4,671272960,925065216,762155008,205660160,34058240,449101824,1363968
19,2022-02-15,10:47:49,0.5,ROS_VNF_state,11.8,2079498240,1239023616,40.4,671092736,925245440,762155008,205660160,34058240,449101824,1363968
20,2022-02-15,10:47:50,0.5,ROS_VNF_state,4.9,2079498240,1239138304,40.4,670978048,925360128,762155008,205660160,34058240,449101824,1363968
21,2022-02-15,10:47:50,0.5,ROS_VNF_state,11.6,2079498240,1239007232,40.4,671117312,925220864,762163200,205660160,34058240,449101824,1363968
22,2022-02-15,10:47:51,0.5,ROS_VNF_state,8.7,2079498240,1239007232,40.4,671117312,925220864,762163200,205660160,34058240,449101824,1363968
23,2022-02-15,10:47:51,0.5,ROS_VNF_state,6.7,2079498240,1239007232,40.4,671117312,925220864,762163200,205660160,34058240,449101824,1363968
24,2022-02-15,10:47:52,0.5,ROS_VNF_state,5.6,2079498240,1238949888,40.4,671174656,925163520,762163200,205660160,34058240,449101824,1363968
25,2022-02-15,10:47:52,0.5,ROS_VNF_state,7.7,2079498240,1238982656,40.4,671141888,925196288,762163200,205660160,34058240,449101824,1363968
26,2022-02-15,10:47:53,0.5,ROS_VNF_state,7.7,2079498240,1238917120,40.4,671207424,925130752,762163200,205660160,34058240,449101824,1363968
27,2022-02-15,10:47:53,0.5,ROS_VNF_state,9.3,2079498240,1239072768,40.4,671051776,925286400,762163200,205660160,34058240,449101824,1363968
28,2022-02-15,10:47:54,0.5,ROS_VNF_state,9.6,2079498240,1238999040,40.4,671125504,925212672,762163200,205660160,34058240,449101824,1363968
29,2022-02-15,10:47:54,0.5,ROS_VNF_state,9.6,2079498240,1239027712,40.4,671080448,925237248,762163200,205660160,34066432,449114112,1363968
30,2022-02-15,10:47:55,0.5,ROS_VNF_state,10.6,2079498240,1238921216,40.4,671186944,925130752,762163200,205660160,34066432,449114112,1363968
