iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,20:59:50,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748303872,16.1,180621312,1577213952,176418816,222199808,20172800,306069504,778240
1,2021-12-29,20:59:50,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748303872,16.1,180621312,1577213952,176418816,222199808,20172800,306069504,778240
2,2021-12-29,20:59:51,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748303872,16.1,180621312,1577213952,176418816,222199808,20172800,306069504,778240
3,2021-12-29,20:59:51,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748303872,16.1,180621312,1577213952,176418816,222199808,20172800,306069504,778240
4,2021-12-29,20:59:52,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180871168,1576964096,175927296,222208000,20172800,306069504,778240
5,2021-12-29,20:59:52,0.5,ROS_VNF_motionplanning,1.0,2084077568,1748062208,16.1,180871168,1576964096,175927296,222208000,20172800,306069504,778240
6,2021-12-29,20:59:53,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180871168,1576964096,175927296,222208000,20172800,306069504,778240
7,2021-12-29,20:59:53,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180871168,1576964096,175927296,222208000,20180992,306061312,778240
8,2021-12-29,20:59:54,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20180992,306069504,778240
9,2021-12-29,20:59:54,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20180992,306069504,778240
10,2021-12-29,20:59:55,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20180992,306069504,778240
11,2021-12-29,20:59:55,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20180992,306069504,778240
12,2021-12-29,20:59:56,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20180992,306069504,778240
13,2021-12-29,20:59:56,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20180992,306069504,778240
14,2021-12-29,20:59:57,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20180992,306069504,778240
15,2021-12-29,20:59:57,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20180992,306069504,778240
16,2021-12-29,20:59:58,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20180992,306069504,778240
17,2021-12-29,20:59:58,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180862976,1576964096,175927296,222208000,20189184,306061312,778240
18,2021-12-29,20:59:59,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
19,2021-12-29,20:59:59,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
20,2021-12-29,21:00:00,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
21,2021-12-29,21:00:00,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
22,2021-12-29,21:00:01,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
23,2021-12-29,21:00:01,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
24,2021-12-29,21:00:02,0.5,ROS_VNF_motionplanning,1.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
25,2021-12-29,21:00:02,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
26,2021-12-29,21:00:03,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
27,2021-12-29,21:00:03,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180854784,1576964096,175927296,222208000,20189184,306069504,778240
28,2021-12-29,21:00:04,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180842496,1576964096,175927296,222208000,20197376,306073600,778240
29,2021-12-29,21:00:04,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180842496,1576964096,175927296,222208000,20197376,306073600,778240
30,2021-12-29,21:00:05,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180842496,1576964096,175927296,222208000,20197376,306073600,778240
31,2021-12-29,21:00:05,0.5,ROS_VNF_motionplanning,1.0,2084077568,1748062208,16.1,180842496,1576964096,175927296,222208000,20197376,306073600,778240
32,2021-12-29,21:00:06,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180842496,1576964096,175927296,222208000,20197376,306073600,778240
33,2021-12-29,21:00:06,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180842496,1576964096,175927296,222208000,20197376,306073600,778240
34,2021-12-29,21:00:07,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180842496,1576964096,175927296,222208000,20197376,306073600,778240
35,2021-12-29,21:00:07,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748062208,16.1,180842496,1576964096,175927296,222208000,20197376,306073600,778240
36,2021-12-29,21:00:08,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748086784,16.1,180842496,1576964096,175955968,222208000,20197376,306073600,778240
37,2021-12-29,21:00:08,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748086784,16.1,180842496,1576964096,175955968,222208000,20197376,306073600,778240
38,2021-12-29,21:00:09,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748086784,16.1,180842496,1576964096,175955968,222208000,20197376,306073600,778240
39,2021-12-29,21:00:09,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748086784,16.1,180842496,1576964096,175955968,222208000,20205568,306065408,778240
40,2021-12-29,21:00:10,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748086784,16.1,180834304,1576964096,175955968,222208000,20205568,306073600,778240
41,2021-12-29,21:00:10,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748086784,16.1,180834304,1576964096,175955968,222208000,20205568,306073600,778240
42,2021-12-29,21:00:11,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748086784,16.1,180834304,1576964096,175955968,222208000,20205568,306073600,778240
43,2021-12-29,21:00:11,0.5,ROS_VNF_motionplanning,0.0,2084077568,1748086784,16.1,180834304,1576964096,175955968,222208000,20205568,306073600,778240
44,2021-12-29,21:00:12,0.5,ROS_VNF_motionplanning,1.0,2084077568,1748086784,16.1,180834304,1576964096,175955968,222208000,20205568,306073600,778240
