iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-09,04:06:13,0.5,ROS_VNF_state,26.7,2079498240,985759744,52.6,918720512,652640256,990416896,215482368,35094528,473042944,1638400
1,2022-02-09,04:06:14,0.5,ROS_VNF_state,18.8,2079498240,985735168,52.6,918745088,652615680,990416896,215482368,35094528,473042944,1638400
2,2022-02-09,04:06:14,0.5,ROS_VNF_state,23.7,2079498240,985931776,52.6,918548480,652812288,990416896,215482368,35094528,473042944,1638400
3,2022-02-09,04:06:15,0.5,ROS_VNF_state,20.9,2079498240,985849856,52.6,918630400,652730368,990416896,215482368,35094528,473042944,1638400
4,2022-02-09,04:06:15,0.5,ROS_VNF_state,14.9,2079498240,985874432,52.6,918605824,652754944,990416896,215482368,35094528,473042944,1638400
5,2022-02-09,04:06:16,0.5,ROS_VNF_state,11.8,2079498240,985874432,52.6,918589440,652754944,990416896,215482368,35106816,473047040,1638400
6,2022-02-09,04:06:16,0.5,ROS_VNF_state,24.7,2079498240,994000896,52.2,910483456,660860928,982417408,215490560,35106816,473047040,1638400
7,2022-02-09,04:06:17,0.5,ROS_VNF_state,21.1,2079498240,993812480,52.2,910671872,660672512,982417408,215490560,35106816,473047040,1638400
8,2022-02-09,04:06:17,0.5,ROS_VNF_state,18.3,2079498240,993886208,52.2,910598144,660746240,982417408,215490560,35106816,473047040,1638400
9,2022-02-09,04:06:18,0.5,ROS_VNF_state,17.6,2079498240,993828864,52.2,910655488,660688896,982417408,215490560,35106816,473047040,1638400
10,2022-02-09,04:06:18,0.5,ROS_VNF_state,18.7,2079498240,993878016,52.2,910606336,660738048,982417408,215490560,35106816,473047040,1638400
11,2022-02-09,04:06:19,0.5,ROS_VNF_state,15.9,2079498240,994058240,52.2,910426112,660918272,982417408,215490560,35106816,473047040,1638400
12,2022-02-09,04:06:19,0.5,ROS_VNF_state,14.9,2079498240,993689600,52.2,910794752,660549632,982417408,215490560,35106816,473047040,1638400
13,2022-02-09,04:06:20,0.5,ROS_VNF_state,14.0,2079498240,993878016,52.2,910606336,660738048,982417408,215490560,35106816,473047040,1638400
14,2022-02-09,04:06:20,0.5,ROS_VNF_state,16.1,2079498240,993869824,52.2,910614528,660729856,982417408,215490560,35106816,473047040,1638400
15,2022-02-09,04:06:21,0.5,ROS_VNF_state,17.0,2079498240,993894400,52.2,910589952,660754432,982417408,215490560,35106816,473047040,1638400
16,2022-02-09,04:06:21,0.5,ROS_VNF_state,20.7,2079498240,993976320,52.2,910499840,660836352,982417408,215490560,35115008,473047040,1638400
17,2022-02-09,04:06:22,0.5,ROS_VNF_state,21.5,2079498240,993910784,52.2,910565376,660770816,982417408,215490560,35115008,473047040,1638400
18,2022-02-09,04:06:22,0.5,ROS_VNF_state,16.7,2079498240,994050048,52.2,910426112,660910080,982417408,215490560,35115008,473047040,1638400
19,2022-02-09,04:06:23,0.5,ROS_VNF_state,13.6,2079498240,993992704,52.2,910483456,660852736,982417408,215490560,35115008,473047040,1638400
20,2022-02-09,04:06:24,0.5,ROS_VNF_state,15.6,2079498240,993812480,52.2,910663680,660672512,982417408,215490560,35115008,473047040,1638400
21,2022-02-09,04:06:24,0.5,ROS_VNF_state,20.2,2079498240,993951744,52.2,910524416,660811776,982417408,215490560,35115008,473047040,1638400
22,2022-02-09,04:06:25,0.5,ROS_VNF_state,14.9,2079498240,993894400,52.2,910581760,660754432,982417408,215490560,35115008,473047040,1638400
23,2022-02-09,04:06:25,0.5,ROS_VNF_state,20.2,2079498240,993886208,52.2,910589952,660746240,982417408,215490560,35115008,473047040,1638400
24,2022-02-09,04:06:26,0.5,ROS_VNF_state,15.3,2079498240,993869824,52.2,910606336,660729856,982417408,215490560,35115008,473047040,1638400
25,2022-02-09,04:06:26,0.5,ROS_VNF_state,21.3,2079498240,993779712,52.2,910696448,660639744,982417408,215490560,35115008,473047040,1638400
26,2022-02-09,04:06:27,0.5,ROS_VNF_state,15.1,2079498240,993796096,52.2,910680064,660656128,982417408,215490560,35115008,473047040,1638400
27,2022-02-09,04:06:27,0.5,ROS_VNF_state,21.5,2079498240,994041856,52.2,910426112,660901888,982417408,215490560,35123200,473047040,1638400
