iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,13:51:45,0.5,ROS_VNF_state,26.7,2084077568,1002504192,51.9,908288000,670363648,982769664,214204416,34496512,470929408,1613824
1,2021-12-28,13:51:45,0.5,ROS_VNF_state,14.3,2084077568,1002668032,51.9,908124160,670527488,982773760,214204416,34496512,470929408,1613824
2,2021-12-28,13:51:46,0.5,ROS_VNF_state,21.5,2084077568,1002659840,51.9,908132352,670519296,982773760,214204416,34496512,470929408,1613824
3,2021-12-28,13:51:46,0.5,ROS_VNF_state,25.3,2084077568,1002455040,51.9,908324864,670314496,982773760,214204416,34508800,470929408,1613824
4,2021-12-28,13:51:47,0.5,ROS_VNF_state,13.2,2084077568,1002446848,51.9,908333056,670306304,982773760,214204416,34508800,470929408,1613824
5,2021-12-28,13:51:47,0.5,ROS_VNF_state,25.6,2084077568,1010458624,51.5,900395008,678244352,974979072,214265856,34508800,470929408,1613824
6,2021-12-28,13:51:48,0.5,ROS_VNF_state,19.0,2084077568,1010450432,51.5,900403200,678236160,974979072,214265856,34508800,470929408,1613824
7,2021-12-28,13:51:48,0.5,ROS_VNF_state,25.3,2084077568,1010401280,51.5,900452352,678187008,974979072,214265856,34508800,470929408,1613824
8,2021-12-28,13:51:49,0.5,ROS_VNF_state,16.9,2084077568,1010393088,51.5,900460544,678178816,974979072,214265856,34508800,470929408,1613824
9,2021-12-28,13:51:49,0.5,ROS_VNF_state,10.5,2084077568,1010368512,51.5,900485120,678154240,974979072,214265856,34508800,470929408,1613824
10,2021-12-28,13:51:50,0.5,ROS_VNF_state,10.5,2084077568,1010597888,51.5,900255744,678383616,974979072,214265856,34508800,470929408,1613824
11,2021-12-28,13:51:50,0.5,ROS_VNF_state,13.9,2084077568,1010352128,51.5,900501504,678137856,974979072,214265856,34508800,470929408,1613824
12,2021-12-28,13:51:51,0.5,ROS_VNF_state,9.5,2084077568,1010180096,51.5,900673536,677965824,974979072,214265856,34508800,470929408,1613824
13,2021-12-28,13:51:51,0.5,ROS_VNF_state,20.9,2084077568,1010294784,51.5,900558848,678080512,974979072,214265856,34508800,470929408,1613824
14,2021-12-28,13:51:52,0.5,ROS_VNF_state,23.6,2084077568,1010475008,51.5,900370432,678260736,974979072,214265856,34516992,470929408,1613824
15,2021-12-28,13:51:52,0.5,ROS_VNF_state,25.6,2084077568,1010442240,51.5,900403200,678227968,974979072,214265856,34516992,470929408,1613824
16,2021-12-28,13:51:53,0.5,ROS_VNF_state,28.9,2084077568,1010466816,51.5,900378624,678252544,974979072,214265856,34516992,470929408,1613824
17,2021-12-28,13:51:53,0.5,ROS_VNF_state,26.1,2084077568,1010376704,51.5,900468736,678162432,974979072,214265856,34516992,470929408,1613824
18,2021-12-28,13:51:54,0.5,ROS_VNF_state,29.9,2084077568,1010491392,51.5,900354048,678277120,974979072,214265856,34516992,470929408,1613824
19,2021-12-28,13:51:54,0.5,ROS_VNF_state,22.1,2084077568,1010581504,51.5,900272128,678359040,974987264,214265856,34516992,470929408,1613824
20,2021-12-28,13:51:55,0.5,ROS_VNF_state,20.2,2084077568,1010401280,51.5,900452352,678178816,974987264,214265856,34516992,470929408,1613824
21,2021-12-28,13:51:55,0.5,ROS_VNF_state,24.1,2084077568,1010458624,51.5,900395008,678236160,974987264,214265856,34516992,470929408,1613824
22,2021-12-28,13:51:56,0.5,ROS_VNF_state,25.6,2084077568,1010393088,51.5,900460544,678170624,974987264,214265856,34516992,470929408,1613824
23,2021-12-28,13:51:56,0.5,ROS_VNF_state,22.9,2084077568,1010442240,51.5,900411392,678219776,974987264,214265856,34516992,470929408,1613824
24,2021-12-28,13:51:57,0.5,ROS_VNF_state,15.6,2084077568,1010442240,51.5,900411392,678219776,974987264,214265856,34516992,470929408,1613824
25,2021-12-28,13:51:57,0.5,ROS_VNF_state,9.7,2084077568,1010483200,51.5,900362240,678260736,974987264,214265856,34525184,470929408,1613824
26,2021-12-28,13:51:58,0.5,ROS_VNF_state,8.0,2084077568,1010491392,51.5,900354048,678268928,974987264,214265856,34525184,470929408,1613824
27,2021-12-28,13:51:58,0.5,ROS_VNF_state,20.0,2084077568,1010343936,51.5,900501504,678121472,974987264,214265856,34525184,470929408,1613824
28,2021-12-28,13:51:59,0.5,ROS_VNF_state,24.1,2084077568,1010384896,51.5,900460544,678162432,974987264,214265856,34525184,470929408,1613824
29,2021-12-28,13:51:59,0.5,ROS_VNF_state,26.4,2084077568,1010343936,51.5,900497408,678121472,974987264,214265856,34525184,470933504,1613824
30,2021-12-28,13:52:00,0.5,ROS_VNF_state,26.1,2084077568,1010458624,51.5,900382720,678236160,974987264,214265856,34525184,470933504,1613824
31,2021-12-28,13:52:00,0.5,ROS_VNF_state,19.3,2084077568,1010507776,51.5,900333568,678285312,974987264,214265856,34525184,470933504,1613824
32,2021-12-28,13:52:01,0.5,ROS_VNF_state,16.0,2084077568,1010524160,51.5,900317184,678301696,974987264,214265856,34525184,470933504,1613824
33,2021-12-28,13:52:01,0.5,ROS_VNF_state,13.0,2084077568,1010524160,51.5,900317184,678301696,974987264,214265856,34525184,470933504,1613824
34,2021-12-28,13:52:02,0.5,ROS_VNF_state,16.0,2084077568,1010458624,51.5,900382720,678236160,974987264,214265856,34525184,470933504,1613824
35,2021-12-28,13:52:02,0.5,ROS_VNF_state,21.4,2084077568,1010679808,51.5,900161536,678457344,974987264,214265856,34525184,470933504,1613824
36,2021-12-28,13:52:03,0.5,ROS_VNF_state,27.5,2084077568,1010401280,51.5,900440064,678178816,974987264,214265856,34533376,470925312,1613824
37,2021-12-28,13:52:03,0.5,ROS_VNF_state,22.7,2084077568,1010532352,51.5,900300800,678309888,974987264,214265856,34533376,470933504,1613824
38,2021-12-28,13:52:04,0.5,ROS_VNF_state,24.1,2084077568,1010499584,51.5,900333568,678277120,974987264,214265856,34533376,470933504,1613824
39,2021-12-28,13:52:04,0.5,ROS_VNF_state,16.7,2084077568,1010548736,51.5,900284416,678326272,974987264,214265856,34533376,470933504,1613824
40,2021-12-28,13:52:05,0.5,ROS_VNF_state,11.8,2084077568,1010507776,51.5,900325376,678285312,974987264,214265856,34533376,470933504,1613824
41,2021-12-28,13:52:05,0.5,ROS_VNF_state,23.3,2084077568,1010376704,51.5,900456448,678154240,974987264,214265856,34533376,470933504,1613824
42,2021-12-28,13:52:06,0.5,ROS_VNF_state,25.8,2084077568,1010319360,51.5,900513792,678096896,974987264,214265856,34533376,470933504,1613824
43,2021-12-28,13:52:06,0.5,ROS_VNF_state,29.8,2084077568,1010352128,51.5,900481024,678129664,974987264,214265856,34533376,470933504,1613824
44,2021-12-28,13:52:07,0.5,ROS_VNF_state,11.8,2084077568,1010343936,51.5,900489216,678121472,974987264,214265856,34533376,470933504,1613824
45,2021-12-28,13:52:07,0.5,ROS_VNF_state,10.7,2084077568,1010327552,51.5,900505600,678105088,974987264,214265856,34533376,470933504,1613824
46,2021-12-28,13:52:08,0.5,ROS_VNF_state,19.0,2084077568,1010458624,51.5,900374528,678236160,974987264,214265856,34533376,470933504,1613824
47,2021-12-28,13:52:08,0.5,ROS_VNF_state,32.7,2084077568,1010384896,51.5,900440064,678162432,974987264,214265856,34541568,470933504,1613824
48,2021-12-28,13:52:09,0.5,ROS_VNF_state,25.8,2084077568,1010270208,51.5,900554752,678047744,974987264,214265856,34541568,470933504,1613824
49,2021-12-28,13:52:09,0.5,ROS_VNF_state,21.2,2084077568,1010630656,51.5,900194304,678408192,974987264,214265856,34541568,470933504,1613824
50,2021-12-28,13:52:10,0.5,ROS_VNF_state,12.8,2084077568,1010434048,51.5,900390912,678211584,974987264,214265856,34541568,470933504,1613824
51,2021-12-28,13:52:10,0.5,ROS_VNF_state,16.2,2084077568,1010270208,51.5,900554752,678047744,974987264,214265856,34541568,470933504,1613824
52,2021-12-28,13:52:11,0.5,ROS_VNF_state,31.6,2084077568,1010442240,51.5,900382720,678219776,974987264,214265856,34541568,470933504,1613824
53,2021-12-28,13:52:11,0.5,ROS_VNF_state,30.0,2084077568,1010434048,51.5,900390912,678211584,974987264,214265856,34541568,470933504,1613824
54,2021-12-28,13:52:12,0.5,ROS_VNF_state,25.3,2084077568,1010565120,51.5,900259840,678342656,974987264,214265856,34541568,470933504,1613824
55,2021-12-28,13:52:12,0.5,ROS_VNF_state,18.1,2084077568,1010552832,51.5,900300800,678301696,975011840,214269952,34541568,470933504,1613824
56,2021-12-28,13:52:13,0.5,ROS_VNF_state,11.7,2084077568,1010552832,51.5,900300800,678301696,975011840,214269952,34541568,470933504,1613824
57,2021-12-28,13:52:13,0.5,ROS_VNF_state,20.0,2084077568,1010446336,51.5,900407296,678195200,975011840,214269952,34541568,470933504,1613824
58,2021-12-28,13:52:14,0.5,ROS_VNF_state,31.6,2084077568,1010642944,51.5,900198400,678391808,975011840,214269952,34549760,470937600,1613824
59,2021-12-28,13:52:14,0.5,ROS_VNF_state,17.9,2084077568,1010692096,51.5,900149248,678440960,975011840,214269952,34549760,470937600,1613824
60,2021-12-28,13:52:15,0.5,ROS_VNF_state,25.3,2084077568,1010552832,51.5,900288512,678301696,975011840,214269952,34549760,470937600,1613824
61,2021-12-28,13:52:15,0.5,ROS_VNF_state,14.8,2084077568,1010610176,51.5,900231168,678359040,975011840,214269952,34549760,470937600,1613824
62,2021-12-28,13:52:16,0.5,ROS_VNF_state,19.5,2084077568,1010552832,51.5,900288512,678301696,975011840,214269952,34549760,470937600,1613824
63,2021-12-28,13:52:16,0.5,ROS_VNF_state,16.5,2084077568,1010663424,51.5,900190208,678400000,975020032,214274048,34549760,470937600,1613824
64,2021-12-28,13:52:17,0.5,ROS_VNF_state,13.8,2084077568,1010589696,51.5,900263936,678326272,975020032,214274048,34549760,470937600,1613824
65,2021-12-28,13:52:17,0.5,ROS_VNF_state,25.0,2084077568,1010597888,51.5,900255744,678334464,975020032,214274048,34549760,470937600,1613824
66,2021-12-28,13:52:18,0.5,ROS_VNF_state,9.2,2084077568,1010466816,51.5,900386816,678203392,975020032,214274048,34549760,470937600,1613824
67,2021-12-28,13:52:18,0.5,ROS_VNF_state,16.2,2084077568,1010368512,51.5,900485120,678105088,975020032,214274048,34549760,470937600,1613824
68,2021-12-28,13:52:19,0.5,ROS_VNF_state,22.2,2084077568,1010524160,51.5,900329472,678260736,975020032,214274048,34549760,470937600,1613824
69,2021-12-28,13:52:19,0.5,ROS_VNF_state,11.7,2084077568,1010597888,51.5,900247552,678334464,975020032,214274048,34557952,470937600,1613824
70,2021-12-28,13:52:20,0.5,ROS_VNF_state,17.1,2084077568,1010475008,51.5,900370432,678211584,975020032,214274048,34557952,470937600,1613824
71,2021-12-28,13:52:20,0.5,ROS_VNF_state,21.6,2084077568,1010425856,51.5,900419584,678162432,975020032,214274048,34557952,470937600,1613824
72,2021-12-28,13:52:21,0.5,ROS_VNF_state,23.9,2084077568,1010335744,51.5,900509696,678072320,975020032,214274048,34557952,470937600,1613824
