iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-14,22:54:34,0.5,ROS_VNF_state,4.0,2079498240,1661628416,20.1,259416064,1360007168,359497728,231657472,31485952,428589056,872448
1,2022-02-14,22:54:35,0.5,ROS_VNF_state,3.1,2079498240,1661562880,20.1,259481600,1359941632,359497728,231657472,31485952,428589056,872448
2,2022-02-14,22:54:35,0.5,ROS_VNF_state,2.1,2079498240,1661628416,20.1,259416064,1360007168,359497728,231657472,31485952,428589056,872448
3,2022-02-14,22:54:36,0.5,ROS_VNF_state,4.1,2079498240,1661628416,20.1,259416064,1360007168,359497728,231657472,31485952,428589056,872448
4,2022-02-14,22:54:36,0.5,ROS_VNF_state,1.0,2079498240,1661595648,20.1,259448832,1359974400,359497728,231657472,31485952,428589056,872448
5,2022-02-14,22:54:37,0.5,ROS_VNF_state,2.1,2079498240,1661562880,20.1,259481600,1359941632,359497728,231657472,31485952,428589056,872448
6,2022-02-14,22:54:37,0.5,ROS_VNF_state,3.1,2079498240,1665724416,19.9,255320064,1364103168,354336768,231657472,31485952,428589056,872448
7,2022-02-14,22:54:38,0.5,ROS_VNF_state,2.1,2079498240,1665814528,19.9,255238144,1364185088,354328576,231665664,31485952,428589056,872448
8,2022-02-14,22:54:38,0.5,ROS_VNF_state,0.0,2079498240,1665847296,19.9,255197184,1364217856,354328576,231665664,31494144,428589056,872448
9,2022-02-14,22:54:39,0.5,ROS_VNF_state,1.1,2079498240,1665847296,19.9,255197184,1364217856,354328576,231665664,31494144,428589056,872448
10,2022-02-14,22:54:39,0.5,ROS_VNF_state,0.0,2079498240,1665847296,19.9,255197184,1364217856,354328576,231665664,31494144,428589056,872448
11,2022-02-14,22:54:40,0.5,ROS_VNF_state,0.0,2079498240,1665814528,19.9,255229952,1364185088,354328576,231665664,31494144,428589056,872448
12,2022-02-14,22:54:40,0.5,ROS_VNF_state,2.1,2079498240,1665814528,19.9,255229952,1364185088,354328576,231665664,31494144,428589056,872448
