iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,05:49:46,0.5,ROS_VNF_state,11.1,2084077568,1245921280,40.2,670916608,923029504,761651200,214089728,33492992,456638464,1335296
1,2021-12-28,05:49:47,0.5,ROS_VNF_state,9.0,2084077568,1245986816,40.2,670851072,923095040,761651200,214089728,33492992,456638464,1335296
2,2021-12-28,05:49:47,0.5,ROS_VNF_state,9.1,2084077568,1245732864,40.2,671105024,922841088,761651200,214089728,33492992,456638464,1335296
3,2021-12-28,05:49:48,0.5,ROS_VNF_state,12.9,2084077568,1245986816,40.2,670851072,923095040,761651200,214089728,33492992,456638464,1335296
4,2021-12-28,05:49:48,0.5,ROS_VNF_state,6.8,2084077568,1246150656,40.2,670687232,923258880,761651200,214089728,33492992,456638464,1335296
5,2021-12-28,05:49:49,0.5,ROS_VNF_state,12.1,2084077568,1246150656,40.2,670687232,923258880,761651200,214089728,33492992,456638464,1335296
6,2021-12-28,05:49:49,0.5,ROS_VNF_state,9.1,2084077568,1252831232,39.9,664018944,929927168,754225152,214097920,33501184,456630272,1335296
7,2021-12-28,05:49:50,0.5,ROS_VNF_state,9.1,2084077568,1252823040,39.9,664027136,929918976,754225152,214097920,33501184,456630272,1335296
8,2021-12-28,05:49:50,0.5,ROS_VNF_state,5.8,2084077568,1252782080,39.9,664059904,929878016,754225152,214097920,33501184,456638464,1335296
9,2021-12-28,05:49:51,0.5,ROS_VNF_state,6.9,2084077568,1252773888,39.9,664068096,929869824,754225152,214097920,33501184,456638464,1335296
10,2021-12-28,05:49:51,0.5,ROS_VNF_state,9.3,2084077568,1252790272,39.9,664051712,929886208,754225152,214097920,33501184,456638464,1335296
11,2021-12-28,05:49:52,0.5,ROS_VNF_state,14.4,2084077568,1252659200,39.9,664182784,929755136,754225152,214097920,33501184,456638464,1335296
12,2021-12-28,05:49:52,0.5,ROS_VNF_state,5.8,2084077568,1252724736,39.9,664117248,929820672,754225152,214097920,33501184,456638464,1335296
13,2021-12-28,05:49:53,0.5,ROS_VNF_state,8.2,2084077568,1252970496,39.9,663871488,930066432,754225152,214097920,33501184,456638464,1335296
14,2021-12-28,05:49:53,0.5,ROS_VNF_state,11.0,2084077568,1252651008,39.9,664190976,929746944,754225152,214097920,33501184,456638464,1335296
15,2021-12-28,05:49:54,0.5,ROS_VNF_state,6.9,2084077568,1252880384,39.9,663961600,929976320,754225152,214097920,33501184,456638464,1335296
16,2021-12-28,05:49:54,0.5,ROS_VNF_state,4.7,2084077568,1252724736,39.9,664117248,929820672,754225152,214097920,33501184,456638464,1335296
17,2021-12-28,05:49:55,0.5,ROS_VNF_state,9.5,2084077568,1252790272,39.9,664043520,929886208,754225152,214097920,33509376,456638464,1335296
18,2021-12-28,05:49:55,0.5,ROS_VNF_state,5.9,2084077568,1252806656,39.9,664027136,929902592,754225152,214097920,33509376,456638464,1335296
19,2021-12-28,05:49:56,0.5,ROS_VNF_state,8.0,2084077568,1252724736,39.9,664109056,929820672,754225152,214097920,33509376,456638464,1335296
20,2021-12-28,05:49:56,0.5,ROS_VNF_state,10.0,2084077568,1252716544,39.9,664117248,929812480,754225152,214097920,33509376,456638464,1335296
21,2021-12-28,05:49:57,0.5,ROS_VNF_state,11.0,2084077568,1252790272,39.9,664043520,929886208,754225152,214097920,33509376,456638464,1335296
22,2021-12-28,05:49:57,0.5,ROS_VNF_state,5.8,2084077568,1252954112,39.9,663879680,930050048,754225152,214097920,33509376,456638464,1335296
23,2021-12-28,05:49:58,0.5,ROS_VNF_state,6.9,2084077568,1252978688,39.9,663855104,930074624,754286592,214097920,33509376,456638464,1335296
24,2021-12-28,05:49:58,0.5,ROS_VNF_state,11.2,2084077568,1252864000,39.9,663969792,929959936,754286592,214097920,33509376,456638464,1335296
25,2021-12-28,05:49:59,0.5,ROS_VNF_state,13.3,2084077568,1252855808,39.9,663977984,929951744,754286592,214097920,33509376,456638464,1335296
26,2021-12-28,05:49:59,0.5,ROS_VNF_state,11.0,2084077568,1252999168,39.9,663838720,930091008,754282496,214102016,33509376,456638464,1335296
27,2021-12-28,05:50:00,0.5,ROS_VNF_state,5.8,2084077568,1252843520,39.9,663994368,929935360,754282496,214102016,33509376,456638464,1335296
28,2021-12-28,05:50:00,0.5,ROS_VNF_state,10.0,2084077568,1252843520,39.9,663986176,929935360,754282496,214102016,33517568,456638464,1335296
29,2021-12-28,05:50:01,0.5,ROS_VNF_state,8.0,2084077568,1252892672,39.9,663932928,929984512,754282496,214102016,33517568,456642560,1335296
30,2021-12-28,05:50:01,0.5,ROS_VNF_state,11.5,2084077568,1253031936,39.9,663793664,930123776,754282496,214102016,33517568,456642560,1335296
31,2021-12-28,05:50:02,0.5,ROS_VNF_state,8.9,2084077568,1252753408,39.9,664072192,929845248,754282496,214102016,33517568,456642560,1335296
32,2021-12-28,05:50:02,0.5,ROS_VNF_state,10.1,2084077568,1252630528,39.9,664195072,929722368,754282496,214102016,33517568,456642560,1335296
33,2021-12-28,05:50:03,0.5,ROS_VNF_state,9.0,2084077568,1252802560,39.9,664023040,929894400,754282496,214102016,33517568,456642560,1335296
34,2021-12-28,05:50:03,0.5,ROS_VNF_state,12.9,2084077568,1252900864,39.9,663924736,929992704,754282496,214102016,33517568,456642560,1335296
35,2021-12-28,05:50:04,0.5,ROS_VNF_state,8.0,2084077568,1252843520,39.9,663982080,929935360,754282496,214102016,33517568,456642560,1335296
36,2021-12-28,05:50:04,0.5,ROS_VNF_state,11.0,2084077568,1252827136,39.9,663998464,929918976,754282496,214102016,33517568,456642560,1335296
37,2021-12-28,05:50:05,0.5,ROS_VNF_state,16.7,2084077568,1252745216,39.9,664080384,929837056,754282496,214102016,33517568,456642560,1335296
38,2021-12-28,05:50:05,0.5,ROS_VNF_state,13.5,2084077568,1253007360,39.9,663818240,930099200,754282496,214102016,33517568,456642560,1335296
