iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 02:32:18 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.56MiB / 1.941GiB 4.81% 12.24%
2 2022-01-03 02:32:20 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.06%
3 2022-01-03 02:32:22 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 8.00%
4 2022-01-03 02:32:24 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.66%
5 2022-01-03 02:32:26 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.11%
6 2022-01-03 02:32:29 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 8.24%
7 2022-01-03 02:32:31 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.79%
8 2022-01-03 02:32:33 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.94%
9 2022-01-03 02:32:35 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.52%
10 2022-01-03 02:32:37 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.58%
11 2022-01-03 02:32:39 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 8.91%
12 2022-01-03 02:32:41 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 8.81%
13 2022-01-03 02:32:43 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 10.17%
14 2022-01-03 02:32:45 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.75%
15 2022-01-03 02:32:47 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 10.81%
16 2022-01-03 02:32:49 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.89%
17 2022-01-03 02:32:51 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.46%
18 2022-01-03 02:32:53 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 8.91%
19 2022-01-03 02:32:55 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.73%
20 2022-01-03 02:32:57 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 10.34%
21 2022-01-03 02:32:59 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.39%
22 2022-01-03 02:33:01 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.76%
23 2022-01-03 02:33:03 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 8.87%
24 2022-01-03 02:33:05 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.71%
25 2022-01-03 02:33:07 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 9.79%
26 2022-01-03 02:33:09 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 95.69MiB / 1.941GiB 4.81% 10.01%
