iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 01:39:29 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.19MiB / 1.941GiB 4.84% 10.43%
2 2022-01-03 01:39:31 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.19MiB / 1.941GiB 4.84% 10.06%
3 2022-01-03 01:39:33 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.19MiB / 1.941GiB 4.84% 14.10%
4 2022-01-03 01:39:35 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.3MiB / 1.941GiB 4.85% 11.41%
5 2022-01-03 01:39:37 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 10.51%
6 2022-01-03 01:39:39 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 11.17%
7 2022-01-03 01:39:42 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.18MiB / 1.941GiB 4.84% 10.43%
8 2022-01-03 01:39:44 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.29MiB / 1.941GiB 4.84% 10.97%
9 2022-01-03 01:39:46 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.29MiB / 1.941GiB 4.84% 13.45%
10 2022-01-03 01:39:48 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 10.83%
11 2022-01-03 01:39:50 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.18MiB / 1.941GiB 4.84% 9.81%
12 2022-01-03 01:39:52 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.29MiB / 1.941GiB 4.84% 10.46%
13 2022-01-03 01:39:54 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.19MiB / 1.941GiB 4.84% 11.66%
14 2022-01-03 01:39:56 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 11.53%
15 2022-01-03 01:39:58 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 12.17%
16 2022-01-03 01:40:00 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 12.48%
17 2022-01-03 01:40:02 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 10.14%
18 2022-01-03 01:40:04 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 12.58%
19 2022-01-03 01:40:06 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 10.51%
20 2022-01-03 01:40:08 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 9.57%
21 2022-01-03 01:40:10 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 9.51%
22 2022-01-03 01:40:12 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 11.07%
23 2022-01-03 01:40:14 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 10.45%
24 2022-01-03 01:40:16 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 9.91%
25 2022-01-03 01:40:18 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.2MiB / 1.941GiB 4.84% 12.62%
26 2022-01-03 01:40:20 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.19MiB / 1.941GiB 4.84% 10.19%
27 2022-01-03 01:40:22 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.24MiB / 1.941GiB 4.84% 10.79%
28 2022-01-03 01:40:24 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.23MiB / 1.941GiB 4.84% 12.81%
29 2022-01-03 01:40:26 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.24MiB / 1.941GiB 4.84% 10.22%
30 2022-01-03 01:40:28 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.24MiB / 1.941GiB 4.84% 11.02%
31 2022-01-03 01:40:30 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.24MiB / 1.941GiB 4.84% 10.54%
32 2022-01-03 01:40:32 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.24MiB / 1.941GiB 4.84% 10.38%
33 2022-01-03 01:40:34 ROS_VNF_motionplanning 2a820e9ae280 motionplanning_robot_1 96.23MiB / 1.941GiB 4.84% 10.56%
