iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 03:05:39 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.69MiB / 1.941GiB 4.86% 10.22%
2 2022-01-03 03:05:41 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.69MiB / 1.941GiB 4.86% 13.92%
3 2022-01-03 03:05:43 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.69MiB / 1.941GiB 4.86% 28.79%
4 2022-01-03 03:05:45 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.69MiB / 1.941GiB 4.86% 16.64%
5 2022-01-03 03:05:47 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.6MiB / 1.941GiB 4.86% 8.96%
6 2022-01-03 03:05:49 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.6MiB / 1.941GiB 4.86% 10.70%
7 2022-01-03 03:05:51 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.6MiB / 1.941GiB 4.86% 10.10%
8 2022-01-03 03:05:53 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.69MiB / 1.941GiB 4.86% 10.99%
9 2022-01-03 03:05:55 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.6MiB / 1.941GiB 4.86% 13.26%
10 2022-01-03 03:05:57 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.6MiB / 1.941GiB 4.86% 10.91%
11 2022-01-03 03:05:59 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.71MiB / 1.941GiB 4.87% 14.37%
12 2022-01-03 03:06:01 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.71MiB / 1.941GiB 4.87% 13.60%
13 2022-01-03 03:06:03 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.6MiB / 1.941GiB 4.86% 14.17%
14 2022-01-03 03:06:05 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.75MiB / 1.941GiB 4.87% 18.12%
15 2022-01-03 03:06:07 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 10.47%
16 2022-01-03 03:06:09 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 11.54%
17 2022-01-03 03:06:11 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.63MiB / 1.941GiB 4.86% 13.76%
18 2022-01-03 03:06:13 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.75MiB / 1.941GiB 4.87% 12.41%
19 2022-01-03 03:06:15 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 9.80%
20 2022-01-03 03:06:17 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 9.84%
21 2022-01-03 03:06:19 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 9.18%
22 2022-01-03 03:06:21 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.75MiB / 1.941GiB 4.87% 20.74%
23 2022-01-03 03:06:23 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.75MiB / 1.941GiB 4.87% 11.41%
24 2022-01-03 03:06:25 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 11.04%
25 2022-01-03 03:06:27 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.63MiB / 1.941GiB 4.86% 43.51%
26 2022-01-03 03:06:29 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 9.89%
27 2022-01-03 03:06:31 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.75MiB / 1.941GiB 4.87% 12.87%
28 2022-01-03 03:06:33 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 10.69%
29 2022-01-03 03:06:35 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.74MiB / 1.941GiB 4.87% 21.21%
30 2022-01-03 03:06:37 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 10.41%
31 2022-01-03 03:06:39 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 11.52%
32 2022-01-03 03:06:41 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 12.44%
33 2022-01-03 03:06:43 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.75MiB / 1.941GiB 4.87% 15.42%
34 2022-01-03 03:06:45 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.75MiB / 1.941GiB 4.87% 12.77%
35 2022-01-03 03:06:47 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.75MiB / 1.941GiB 4.87% 14.19%
36 2022-01-03 03:06:49 ROS_VNF_motionplanning 8d939cab3262 motionplanning_robot_1 96.64MiB / 1.941GiB 4.86% 9.68%
