iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 00:46:21 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 10.75%
2 2022-01-03 00:46:23 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.66%
3 2022-01-03 00:46:25 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 10.14%
4 2022-01-03 00:46:27 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.91%
5 2022-01-03 00:46:29 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.20%
6 2022-01-03 00:46:31 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 11.68%
7 2022-01-03 00:46:33 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.29%
8 2022-01-03 00:46:35 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 8.85%
9 2022-01-03 00:46:37 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 8.73%
10 2022-01-03 00:46:39 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.63%
11 2022-01-03 00:46:41 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.74%
12 2022-01-03 00:46:43 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.63%
13 2022-01-03 00:46:45 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.43%
14 2022-01-03 00:46:47 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.87%
15 2022-01-03 00:46:49 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.78%
16 2022-01-03 00:46:51 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.22%
17 2022-01-03 00:46:53 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 10.08%
18 2022-01-03 00:46:55 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.46%
19 2022-01-03 00:46:57 ROS_VNF_motionplanning d1eca0d44ca9 motionplanning_robot_1 95.29MiB / 1.941GiB 4.79% 9.59%
