iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-06,02:26:55,0.5,ROS_VNF_motionplanning,9.6,2084077568,1445699584,30.6,473063424,1109331968,575741952,241614848,31776768,469905408,1060864
1,2022-01-06,02:26:55,0.5,ROS_VNF_motionplanning,12.8,2084077568,1445568512,30.6,473194496,1109200896,575741952,241614848,31776768,469905408,1060864
2,2022-01-06,02:26:56,0.5,ROS_VNF_motionplanning,13.8,2084077568,1445601280,30.6,473161728,1109233664,575741952,241614848,31776768,469905408,1060864
3,2022-01-06,02:26:56,0.5,ROS_VNF_motionplanning,12.9,2084077568,1445601280,30.6,473161728,1109233664,575741952,241614848,31776768,469905408,1060864
4,2022-01-06,02:26:57,0.5,ROS_VNF_motionplanning,11.9,2084077568,1445634048,30.6,473128960,1109266432,575741952,241614848,31776768,469905408,1060864
5,2022-01-06,02:26:57,0.5,ROS_VNF_motionplanning,9.9,2084077568,1445675008,30.6,473096192,1109299200,575774720,241623040,31789056,469893120,1060864
6,2022-01-06,02:26:58,0.5,ROS_VNF_motionplanning,23.3,2084077568,1453473792,30.3,465297408,1117097984,567648256,241623040,31789056,469893120,1060864
7,2022-01-06,02:26:58,0.5,ROS_VNF_motionplanning,21.6,2084077568,1453518848,30.3,465252352,1117130752,567599104,241623040,31789056,469905408,1060864
8,2022-01-06,02:26:59,0.5,ROS_VNF_motionplanning,23.1,2084077568,1453486080,30.3,465285120,1117097984,567599104,241623040,31789056,469905408,1060864
9,2022-01-06,02:26:59,0.5,ROS_VNF_motionplanning,14.6,2084077568,1453682688,30.2,465088512,1117294592,567599104,241623040,31789056,469905408,1060864
10,2022-01-06,02:27:00,0.5,ROS_VNF_motionplanning,16.7,2084077568,1453486080,30.3,465285120,1117097984,567599104,241623040,31789056,469905408,1060864
11,2022-01-06,02:27:00,0.5,ROS_VNF_motionplanning,16.7,2084077568,1453387776,30.3,465383424,1116999680,567599104,241623040,31789056,469905408,1060864
12,2022-01-06,02:27:01,0.5,ROS_VNF_motionplanning,13.4,2084077568,1453551616,30.3,465219584,1117163520,567599104,241623040,31789056,469905408,1060864
13,2022-01-06,02:27:01,0.5,ROS_VNF_motionplanning,16.1,2084077568,1453584384,30.3,465186816,1117196288,567599104,241623040,31789056,469905408,1060864
14,2022-01-06,02:27:02,0.5,ROS_VNF_motionplanning,18.7,2084077568,1453453312,30.3,465317888,1117065216,567599104,241623040,31789056,469905408,1060864
15,2022-01-06,02:27:02,0.5,ROS_VNF_motionplanning,10.7,2084077568,1453453312,30.3,465317888,1117065216,567599104,241623040,31789056,469905408,1060864
16,2022-01-06,02:27:03,0.5,ROS_VNF_motionplanning,13.4,2084077568,1453322240,30.3,465440768,1116934144,567599104,241623040,31797248,469905408,1060864
17,2022-01-06,02:27:03,0.5,ROS_VNF_motionplanning,16.7,2084077568,1453420544,30.3,465342464,1117032448,567599104,241623040,31797248,469905408,1060864
18,2022-01-06,02:27:04,0.5,ROS_VNF_motionplanning,15.5,2084077568,1453355008,30.3,465408000,1116966912,567599104,241623040,31797248,469905408,1060864
19,2022-01-06,02:27:04,0.5,ROS_VNF_motionplanning,17.2,2084077568,1453453312,30.3,465309696,1117065216,567599104,241623040,31797248,469905408,1060864
20,2022-01-06,02:27:05,0.5,ROS_VNF_motionplanning,11.2,2084077568,1453551616,30.3,465211392,1117163520,567599104,241623040,31797248,469905408,1060864
21,2022-01-06,02:27:05,0.5,ROS_VNF_motionplanning,15.7,2084077568,1453649920,30.2,465113088,1117261824,567599104,241623040,31797248,469905408,1060864
22,2022-01-06,02:27:06,0.5,ROS_VNF_motionplanning,16.7,2084077568,1453551616,30.3,465211392,1117163520,567599104,241623040,31797248,469905408,1060864
23,2022-01-06,02:27:06,0.5,ROS_VNF_motionplanning,16.5,2084077568,1453486080,30.3,465276928,1117097984,567599104,241623040,31797248,469905408,1060864
24,2022-01-06,02:27:07,0.5,ROS_VNF_motionplanning,16.5,2084077568,1453453312,30.3,465309696,1117065216,567599104,241623040,31797248,469905408,1060864
25,2022-01-06,02:27:07,0.5,ROS_VNF_motionplanning,12.2,2084077568,1453617152,30.3,465145856,1117229056,567660544,241623040,31797248,469905408,1060864
26,2022-01-06,02:27:08,0.5,ROS_VNF_motionplanning,15.5,2084077568,1453518848,30.3,465244160,1117130752,567660544,241623040,31797248,469905408,1060864
27,2022-01-06,02:27:08,0.5,ROS_VNF_motionplanning,13.4,2084077568,1453682688,30.2,465072128,1117294592,567660544,241623040,31805440,469905408,1060864
28,2022-01-06,02:27:09,0.5,ROS_VNF_motionplanning,17.4,2084077568,1453715456,30.2,465035264,1117327360,567660544,241623040,31805440,469909504,1060864
29,2022-01-06,02:27:09,0.5,ROS_VNF_motionplanning,19.3,2084077568,1453682688,30.2,465068032,1117294592,567660544,241623040,31805440,469909504,1060864
30,2022-01-06,02:27:10,0.5,ROS_VNF_motionplanning,18.6,2084077568,1453551616,30.3,465199104,1117163520,567660544,241623040,31805440,469909504,1060864
31,2022-01-06,02:27:10,0.5,ROS_VNF_motionplanning,12.2,2084077568,1453617152,30.3,465133568,1117229056,567660544,241623040,31805440,469909504,1060864
32,2022-01-06,02:27:11,0.5,ROS_VNF_motionplanning,14.8,2084077568,1453649920,30.2,465100800,1117261824,567660544,241623040,31805440,469909504,1060864
33,2022-01-06,02:27:11,0.5,ROS_VNF_motionplanning,12.2,2084077568,1453682688,30.2,465068032,1117294592,567660544,241623040,31805440,469909504,1060864
34,2022-01-06,02:27:12,0.5,ROS_VNF_motionplanning,18.6,2084077568,1453617152,30.3,465133568,1117229056,567660544,241623040,31805440,469909504,1060864
35,2022-01-06,02:27:12,0.5,ROS_VNF_motionplanning,20.2,2084077568,1453518848,30.3,465231872,1117130752,567660544,241623040,31805440,469909504,1060864
36,2022-01-06,02:27:13,0.5,ROS_VNF_motionplanning,18.4,2084077568,1453453312,30.3,465297408,1117065216,567660544,241623040,31805440,469909504,1060864
37,2022-01-06,02:27:13,0.5,ROS_VNF_motionplanning,18.2,2084077568,1453584384,30.3,465166336,1117196288,567660544,241623040,31805440,469909504,1060864
38,2022-01-06,02:27:14,0.5,ROS_VNF_motionplanning,17.6,2084077568,1453584384,30.3,465158144,1117196288,567660544,241623040,31813632,469909504,1060864
39,2022-01-06,02:27:14,0.5,ROS_VNF_motionplanning,14.3,2084077568,1453584384,30.3,465158144,1117196288,567660544,241623040,31813632,469909504,1060864
40,2022-01-06,02:27:15,0.5,ROS_VNF_motionplanning,20.5,2084077568,1453641728,30.3,465125376,1117229056,567750656,241623040,31813632,469909504,1060864
41,2022-01-06,02:27:15,0.5,ROS_VNF_motionplanning,14.5,2084077568,1453641728,30.3,465125376,1117229056,567750656,241623040,31813632,469909504,1060864
42,2022-01-06,02:27:16,0.5,ROS_VNF_motionplanning,21.3,2084077568,1453641728,30.3,465125376,1117229056,567750656,241623040,31813632,469909504,1060864
43,2022-01-06,02:27:16,0.5,ROS_VNF_motionplanning,16.5,2084077568,1453641728,30.3,465125376,1117229056,567750656,241623040,31813632,469909504,1060864
44,2022-01-06,02:27:17,0.5,ROS_VNF_motionplanning,16.7,2084077568,1453543424,30.3,465223680,1117130752,567750656,241623040,31813632,469909504,1060864
45,2022-01-06,02:27:17,0.5,ROS_VNF_motionplanning,19.3,2084077568,1453543424,30.3,465223680,1117130752,567750656,241623040,31813632,469909504,1060864
46,2022-01-06,02:27:18,0.5,ROS_VNF_motionplanning,17.4,2084077568,1453576192,30.3,465190912,1117163520,567750656,241623040,31813632,469909504,1060864
47,2022-01-06,02:27:18,0.5,ROS_VNF_motionplanning,11.9,2084077568,1453510656,30.3,465256448,1117097984,567750656,241623040,31813632,469909504,1060864
48,2022-01-06,02:27:19,0.5,ROS_VNF_motionplanning,10.1,2084077568,1453514752,30.3,465256448,1117097984,567750656,241627136,31813632,469909504,1060864
49,2022-01-06,02:27:19,0.5,ROS_VNF_motionplanning,17.6,2084077568,1453613056,30.3,465158144,1117196288,567750656,241627136,31821824,469901312,1060864
50,2022-01-06,02:27:20,0.5,ROS_VNF_motionplanning,20.2,2084077568,1453613056,30.3,465149952,1117196288,567750656,241627136,31821824,469909504,1060864
51,2022-01-06,02:27:20,0.5,ROS_VNF_motionplanning,23.1,2084077568,1453711360,30.2,465051648,1117294592,567750656,241627136,31821824,469909504,1060864
52,2022-01-06,02:27:21,0.5,ROS_VNF_motionplanning,20.2,2084077568,1453613056,30.3,465149952,1117196288,567750656,241627136,31821824,469909504,1060864
53,2022-01-06,02:27:21,0.5,ROS_VNF_motionplanning,15.9,2084077568,1453514752,30.3,465248256,1117097984,567750656,241627136,31821824,469909504,1060864
54,2022-01-06,02:27:22,0.5,ROS_VNF_motionplanning,20.5,2084077568,1453580288,30.3,465178624,1117163520,567750656,241627136,31821824,469913600,1060864
55,2022-01-06,02:27:22,0.5,ROS_VNF_motionplanning,20.7,2084077568,1453711360,30.2,465047552,1117294592,567750656,241627136,31821824,469913600,1060864
56,2022-01-06,02:27:23,0.5,ROS_VNF_motionplanning,19.3,2084077568,1453645824,30.2,465113088,1117229056,567750656,241627136,31821824,469913600,1060864
57,2022-01-06,02:27:23,0.5,ROS_VNF_motionplanning,19.5,2084077568,1453711360,30.2,465047552,1117294592,567750656,241627136,31821824,469913600,1060864
58,2022-01-06,02:27:24,0.5,ROS_VNF_motionplanning,25.8,2084077568,1453645824,30.2,465113088,1117229056,567750656,241627136,31821824,469913600,1060864
59,2022-01-06,02:27:24,0.5,ROS_VNF_motionplanning,19.1,2084077568,1453547520,30.3,465211392,1117130752,567750656,241627136,31821824,469913600,1060864
60,2022-01-06,02:27:25,0.5,ROS_VNF_motionplanning,20.2,2084077568,1453613056,30.3,465137664,1117196288,567750656,241627136,31830016,469913600,1060864
61,2022-01-06,02:27:25,0.5,ROS_VNF_motionplanning,19.5,2084077568,1453580288,30.3,465170432,1117163520,567750656,241627136,31830016,469913600,1060864
62,2022-01-06,02:27:26,0.5,ROS_VNF_motionplanning,22.8,2084077568,1453481984,30.3,465268736,1117065216,567750656,241627136,31830016,469913600,1060864
63,2022-01-06,02:27:26,0.5,ROS_VNF_motionplanning,18.2,2084077568,1453547520,30.3,465203200,1117130752,567750656,241627136,31830016,469913600,1060864
64,2022-01-06,02:27:27,0.5,ROS_VNF_motionplanning,17.6,2084077568,1453744128,30.2,465006592,1117327360,567750656,241627136,31830016,469913600,1060864
65,2022-01-06,02:27:27,0.5,ROS_VNF_motionplanning,16.5,2084077568,1453613056,30.3,465137664,1117196288,567750656,241627136,31830016,469913600,1060864
66,2022-01-06,02:27:28,0.5,ROS_VNF_motionplanning,8.9,2084077568,1453613056,30.3,465137664,1117196288,567750656,241627136,31830016,469913600,1060864
67,2022-01-06,02:27:28,0.5,ROS_VNF_motionplanning,16.5,2084077568,1453613056,30.3,465137664,1117196288,567750656,241627136,31830016,469913600,1060864
68,2022-01-06,02:27:29,0.5,ROS_VNF_motionplanning,11.2,2084077568,1453481984,30.3,465268736,1117065216,567750656,241627136,31830016,469913600,1060864
69,2022-01-06,02:27:29,0.5,ROS_VNF_motionplanning,13.6,2084077568,1453584384,30.3,465170432,1117163520,567750656,241631232,31830016,469913600,1060864
70,2022-01-06,02:27:30,0.5,ROS_VNF_motionplanning,18.6,2084077568,1453649920,30.2,465104896,1117229056,567750656,241631232,31830016,469913600,1060864
71,2022-01-06,02:27:30,0.5,ROS_VNF_motionplanning,21.3,2084077568,1453584384,30.3,465162240,1117163520,567750656,241631232,31838208,469913600,1060864
72,2022-01-06,02:27:31,0.5,ROS_VNF_motionplanning,18.4,2084077568,1453649920,30.2,465096704,1117229056,567750656,241631232,31838208,469913600,1060864
73,2022-01-06,02:27:31,0.5,ROS_VNF_motionplanning,13.6,2084077568,1453649920,30.2,465096704,1117229056,567750656,241631232,31838208,469913600,1060864
74,2022-01-06,02:27:32,0.5,ROS_VNF_motionplanning,12.3,2084077568,1453453312,30.3,465293312,1117032448,567750656,241631232,31838208,469913600,1060864
75,2022-01-06,02:27:32,0.5,ROS_VNF_motionplanning,9.9,2084077568,1453289472,30.3,465457152,1116868608,567750656,241631232,31838208,469913600,1060864
76,2022-01-06,02:27:33,0.5,ROS_VNF_motionplanning,13.4,2084077568,1453355008,30.3,465391616,1116934144,567750656,241631232,31838208,469913600,1060864
77,2022-01-06,02:27:33,0.5,ROS_VNF_motionplanning,20.2,2084077568,1453486080,30.3,465260544,1117065216,567750656,241631232,31838208,469913600,1060864
78,2022-01-06,02:27:34,0.5,ROS_VNF_motionplanning,20.2,2084077568,1453649920,30.2,465096704,1117229056,567750656,241631232,31838208,469913600,1060864
79,2022-01-06,02:27:34,0.5,ROS_VNF_motionplanning,15.5,2084077568,1453617152,30.3,465129472,1117196288,567750656,241631232,31838208,469913600,1060864
80,2022-01-06,02:27:35,0.5,ROS_VNF_motionplanning,10.1,2084077568,1453453312,30.3,465293312,1117032448,567750656,241631232,31838208,469913600,1060864
81,2022-01-06,02:27:35,0.5,ROS_VNF_motionplanning,14.5,2084077568,1453420544,30.3,465326080,1116999680,567750656,241631232,31838208,469913600,1060864
82,2022-01-06,02:27:36,0.5,ROS_VNF_motionplanning,13.3,2084077568,1453486080,30.3,465248256,1117065216,567750656,241631232,31846400,469917696,1060864
83,2022-01-06,02:27:36,0.5,ROS_VNF_motionplanning,20.9,2084077568,1453453312,30.3,465281024,1117032448,567750656,241631232,31846400,469917696,1060864
84,2022-01-06,02:27:37,0.5,ROS_VNF_motionplanning,14.6,2084077568,1453486080,30.3,465248256,1117065216,567750656,241631232,31846400,469917696,1060864
85,2022-01-06,02:27:37,0.5,ROS_VNF_motionplanning,18.4,2084077568,1453584384,30.3,465149952,1117163520,567750656,241631232,31846400,469917696,1060864
86,2022-01-06,02:27:38,0.5,ROS_VNF_motionplanning,17.2,2084077568,1453551616,30.3,465182720,1117130752,567750656,241631232,31846400,469917696,1060864
87,2022-01-06,02:27:38,0.5,ROS_VNF_motionplanning,15.7,2084077568,1453518848,30.3,465215488,1117097984,567750656,241631232,31846400,469917696,1060864
88,2022-01-06,02:27:39,0.5,ROS_VNF_motionplanning,19.3,2084077568,1453649920,30.2,465084416,1117229056,567750656,241631232,31846400,469917696,1060864
89,2022-01-06,02:27:39,0.5,ROS_VNF_motionplanning,23.1,2084077568,1453617152,30.3,465117184,1117196288,567750656,241631232,31846400,469917696,1060864
90,2022-01-06,02:27:40,0.5,ROS_VNF_motionplanning,13.4,2084077568,1453584384,30.3,465149952,1117163520,567750656,241631232,31846400,469917696,1060864
91,2022-01-06,02:27:40,0.5,ROS_VNF_motionplanning,8.9,2084077568,1453518848,30.3,465215488,1117097984,567750656,241631232,31846400,469917696,1060864
