iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-23,18:00:37,0.5,ROS_VNF_state,0.0,2084077568,1752891392,15.9,177815552,1577267200,170754048,230551552,19976192,309018624,774144
1,2021-12-23,18:00:37,0.5,ROS_VNF_state,0.0,2084077568,1752891392,15.9,177815552,1577267200,170754048,230551552,19976192,309018624,774144
2,2021-12-23,18:00:38,0.5,ROS_VNF_state,0.0,2084077568,1752891392,15.9,177815552,1577267200,170754048,230551552,19976192,309018624,774144
3,2021-12-23,18:00:38,0.5,ROS_VNF_state,0.0,2084077568,1752891392,15.9,177815552,1577267200,170754048,230551552,19976192,309018624,774144
4,2021-12-23,18:00:39,0.5,ROS_VNF_state,0.0,2084077568,1752891392,15.9,177815552,1577267200,170754048,230551552,19976192,309018624,774144
5,2021-12-23,18:00:39,0.5,ROS_VNF_state,0.0,2084077568,1752891392,15.9,177815552,1577267200,170754048,230551552,19976192,309018624,774144
6,2021-12-23,18:00:40,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177807360,1577275392,170254336,230559744,19976192,309018624,774144
7,2021-12-23,18:00:40,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177807360,1577275392,170254336,230559744,19984384,309010432,774144
8,2021-12-23,18:00:41,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
9,2021-12-23,18:00:41,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
10,2021-12-23,18:00:42,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
11,2021-12-23,18:00:42,0.5,ROS_VNF_state,1.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
12,2021-12-23,18:00:43,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
13,2021-12-23,18:00:43,0.5,ROS_VNF_state,1.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
14,2021-12-23,18:00:44,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
15,2021-12-23,18:00:44,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
16,2021-12-23,18:00:45,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
17,2021-12-23,18:00:45,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177799168,1577275392,170254336,230559744,19984384,309018624,774144
18,2021-12-23,18:00:46,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
19,2021-12-23,18:00:46,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
20,2021-12-23,18:00:47,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
21,2021-12-23,18:00:47,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
22,2021-12-23,18:00:48,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
23,2021-12-23,18:00:48,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
24,2021-12-23,18:00:49,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
25,2021-12-23,18:00:49,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
26,2021-12-23,18:00:50,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
27,2021-12-23,18:00:50,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
28,2021-12-23,18:00:51,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,19992576,309018624,774144
29,2021-12-23,18:00:51,0.5,ROS_VNF_state,0.0,2084077568,1752907776,15.9,177790976,1577275392,170254336,230559744,20000768,309010432,774144
30,2021-12-23,18:00:52,0.5,ROS_VNF_state,0.0,2084077568,1752928256,15.9,177778688,1577275392,170311680,230563840,20000768,309022720,774144
31,2021-12-23,18:00:52,0.5,ROS_VNF_state,0.0,2084077568,1752928256,15.9,177778688,1577275392,170311680,230563840,20000768,309022720,774144
32,2021-12-23,18:00:53,0.5,ROS_VNF_state,0.0,2084077568,1752928256,15.9,177778688,1577275392,170311680,230563840,20000768,309022720,774144
