iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-27,02:28:26,0.5,ROS_VNF_motionplanning,11.7,2084077568,1587957760,23.8,333336576,1234051072,445104128,267251712,31051776,485638144,921600
1,2022-01-27,02:28:26,0.5,ROS_VNF_motionplanning,10.6,2084077568,1587957760,23.8,333336576,1234051072,445104128,267251712,31051776,485638144,921600
2,2022-01-27,02:28:27,0.5,ROS_VNF_motionplanning,12.1,2084077568,1588064256,23.8,333238272,1234149376,445136896,267259904,31051776,485638144,921600
3,2022-01-27,02:28:27,0.5,ROS_VNF_motionplanning,5.7,2084077568,1588129792,23.8,333172736,1234214912,445136896,267259904,31051776,485638144,921600
4,2022-01-27,02:28:28,0.5,ROS_VNF_motionplanning,6.7,2084077568,1588129792,23.8,333172736,1234214912,445136896,267259904,31051776,485638144,921600
5,2022-01-27,02:28:28,0.5,ROS_VNF_motionplanning,10.2,2084077568,1587965952,23.8,333336576,1234051072,445136896,267259904,31064064,485625856,921600
6,2022-01-27,02:28:29,0.5,ROS_VNF_motionplanning,10.0,2084077568,1593036800,23.6,328265728,1239109632,439353344,267259904,31064064,485638144,921600
7,2022-01-27,02:28:29,0.5,ROS_VNF_motionplanning,10.3,2084077568,1593102336,23.6,328200192,1239175168,439353344,267259904,31064064,485638144,921600
8,2022-01-27,02:28:30,0.5,ROS_VNF_motionplanning,3.5,2084077568,1593135104,23.6,328167424,1239207936,439353344,267259904,31064064,485638144,921600
9,2022-01-27,02:28:30,0.5,ROS_VNF_motionplanning,7.7,2084077568,1593102336,23.6,328200192,1239175168,439353344,267259904,31064064,485638144,921600
10,2022-01-27,02:28:31,0.5,ROS_VNF_motionplanning,11.2,2084077568,1593036800,23.6,328265728,1239109632,439353344,267259904,31064064,485638144,921600
11,2022-01-27,02:28:31,0.5,ROS_VNF_motionplanning,7.0,2084077568,1592938496,23.6,328364032,1239011328,439353344,267259904,31064064,485638144,921600
