iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-28,00:47:04,0.5,ROS_VNF_motionplanning,44.9,2084077568,877940736,57.9,1024622592,429543424,1094705152,319340544,40009728,589901824,1622016
1,2022-01-28,00:47:04,0.5,ROS_VNF_motionplanning,20.0,2084077568,878006272,57.9,1024557056,429608960,1094705152,319340544,40009728,589901824,1622016
2,2022-01-28,00:47:05,0.5,ROS_VNF_motionplanning,20.3,2084077568,878137344,57.9,1024425984,429740032,1094705152,319340544,40009728,589901824,1622016
3,2022-01-28,00:47:05,0.5,ROS_VNF_motionplanning,21.3,2084077568,878039040,57.9,1024524288,429641728,1094705152,319340544,40009728,589901824,1622016
4,2022-01-28,00:47:06,0.5,ROS_VNF_motionplanning,19.7,2084077568,877883392,57.9,1024671744,429481984,1094705152,319340544,40017920,589905920,1622016
5,2022-01-28,00:47:06,0.5,ROS_VNF_motionplanning,18.7,2084077568,877785088,57.9,1024770048,429383680,1094705152,319340544,40017920,589905920,1622016
6,2022-01-28,00:47:07,0.5,ROS_VNF_motionplanning,13.5,2084077568,877883392,57.9,1024671744,429481984,1094705152,319340544,40017920,589905920,1622016
7,2022-01-28,00:47:07,0.5,ROS_VNF_motionplanning,30.0,2084077568,883400704,57.6,1019162624,434991104,1088765952,319340544,40017920,589905920,1622016
8,2022-01-28,00:47:08,0.5,ROS_VNF_motionplanning,13.7,2084077568,883269632,57.6,1019293696,434860032,1088765952,319340544,40017920,589905920,1622016
9,2022-01-28,00:47:08,0.5,ROS_VNF_motionplanning,35.4,2084077568,883302400,57.6,1019260928,434892800,1088843776,319340544,40017920,589905920,1622016
10,2022-01-28,00:47:09,0.5,ROS_VNF_motionplanning,17.8,2084077568,883302400,57.6,1019260928,434892800,1088843776,319340544,40017920,589905920,1622016
11,2022-01-28,00:47:09,0.5,ROS_VNF_motionplanning,29.5,2084077568,883269632,57.6,1019293696,434860032,1088843776,319340544,40017920,589905920,1622016
12,2022-01-28,00:47:10,0.5,ROS_VNF_motionplanning,24.1,2084077568,883367936,57.6,1019195392,434958336,1088843776,319340544,40017920,589905920,1622016
13,2022-01-28,00:47:10,0.5,ROS_VNF_motionplanning,21.8,2084077568,883302400,57.6,1019260928,434892800,1088897024,319340544,40017920,589905920,1622016
14,2022-01-28,00:47:11,0.5,ROS_VNF_motionplanning,23.7,2084077568,883335168,57.6,1019228160,434925568,1088897024,319340544,40017920,589905920,1622016
15,2022-01-28,00:47:11,0.5,ROS_VNF_motionplanning,34.5,2084077568,883335168,57.6,1019219968,434925568,1088897024,319340544,40026112,589905920,1622016
16,2022-01-28,00:47:12,0.5,ROS_VNF_motionplanning,22.0,2084077568,883212288,57.6,1019351040,434794496,1088913408,319340544,40026112,589905920,1622016
17,2022-01-28,00:47:12,0.5,ROS_VNF_motionplanning,34.9,2084077568,883376128,57.6,1019187200,434958336,1088913408,319340544,40026112,589905920,1622016
18,2022-01-28,00:47:13,0.5,ROS_VNF_motionplanning,21.5,2084077568,883343360,57.6,1019219968,434925568,1088913408,319340544,40026112,589905920,1622016
19,2022-01-28,00:47:13,0.5,ROS_VNF_motionplanning,21.1,2084077568,883310592,57.6,1019252736,434892800,1088913408,319340544,40026112,589905920,1622016
20,2022-01-28,00:47:14,0.5,ROS_VNF_motionplanning,48.8,2084077568,883277824,57.6,1019285504,434860032,1088913408,319340544,40026112,589905920,1622016
21,2022-01-28,00:47:14,0.5,ROS_VNF_motionplanning,22.4,2084077568,883277824,57.6,1019285504,434860032,1088917504,319340544,40026112,589905920,1622016
22,2022-01-28,00:47:15,0.5,ROS_VNF_motionplanning,15.7,2084077568,883376128,57.6,1019187200,434958336,1088917504,319340544,40026112,589905920,1622016
23,2022-01-28,00:47:15,0.5,ROS_VNF_motionplanning,18.9,2084077568,883376128,57.6,1019187200,434958336,1088917504,319340544,40026112,589905920,1622016
24,2022-01-28,00:47:16,0.5,ROS_VNF_motionplanning,19.5,2084077568,883441664,57.6,1019121664,435023872,1088917504,319340544,40026112,589905920,1622016
25,2022-01-28,00:47:16,0.5,ROS_VNF_motionplanning,16.4,2084077568,883441664,57.6,1019121664,435023872,1088917504,319340544,40026112,589905920,1622016
26,2022-01-28,00:47:17,0.5,ROS_VNF_motionplanning,20.0,2084077568,883417088,57.6,1019146240,434991104,1088925696,319340544,40034304,589905920,1622016
27,2022-01-28,00:47:17,0.5,ROS_VNF_motionplanning,18.7,2084077568,882798592,57.6,1019760640,434368512,1089351680,319344640,40034304,589914112,1622016
28,2022-01-28,00:47:18,0.5,ROS_VNF_motionplanning,16.2,2084077568,882733056,57.6,1019826176,434302976,1089351680,319344640,40034304,589914112,1622016
29,2022-01-28,00:47:18,0.5,ROS_VNF_motionplanning,16.2,2084077568,882700288,57.6,1019858944,434270208,1089351680,319344640,40034304,589914112,1622016
30,2022-01-28,00:47:19,0.5,ROS_VNF_motionplanning,17.6,2084077568,882733056,57.6,1019826176,434302976,1089351680,319344640,40034304,589914112,1622016
31,2022-01-28,00:47:19,0.5,ROS_VNF_motionplanning,16.4,2084077568,882733056,57.6,1019826176,434302976,1089351680,319344640,40034304,589914112,1622016
