iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-27,19:56:44,0.5,ROS_VNF_motionplanning,1.1,2084077568,1667260416,20.0,256274432,1338015744,360542208,259174400,30216192,459571200,847872
1,2021-12-27,19:56:44,0.5,ROS_VNF_motionplanning,5.2,2084077568,1667227648,20.0,256307200,1337982976,360542208,259174400,30216192,459571200,847872
2,2021-12-27,19:56:45,0.5,ROS_VNF_motionplanning,2.1,2084077568,1667227648,20.0,256307200,1337982976,360542208,259174400,30216192,459571200,847872
3,2021-12-27,19:56:45,0.5,ROS_VNF_motionplanning,2.1,2084077568,1667260416,20.0,256274432,1338015744,360542208,259174400,30216192,459571200,847872
4,2021-12-27,19:56:46,0.5,ROS_VNF_motionplanning,3.2,2084077568,1674969088,19.6,248614912,1345679360,353247232,259223552,30216192,459567104,847872
5,2021-12-27,19:56:46,0.5,ROS_VNF_motionplanning,3.1,2084077568,1674936320,19.6,248647680,1345646592,353247232,259223552,30216192,459567104,847872
6,2021-12-27,19:56:47,0.5,ROS_VNF_motionplanning,1.1,2084077568,1674838016,19.6,248745984,1345548288,353247232,259223552,30216192,459567104,847872
7,2021-12-27,19:56:47,0.5,ROS_VNF_motionplanning,1.1,2084077568,1674870784,19.6,248713216,1345581056,353247232,259223552,30216192,459567104,847872
8,2021-12-27,19:56:48,0.5,ROS_VNF_motionplanning,3.2,2084077568,1674838016,19.6,248733696,1345548288,353247232,259223552,30228480,459567104,847872
9,2021-12-27,19:56:48,0.5,ROS_VNF_motionplanning,2.1,2084077568,1674805248,19.6,248766464,1345515520,353247232,259223552,30228480,459567104,847872
10,2021-12-27,19:56:49,0.5,ROS_VNF_motionplanning,4.2,2084077568,1674903552,19.6,248668160,1345613824,353247232,259223552,30228480,459567104,847872
11,2021-12-27,19:56:49,0.5,ROS_VNF_motionplanning,4.1,2084077568,1674969088,19.6,248602624,1345679360,353247232,259223552,30228480,459567104,847872
12,2021-12-27,19:56:50,0.5,ROS_VNF_motionplanning,5.2,2084077568,1674969088,19.6,248602624,1345679360,353247232,259223552,30228480,459567104,847872
13,2021-12-27,19:56:50,0.5,ROS_VNF_motionplanning,2.1,2084077568,1675001856,19.6,248569856,1345712128,353247232,259223552,30228480,459567104,847872
14,2021-12-27,19:56:51,0.5,ROS_VNF_motionplanning,4.2,2084077568,1675001856,19.6,248569856,1345712128,353247232,259223552,30228480,459567104,847872
15,2021-12-27,19:56:51,0.5,ROS_VNF_motionplanning,0.0,2084077568,1674903552,19.6,248668160,1345613824,353247232,259223552,30228480,459567104,847872
16,2021-12-27,19:56:52,0.5,ROS_VNF_motionplanning,2.1,2084077568,1674903552,19.6,248668160,1345613824,353247232,259223552,30228480,459567104,847872
17,2021-12-27,19:56:52,0.5,ROS_VNF_motionplanning,1.1,2084077568,1674870784,19.6,248700928,1345581056,353247232,259223552,30228480,459567104,847872
18,2021-12-27,19:56:53,0.5,ROS_VNF_motionplanning,2.1,2084077568,1674870784,19.6,248700928,1345581056,353247232,259223552,30228480,459567104,847872
19,2021-12-27,19:56:53,0.5,ROS_VNF_motionplanning,3.2,2084077568,1674903552,19.6,248659968,1345613824,353247232,259223552,30236672,459567104,847872
20,2021-12-27,19:56:54,0.5,ROS_VNF_motionplanning,3.2,2084077568,1674969088,19.6,248594432,1345679360,353247232,259223552,30236672,459567104,847872
21,2021-12-27,19:56:54,0.5,ROS_VNF_motionplanning,1.1,2084077568,1675001856,19.6,248561664,1345712128,353247232,259223552,30236672,459567104,847872
22,2021-12-27,19:56:55,0.5,ROS_VNF_motionplanning,3.2,2084077568,1675001856,19.6,248561664,1345712128,353247232,259223552,30236672,459567104,847872
23,2021-12-27,19:56:55,0.5,ROS_VNF_motionplanning,0.0,2084077568,1675034624,19.6,248528896,1345744896,353247232,259223552,30236672,459567104,847872
24,2021-12-27,19:56:56,0.5,ROS_VNF_motionplanning,2.1,2084077568,1674936320,19.6,248627200,1345646592,353247232,259223552,30236672,459567104,847872
25,2021-12-27,19:56:56,0.5,ROS_VNF_motionplanning,2.1,2084077568,1674903552,19.6,248659968,1345613824,353247232,259223552,30236672,459567104,847872
26,2021-12-27,19:56:57,0.5,ROS_VNF_motionplanning,2.1,2084077568,1674903552,19.6,248659968,1345613824,353247232,259223552,30236672,459567104,847872
27,2021-12-27,19:56:57,0.5,ROS_VNF_motionplanning,6.1,2084077568,1674903552,19.6,248655872,1345613824,353247232,259223552,30236672,459571200,847872
28,2021-12-27,19:56:58,0.5,ROS_VNF_motionplanning,3.1,2084077568,1674936320,19.6,248623104,1345646592,353247232,259223552,30236672,459571200,847872
29,2021-12-27,19:56:58,0.5,ROS_VNF_motionplanning,3.1,2084077568,1674870784,19.6,248688640,1345581056,353247232,259223552,30236672,459571200,847872
30,2021-12-27,19:56:59,0.5,ROS_VNF_motionplanning,3.2,2084077568,1674870784,19.6,248688640,1345581056,353247232,259223552,30244864,459563008,847872
31,2021-12-27,19:56:59,0.5,ROS_VNF_motionplanning,1.1,2084077568,1674903552,19.6,248647680,1345613824,353247232,259223552,30244864,459571200,847872
32,2021-12-27,19:57:00,0.5,ROS_VNF_motionplanning,3.1,2084077568,1674936320,19.6,248614912,1345646592,353247232,259223552,30244864,459571200,847872
