iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-09,08:07:08,0.5,ROS_VNF_motionplanning,17.6,2084077568,1105813504,46.9,798887936,720347136,863825920,260177920,35201024,529641472,1773568
1,2022-02-09,08:07:08,0.5,ROS_VNF_motionplanning,12.0,2084077568,1105944576,46.9,798765056,720445440,863879168,260210688,35201024,529666048,1773568
2,2022-02-09,08:07:09,0.5,ROS_VNF_motionplanning,16.7,2084077568,1105977344,46.9,798732288,720478208,863907840,260210688,35201024,529666048,1773568
3,2022-02-09,08:07:09,0.5,ROS_VNF_motionplanning,12.9,2084077568,1106108416,46.9,798601216,720609280,863907840,260210688,35201024,529666048,1773568
4,2022-02-09,08:07:10,0.5,ROS_VNF_motionplanning,11.9,2084077568,1105911808,46.9,798797824,720412672,863907840,260210688,35201024,529666048,1773568
5,2022-02-09,08:07:10,0.5,ROS_VNF_motionplanning,12.0,2084077568,1112252416,46.6,792465408,726745088,856989696,260218880,35201024,529666048,1773568
6,2022-02-09,08:07:11,0.5,ROS_VNF_motionplanning,12.8,2084077568,1112285184,46.6,792432640,726777856,856989696,260218880,35201024,529666048,1773568
7,2022-02-09,08:07:11,0.5,ROS_VNF_motionplanning,25.3,2084077568,1112285184,46.6,792432640,726777856,856989696,260218880,35201024,529666048,1773568
8,2022-02-09,08:07:12,0.5,ROS_VNF_motionplanning,21.8,2084077568,1112186880,46.6,792530944,726679552,856989696,260218880,35213312,529653760,1773568
9,2022-02-09,08:07:12,0.5,ROS_VNF_motionplanning,29.1,2084077568,1112252416,46.6,792453120,726745088,856989696,260218880,35213312,529666048,1773568
10,2022-02-09,08:07:13,0.5,ROS_VNF_motionplanning,11.8,2084077568,1112219648,46.6,792485888,726712320,856989696,260218880,35213312,529666048,1773568
11,2022-02-09,08:07:13,0.5,ROS_VNF_motionplanning,9.8,2084077568,1112219648,46.6,792485888,726712320,856989696,260218880,35213312,529666048,1773568
12,2022-02-09,08:07:14,0.5,ROS_VNF_motionplanning,11.9,2084077568,1112285184,46.6,792420352,726777856,856989696,260218880,35213312,529666048,1773568
13,2022-02-09,08:07:14,0.5,ROS_VNF_motionplanning,12.8,2084077568,1112231936,46.6,792485888,726712320,857001984,260218880,35213312,529666048,1773568
14,2022-02-09,08:07:15,0.5,ROS_VNF_motionplanning,12.9,2084077568,1112297472,46.6,792420352,726777856,857001984,260218880,35213312,529666048,1773568
15,2022-02-09,08:07:15,0.5,ROS_VNF_motionplanning,11.9,2084077568,1112297472,46.6,792420352,726777856,857001984,260218880,35213312,529666048,1773568
16,2022-02-09,08:07:16,0.5,ROS_VNF_motionplanning,9.8,2084077568,1112297472,46.6,792420352,726777856,857001984,260218880,35213312,529666048,1773568
17,2022-02-09,08:07:16,0.5,ROS_VNF_motionplanning,22.9,2084077568,1112297472,46.6,792420352,726777856,857001984,260218880,35213312,529666048,1773568
18,2022-02-09,08:07:17,0.5,ROS_VNF_motionplanning,17.1,2084077568,1112461312,46.6,792256512,726941696,857001984,260218880,35213312,529666048,1773568
19,2022-02-09,08:07:17,0.5,ROS_VNF_motionplanning,23.5,2084077568,1112264704,46.6,792444928,726745088,857001984,260218880,35221504,529666048,1773568
