iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 02:32:18 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.78%
2 2022-01-03 02:32:20 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.74%
3 2022-01-03 02:32:22 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.87%
4 2022-01-03 02:32:24 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 10.22%
5 2022-01-03 02:32:26 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.24%
6 2022-01-03 02:32:29 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.90%
7 2022-01-03 02:32:31 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.78%
8 2022-01-03 02:32:33 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.19%
9 2022-01-03 02:32:35 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.20%
10 2022-01-03 02:32:37 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 10.00%
11 2022-01-03 02:32:39 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.62%
12 2022-01-03 02:32:41 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.47%
13 2022-01-03 02:32:43 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.03%
14 2022-01-03 02:32:45 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.21%
15 2022-01-03 02:32:47 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.21%
16 2022-01-03 02:32:49 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.59%
17 2022-01-03 02:32:51 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.92%
18 2022-01-03 02:32:53 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.12%
19 2022-01-03 02:32:55 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 7.94%
20 2022-01-03 02:32:57 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.92%
21 2022-01-03 02:32:59 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.32%
22 2022-01-03 02:33:01 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.80%
23 2022-01-03 02:33:03 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.44%
24 2022-01-03 02:33:05 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.39%
25 2022-01-03 02:33:07 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.34%
26 2022-01-03 02:33:09 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 9.07%
27 2022-01-03 02:33:11 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.82%
28 2022-01-03 02:33:13 ROS_VNF_command 8409280e6b67 commander_robot_1 166.8MiB / 1.941GiB 8.39% 8.40%
