iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 01:39:29 ROS_VNF_command f7001353cf8c commander_robot_1 167.8MiB / 1.941GiB 8.44% 9.87%
2 2022-01-03 01:39:31 ROS_VNF_command f7001353cf8c commander_robot_1 167.8MiB / 1.941GiB 8.44% 9.79%
3 2022-01-03 01:39:33 ROS_VNF_command f7001353cf8c commander_robot_1 167.8MiB / 1.941GiB 8.45% 11.99%
4 2022-01-03 01:39:35 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 13.50%
5 2022-01-03 01:39:37 ROS_VNF_command f7001353cf8c commander_robot_1 168MiB / 1.941GiB 8.45% 11.48%
6 2022-01-03 01:39:39 ROS_VNF_command f7001353cf8c commander_robot_1 168MiB / 1.941GiB 8.45% 11.77%
7 2022-01-03 01:39:41 ROS_VNF_command f7001353cf8c commander_robot_1 168MiB / 1.941GiB 8.45% 10.02%
8 2022-01-03 01:39:43 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 11.97%
9 2022-01-03 01:39:46 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 12.19%
10 2022-01-03 01:39:48 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 9.94%
11 2022-01-03 01:39:50 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 10.07%
12 2022-01-03 01:39:52 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 11.23%
13 2022-01-03 01:39:54 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 12.00%
14 2022-01-03 01:39:56 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 12.30%
15 2022-01-03 01:39:58 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 13.41%
16 2022-01-03 01:40:00 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 13.79%
17 2022-01-03 01:40:02 ROS_VNF_command f7001353cf8c commander_robot_1 168.1MiB / 1.941GiB 8.46% 10.61%
18 2022-01-03 01:40:04 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 12.32%
19 2022-01-03 01:40:06 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 9.67%
20 2022-01-03 01:40:08 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 9.61%
21 2022-01-03 01:40:10 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 9.34%
22 2022-01-03 01:40:12 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 10.15%
23 2022-01-03 01:40:14 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 10.94%
24 2022-01-03 01:40:16 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 11.50%
25 2022-01-03 01:40:18 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 13.01%
26 2022-01-03 01:40:20 ROS_VNF_command f7001353cf8c commander_robot_1 168.2MiB / 1.941GiB 8.46% 10.28%
27 2022-01-03 01:40:22 ROS_VNF_command f7001353cf8c commander_robot_1 168.3MiB / 1.941GiB 8.47% 10.05%
28 2022-01-03 01:40:24 ROS_VNF_command f7001353cf8c commander_robot_1 168.3MiB / 1.941GiB 8.47% 11.20%
