iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 03:05:39 ROS_VNF_command 8409280e6b67 commander_robot_1 167.8MiB / 1.941GiB 8.44% 11.83%
2 2022-01-03 03:05:41 ROS_VNF_command 8409280e6b67 commander_robot_1 167.8MiB / 1.941GiB 8.44% 14.43%
3 2022-01-03 03:05:43 ROS_VNF_command 8409280e6b67 commander_robot_1 167.8MiB / 1.941GiB 8.44% 11.34%
4 2022-01-03 03:05:45 ROS_VNF_command 8409280e6b67 commander_robot_1 167.9MiB / 1.941GiB 8.45% 12.25%
5 2022-01-03 03:05:47 ROS_VNF_command 8409280e6b67 commander_robot_1 167.7MiB / 1.941GiB 8.44% 9.75%
6 2022-01-03 03:05:49 ROS_VNF_command 8409280e6b67 commander_robot_1 167.8MiB / 1.941GiB 8.44% 9.48%
7 2022-01-03 03:05:51 ROS_VNF_command 8409280e6b67 commander_robot_1 168MiB / 1.941GiB 8.45% 9.65%
8 2022-01-03 03:05:53 ROS_VNF_command 8409280e6b67 commander_robot_1 167.9MiB / 1.941GiB 8.45% 9.55%
9 2022-01-03 03:05:55 ROS_VNF_command 8409280e6b67 commander_robot_1 168MiB / 1.941GiB 8.45% 12.65%
10 2022-01-03 03:05:57 ROS_VNF_command 8409280e6b67 commander_robot_1 168MiB / 1.941GiB 8.45% 11.20%
11 2022-01-03 03:05:59 ROS_VNF_command 8409280e6b67 commander_robot_1 167.9MiB / 1.941GiB 8.45% 9.97%
12 2022-01-03 03:06:01 ROS_VNF_command 8409280e6b67 commander_robot_1 167.9MiB / 1.941GiB 8.45% 9.89%
13 2022-01-03 03:06:03 ROS_VNF_command 8409280e6b67 commander_robot_1 167.9MiB / 1.941GiB 8.45% 9.94%
14 2022-01-03 03:06:05 ROS_VNF_command 8409280e6b67 commander_robot_1 168MiB / 1.941GiB 8.45% 13.49%
15 2022-01-03 03:06:07 ROS_VNF_command 8409280e6b67 commander_robot_1 167.9MiB / 1.941GiB 8.45% 10.29%
16 2022-01-03 03:06:09 ROS_VNF_command 8409280e6b67 commander_robot_1 168.1MiB / 1.941GiB 8.46% 10.27%
17 2022-01-03 03:06:11 ROS_VNF_command 8409280e6b67 commander_robot_1 168.1MiB / 1.941GiB 8.46% 12.75%
18 2022-01-03 03:06:13 ROS_VNF_command 8409280e6b67 commander_robot_1 168MiB / 1.941GiB 8.45% 12.06%
19 2022-01-03 03:06:15 ROS_VNF_command 8409280e6b67 commander_robot_1 168MiB / 1.941GiB 8.45% 10.40%
20 2022-01-03 03:06:17 ROS_VNF_command 8409280e6b67 commander_robot_1 168MiB / 1.941GiB 8.45% 10.05%
21 2022-01-03 03:06:19 ROS_VNF_command 8409280e6b67 commander_robot_1 168.2MiB / 1.941GiB 8.46% 8.65%
22 2022-01-03 03:06:21 ROS_VNF_command 8409280e6b67 commander_robot_1 168.1MiB / 1.941GiB 8.46% 11.34%
23 2022-01-03 03:06:23 ROS_VNF_command 8409280e6b67 commander_robot_1 168.1MiB / 1.941GiB 8.46% 12.05%
