iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 00:46:21 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 9.69%
2 2022-01-03 00:46:23 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 9.80%
3 2022-01-03 00:46:25 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.73%
4 2022-01-03 00:46:27 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 11.02%
5 2022-01-03 00:46:29 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 9.23%
6 2022-01-03 00:46:31 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.78%
7 2022-01-03 00:46:33 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.94%
8 2022-01-03 00:46:35 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.46%
9 2022-01-03 00:46:37 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.87%
10 2022-01-03 00:46:39 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.71%
11 2022-01-03 00:46:41 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 9.61%
12 2022-01-03 00:46:43 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.79%
13 2022-01-03 00:46:45 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 9.11%
14 2022-01-03 00:46:47 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 10.08%
15 2022-01-03 00:46:49 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.78%
16 2022-01-03 00:46:51 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 9.09%
17 2022-01-03 00:46:53 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 9.85%
18 2022-01-03 00:46:55 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 10.03%
19 2022-01-03 00:46:57 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 10.23%
20 2022-01-03 00:46:59 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.93%
21 2022-01-03 00:47:01 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 9.26%
22 2022-01-03 00:47:03 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 10.26%
23 2022-01-03 00:47:05 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 9.75%
24 2022-01-03 00:47:07 ROS_VNF_command ed709ea4d4a9 commander_robot_1 166.9MiB / 1.941GiB 8.40% 8.75%
