iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-27,19:27:43,0.5,ROS_VNF_command,14.1,2084077568,360755200,82.7,1546248192,109457408,991936512,746004480,25886720,402485248,1601536
1,2022-01-27,19:27:43,0.5,ROS_VNF_command,15.1,2084077568,360886272,82.7,1546117120,109588480,991965184,746004480,25886720,402485248,1601536
2,2022-01-27,19:27:44,0.5,ROS_VNF_command,14.1,2084077568,360886272,82.7,1546117120,109588480,991965184,746004480,25886720,402485248,1601536
3,2022-01-27,19:27:44,0.5,ROS_VNF_command,18.0,2084077568,360886272,82.7,1546117120,109588480,991965184,746004480,25886720,402485248,1601536
4,2022-01-27,19:27:45,0.5,ROS_VNF_command,30.3,2084077568,369606656,82.3,1537441792,118267904,986337280,742334464,25886720,402481152,1601536
5,2022-01-27,19:27:45,0.5,ROS_VNF_command,13.1,2084077568,369639424,82.3,1537409024,118300672,986337280,742334464,25886720,402481152,1601536
6,2022-01-27,19:27:46,0.5,ROS_VNF_command,16.3,2084077568,369442816,82.3,1537605632,118104064,986337280,742334464,25886720,402481152,1601536
7,2022-01-27,19:27:46,0.5,ROS_VNF_command,32.6,2084077568,369475584,82.3,1537572864,118136832,986337280,742334464,25886720,402481152,1601536
8,2022-01-27,19:27:47,0.5,ROS_VNF_command,25.9,2084077568,369508352,82.3,1537540096,118169600,986337280,742334464,25899008,402468864,1601536
9,2022-01-27,19:27:47,0.5,ROS_VNF_command,16.9,2084077568,369520640,82.3,1537527808,118169600,986357760,742326272,25899008,402481152,1601536
10,2022-01-27,19:27:48,0.5,ROS_VNF_command,29.5,2084077568,369487872,82.3,1537560576,118136832,986357760,742326272,25899008,402481152,1601536
11,2022-01-27,19:27:48,0.5,ROS_VNF_command,17.2,2084077568,369487872,82.3,1537560576,118136832,986357760,742326272,25899008,402481152,1601536
12,2022-01-27,19:27:49,0.5,ROS_VNF_command,17.8,2084077568,369586176,82.3,1537462272,118235136,986357760,742326272,25899008,402481152,1601536
