iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-23,18:00:37,0.5,ROS_VNF_control,0.0,2084077568,1715212288,17.7,215048192,1347391488,259125248,349442048,48168960,473468928,1081344
1,2021-12-23,18:00:37,0.5,ROS_VNF_control,0.0,2084077568,1715212288,17.7,215048192,1347391488,259125248,349442048,48168960,473468928,1081344
2,2021-12-23,18:00:38,0.5,ROS_VNF_control,0.0,2084077568,1715212288,17.7,215048192,1347391488,259125248,349442048,48168960,473468928,1081344
3,2021-12-23,18:00:38,0.5,ROS_VNF_control,0.0,2084077568,1715212288,17.7,215048192,1347391488,259125248,349442048,48168960,473468928,1081344
4,2021-12-23,18:00:39,0.5,ROS_VNF_control,0.0,2084077568,1715212288,17.7,215048192,1347391488,259125248,349442048,48168960,473468928,1081344
5,2021-12-23,18:00:39,0.5,ROS_VNF_control,1.0,2084077568,1715212288,17.7,215048192,1347391488,259125248,349442048,48168960,473468928,1081344
6,2021-12-23,18:00:40,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215547904,1346891776,258035712,349450240,48168960,473468928,1081344
7,2021-12-23,18:00:40,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
8,2021-12-23,18:00:41,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
9,2021-12-23,18:00:41,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
10,2021-12-23,18:00:42,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
11,2021-12-23,18:00:42,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
12,2021-12-23,18:00:43,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
13,2021-12-23,18:00:43,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
14,2021-12-23,18:00:44,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
15,2021-12-23,18:00:44,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
16,2021-12-23,18:00:45,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
17,2021-12-23,18:00:45,0.5,ROS_VNF_control,1.0,2084077568,1714720768,17.7,215539712,1346891776,258035712,349450240,48177152,473468928,1081344
18,2021-12-23,18:00:46,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
19,2021-12-23,18:00:46,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
20,2021-12-23,18:00:47,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
21,2021-12-23,18:00:47,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
22,2021-12-23,18:00:48,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
23,2021-12-23,18:00:48,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
24,2021-12-23,18:00:49,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
25,2021-12-23,18:00:49,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
26,2021-12-23,18:00:50,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
27,2021-12-23,18:00:50,0.5,ROS_VNF_control,3.0,2084077568,1714720768,17.7,215531520,1346891776,258035712,349450240,48185344,473468928,1081344
28,2021-12-23,18:00:51,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215519232,1346891776,258035712,349450240,48193536,473473024,1081344
29,2021-12-23,18:00:51,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215519232,1346891776,258035712,349450240,48193536,473473024,1081344
30,2021-12-23,18:00:52,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215519232,1346891776,258035712,349450240,48193536,473473024,1081344
31,2021-12-23,18:00:52,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215519232,1346891776,258035712,349450240,48193536,473473024,1081344
32,2021-12-23,18:00:53,0.5,ROS_VNF_control,0.0,2084077568,1714720768,17.7,215519232,1346891776,258035712,349450240,48193536,473473024,1081344
