iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-15,13:06:29,0.5,ROS_VNF_command,23.2,2084077568,318746624,84.7,1579794432,113983488,966848512,746557440,11890688,378408960,1622016
1,2022-02-15,13:06:29,0.5,ROS_VNF_command,24.4,2084077568,318763008,84.7,1579778048,113999872,966852608,746557440,11890688,378408960,1622016
2,2022-02-15,13:06:30,0.5,ROS_VNF_command,23.8,2084077568,318586880,84.7,1579970560,113807360,966955008,746561536,11890688,378408960,1622016
3,2022-02-15,13:06:30,0.5,ROS_VNF_command,33.0,2084077568,318558208,84.7,1579999232,113774592,966971392,746565632,11890688,378413056,1622016
4,2022-02-15,13:06:31,0.5,ROS_VNF_command,25.3,2084077568,318300160,84.7,1580257280,113516544,966971392,746565632,11890688,378413056,1622016
5,2022-02-15,13:06:31,0.5,ROS_VNF_command,25.0,2084077568,318234624,84.7,1580322816,113451008,967032832,746565632,11890688,378413056,1622016
6,2022-02-15,13:06:32,0.5,ROS_VNF_command,26.5,2084077568,317992960,84.7,1580564480,113209344,965967872,746479616,11890688,378413056,1622016
7,2022-02-15,13:06:32,0.5,ROS_VNF_command,28.7,2084077568,317992960,84.7,1580560384,113209344,965963776,746479616,11890688,378417152,1622016
8,2022-02-15,13:06:33,0.5,ROS_VNF_command,28.7,2084077568,317992960,84.7,1580560384,113209344,966049792,746479616,11890688,378417152,1622016
9,2022-02-15,13:06:33,0.5,ROS_VNF_command,24.7,2084077568,318132224,84.7,1580425216,113340416,966033408,746487808,11890688,378421248,1622016
10,2022-02-15,13:06:34,0.5,ROS_VNF_command,28.2,2084077568,318173184,84.7,1580384256,113373184,966041600,746487808,11898880,378421248,1622016
11,2022-02-15,13:06:34,0.5,ROS_VNF_command,27.2,2084077568,318238720,84.7,1580318720,113438720,966053888,746487808,11898880,378421248,1622016
12,2022-02-15,13:06:35,0.5,ROS_VNF_command,26.2,2084077568,318205952,84.7,1580351488,113405952,966057984,746487808,11898880,378421248,1622016
13,2022-02-15,13:06:35,0.5,ROS_VNF_command,24.7,2084077568,318177280,84.7,1580380160,113373184,966070272,746491904,11898880,378425344,1622016
14,2022-02-15,13:06:36,0.5,ROS_VNF_command,19.5,2084077568,318210048,84.7,1580347392,113405952,966074368,746491904,11898880,378425344,1622016
15,2022-02-15,13:06:36,0.5,ROS_VNF_command,28.6,2084077568,318148608,84.7,1580408832,113340416,966098944,746496000,11898880,378429440,1622016
16,2022-02-15,13:06:37,0.5,ROS_VNF_command,37.5,2084077568,318287872,84.7,1580265472,113471488,966172672,746504192,11898880,378441728,1622016
17,2022-02-15,13:06:37,0.5,ROS_VNF_command,25.6,2084077568,318390272,84.7,1580167168,113569792,966172672,746508288,11898880,378441728,1622016
18,2022-02-15,13:06:38,0.5,ROS_VNF_command,24.7,2084077568,318291968,84.7,1580265472,113471488,966258688,746508288,11898880,378441728,1622016
19,2022-02-15,13:06:38,0.5,ROS_VNF_command,22.0,2084077568,318128128,84.7,1580429312,113307648,966234112,746508288,11898880,378441728,1622016
20,2022-02-15,13:06:39,0.5,ROS_VNF_command,29.1,2084077568,318029824,84.7,1580519424,113209344,966275072,746508288,11907072,378441728,1622016
21,2022-02-15,13:06:39,0.5,ROS_VNF_command,25.0,2084077568,318398464,84.7,1580158976,113565696,966217728,746512384,11907072,378445824,1622016
22,2022-02-15,13:06:40,0.5,ROS_VNF_command,21.7,2084077568,318332928,84.7,1580224512,113500160,966053888,746512384,11907072,378445824,1622016
23,2022-02-15,13:06:40,0.5,ROS_VNF_command,28.4,2084077568,318398464,84.7,1580158976,113565696,966053888,746512384,11907072,378445824,1622016
24,2022-02-15,13:06:41,0.5,ROS_VNF_command,27.6,2084077568,318398464,84.7,1580158976,113565696,966053888,746512384,11907072,378445824,1622016
25,2022-02-15,13:06:41,0.5,ROS_VNF_command,21.8,2084077568,318369792,84.7,1580187648,113532928,966111232,746516480,11907072,378449920,1622016
26,2022-02-15,13:06:42,0.5,ROS_VNF_command,21.2,2084077568,318468096,84.7,1580089344,113631232,966111232,746516480,11907072,378449920,1622016
27,2022-02-15,13:06:42,0.5,ROS_VNF_command,22.9,2084077568,318500864,84.7,1580056576,113664000,966184960,746516480,11907072,378449920,1622016
28,2022-02-15,13:06:43,0.5,ROS_VNF_command,21.4,2084077568,318341120,84.7,1580216320,113500160,966189056,746520576,11907072,378454016,1622016
29,2022-02-15,13:06:43,0.5,ROS_VNF_command,19.0,2084077568,318410752,84.7,1580146688,113565696,966246400,746524672,11907072,378458112,1622016
30,2022-02-15,13:06:44,0.5,ROS_VNF_command,19.8,2084077568,318410752,84.7,1580146688,113565696,966246400,746524672,11907072,378458112,1622016
31,2022-02-15,13:06:44,0.5,ROS_VNF_command,32.6,2084077568,318423040,84.7,1580134400,113565696,966266880,746528768,11915264,378462208,1622016
