iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,22:40:31,0.5,ROS_VNF_command,8.3,2084077568,1416118272,32.1,502800384,863420416,678502400,365969408,64229376,653627392,1224704
1,2022-01-01,22:40:31,0.5,ROS_VNF_command,7.5,2084077568,1416052736,32.1,502865920,863354880,678563840,365969408,64229376,653627392,1224704
2,2022-01-01,22:40:32,0.5,ROS_VNF_command,6.5,2084077568,1416052736,32.1,502865920,863354880,678563840,365969408,64229376,653627392,1224704
3,2022-01-01,22:40:32,0.5,ROS_VNF_command,6.6,2084077568,1415958528,32.1,502960128,863256576,678596608,365973504,64229376,653631488,1224704
4,2022-01-01,22:40:33,0.5,ROS_VNF_command,6.5,2084077568,1416024064,32.1,502894592,863322112,678596608,365973504,64229376,653631488,1224704
5,2022-01-01,22:40:33,0.5,ROS_VNF_command,7.4,2084077568,1416056832,32.1,502861824,863354880,678596608,365973504,64229376,653631488,1224704
6,2022-01-01,22:40:34,0.5,ROS_VNF_command,9.8,2084077568,1415958528,32.1,502960128,863256576,678596608,365973504,64229376,653631488,1224704
7,2022-01-01,22:40:34,0.5,ROS_VNF_command,9.7,2084077568,1419718656,31.9,499200000,867016704,674791424,365973504,64229376,653631488,1224704
8,2022-01-01,22:40:35,0.5,ROS_VNF_command,7.8,2084077568,1424674816,31.6,494260224,871985152,669753344,365973504,64229376,653602816,1224704
9,2022-01-01,22:40:35,0.5,ROS_VNF_command,7.7,2084077568,1424740352,31.6,494194688,872050688,669753344,365973504,64229376,653602816,1224704
10,2022-01-01,22:40:36,0.5,ROS_VNF_command,12.1,2084077568,1424642048,31.6,494292992,871952384,669753344,365973504,64241664,653590528,1224704
11,2022-01-01,22:40:36,0.5,ROS_VNF_command,9.4,2084077568,1424642048,31.6,494280704,871952384,669814784,365973504,64241664,653602816,1224704
12,2022-01-01,22:40:37,0.5,ROS_VNF_command,11.3,2084077568,1424707584,31.6,494215168,872017920,669814784,365973504,64241664,653602816,1224704
13,2022-01-01,22:40:37,0.5,ROS_VNF_command,12.8,2084077568,1424674816,31.6,494247936,871985152,669814784,365973504,64241664,653602816,1224704
14,2022-01-01,22:40:38,0.5,ROS_VNF_command,11.8,2084077568,1424674816,31.6,494247936,871985152,669814784,365973504,64241664,653602816,1224704
15,2022-01-01,22:40:38,0.5,ROS_VNF_command,4.5,2084077568,1424687104,31.6,494247936,871985152,669835264,365973504,64241664,653602816,1224704
16,2022-01-01,22:40:39,0.5,ROS_VNF_command,12.6,2084077568,1424691200,31.6,494243840,871985152,669900800,365977600,64241664,653606912,1224704
17,2022-01-01,22:40:39,0.5,ROS_VNF_command,8.9,2084077568,1424625664,31.6,494309376,871919616,669900800,365977600,64241664,653606912,1224704
18,2022-01-01,22:40:40,0.5,ROS_VNF_command,10.8,2084077568,1424723968,31.6,494211072,872017920,669986816,365977600,64241664,653606912,1224704
19,2022-01-01,22:40:40,0.5,ROS_VNF_command,7.7,2084077568,1424560128,31.6,494374912,871854080,670048256,365977600,64241664,653606912,1224704
20,2022-01-01,22:40:41,0.5,ROS_VNF_command,11.6,2084077568,1424625664,31.6,494309376,871919616,670048256,365977600,64241664,653606912,1224704
21,2022-01-01,22:40:41,0.5,ROS_VNF_command,11.5,2084077568,1424789504,31.6,494137344,872083456,670048256,365977600,64249856,653606912,1224704
22,2022-01-01,22:40:42,0.5,ROS_VNF_command,4.5,2084077568,1424822272,31.6,494104576,872116224,670048256,365977600,64249856,653606912,1224704
23,2022-01-01,22:40:42,0.5,ROS_VNF_command,8.8,2084077568,1424793600,31.6,494137344,872075264,670187520,365977600,64249856,653615104,1224704
24,2022-01-01,22:40:43,0.5,ROS_VNF_command,13.0,2084077568,1424859136,31.6,494071808,872140800,670203904,365977600,64249856,653615104,1224704
25,2022-01-01,22:40:43,0.5,ROS_VNF_command,8.7,2084077568,1424826368,31.6,494104576,872108032,670203904,365977600,64249856,653615104,1224704
26,2022-01-01,22:40:44,0.5,ROS_VNF_command,7.6,2084077568,1424728064,31.6,494202880,872009728,670203904,365977600,64249856,653615104,1224704
27,2022-01-01,22:40:44,0.5,ROS_VNF_command,10.6,2084077568,1424760832,31.6,494170112,872042496,670203904,365977600,64249856,653615104,1224704
28,2022-01-01,22:40:45,0.5,ROS_VNF_command,7.5,2084077568,1424822272,31.6,494100480,872099840,670203904,365977600,64249856,653627392,1224704
29,2022-01-01,22:40:45,0.5,ROS_VNF_command,8.6,2084077568,1424789504,31.6,494133248,872067072,670203904,365977600,64249856,653627392,1224704
30,2022-01-01,22:40:46,0.5,ROS_VNF_command,12.0,2084077568,1424592896,31.6,494329856,871870464,670203904,365977600,64249856,653627392,1224704
31,2022-01-01,22:40:46,0.5,ROS_VNF_command,8.3,2084077568,1424728064,31.6,494198784,872001536,670261248,365981696,64249856,653627392,1224704
32,2022-01-01,22:40:47,0.5,ROS_VNF_command,10.5,2084077568,1424826368,31.6,494092288,872099840,670261248,365981696,64258048,653627392,1224704
33,2022-01-01,22:40:47,0.5,ROS_VNF_command,6.7,2084077568,1424826368,31.6,494092288,872099840,670261248,365981696,64258048,653627392,1224704
34,2022-01-01,22:40:48,0.5,ROS_VNF_command,17.4,2084077568,1424826368,31.6,494092288,872099840,670261248,365981696,64258048,653627392,1224704
35,2022-01-01,22:40:48,0.5,ROS_VNF_command,5.6,2084077568,1424871424,31.6,494055424,872132608,670269440,365985792,64258048,653631488,1224704
36,2022-01-01,22:40:49,0.5,ROS_VNF_command,8.7,2084077568,1424871424,31.6,494055424,872132608,670269440,365985792,64258048,653631488,1224704
37,2022-01-01,22:40:49,0.5,ROS_VNF_command,11.6,2084077568,1424740352,31.6,494186496,872001536,670269440,365985792,64258048,653631488,1224704
38,2022-01-01,22:40:50,0.5,ROS_VNF_command,9.7,2084077568,1424740352,31.6,494186496,872001536,670269440,365985792,64258048,653631488,1224704
39,2022-01-01,22:40:50,0.5,ROS_VNF_command,6.6,2084077568,1424773120,31.6,494153728,872034304,670302208,365985792,64258048,653631488,1224704
40,2022-01-01,22:40:51,0.5,ROS_VNF_command,7.6,2084077568,1424773120,31.6,494153728,872034304,670302208,365985792,64258048,653631488,1224704
41,2022-01-01,22:40:51,0.5,ROS_VNF_command,7.6,2084077568,1424773120,31.6,494153728,872034304,670302208,365985792,64258048,653631488,1224704
42,2022-01-01,22:40:52,0.5,ROS_VNF_command,7.5,2084077568,1424674816,31.6,494252032,871936000,670318592,365985792,64258048,653631488,1224704
43,2022-01-01,22:40:52,0.5,ROS_VNF_command,10.6,2084077568,1424642048,31.6,494276608,871903232,670367744,365985792,64266240,653631488,1224704
44,2022-01-01,22:40:53,0.5,ROS_VNF_command,10.6,2084077568,1424642048,31.6,494276608,871903232,670367744,365985792,64266240,653631488,1224704
45,2022-01-01,22:40:53,0.5,ROS_VNF_command,8.6,2084077568,1424740352,31.6,494178304,872001536,670367744,365985792,64266240,653631488,1224704
46,2022-01-01,22:40:54,0.5,ROS_VNF_command,7.8,2084077568,1424904192,31.6,494014464,872165376,670367744,365985792,64266240,653631488,1224704
47,2022-01-01,22:40:54,0.5,ROS_VNF_command,6.5,2084077568,1424912384,31.6,494014464,872165376,670425088,365985792,64266240,653631488,1224704
48,2022-01-01,22:40:55,0.5,ROS_VNF_command,6.6,2084077568,1424879616,31.6,494047232,872132608,670425088,365985792,64266240,653631488,1224704
49,2022-01-01,22:40:55,0.5,ROS_VNF_command,6.5,2084077568,1424846848,31.6,494075904,872099840,670425088,365985792,64266240,653635584,1224704
50,2022-01-01,22:40:56,0.5,ROS_VNF_command,9.8,2084077568,1424818176,31.6,494108672,872067072,670425088,365989888,64266240,653635584,1224704
51,2022-01-01,22:40:56,0.5,ROS_VNF_command,8.6,2084077568,1424752640,31.6,494174208,872001536,670453760,365989888,64266240,653635584,1224704
52,2022-01-01,22:40:57,0.5,ROS_VNF_command,10.5,2084077568,1424850944,31.6,494075904,872099840,670453760,365989888,64266240,653635584,1224704
53,2022-01-01,22:40:57,0.5,ROS_VNF_command,7.6,2084077568,1424982016,31.6,493944832,872230912,670453760,365989888,64266240,653635584,1224704
54,2022-01-01,22:40:58,0.5,ROS_VNF_command,13.8,2084077568,1424891904,31.6,494034944,872132608,670461952,365989888,64274432,653635584,1224704
55,2022-01-01,22:40:58,0.5,ROS_VNF_command,9.8,2084077568,1424859136,31.6,494067712,872099840,670461952,365989888,64274432,653635584,1224704
56,2022-01-01,22:40:59,0.5,ROS_VNF_command,13.0,2084077568,1424859136,31.6,494067712,872099840,670461952,365989888,64274432,653635584,1224704
57,2022-01-01,22:40:59,0.5,ROS_VNF_command,9.6,2084077568,1424957440,31.6,493965312,872198144,670461952,365989888,64274432,653639680,1224704
58,2022-01-01,22:41:00,0.5,ROS_VNF_command,13.3,2084077568,1424863232,31.6,494063616,872099840,670461952,365993984,64274432,653639680,1224704
59,2022-01-01,22:41:00,0.5,ROS_VNF_command,6.6,2084077568,1424896000,31.6,494030848,872132608,670461952,365993984,64274432,653639680,1224704
60,2022-01-01,22:41:01,0.5,ROS_VNF_command,7.6,2084077568,1424928768,31.6,493998080,872165376,670461952,365993984,64274432,653639680,1224704
61,2022-01-01,22:41:01,0.5,ROS_VNF_command,12.9,2084077568,1424830464,31.6,494096384,872067072,670461952,365993984,64274432,653639680,1224704
62,2022-01-01,22:41:02,0.5,ROS_VNF_command,7.5,2084077568,1424830464,31.6,494096384,872067072,670461952,365993984,64274432,653639680,1224704
63,2022-01-01,22:41:02,0.5,ROS_VNF_command,14.7,2084077568,1424736256,31.6,494190592,871968768,670461952,365998080,64274432,653643776,1224704
