iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-27,19:56:44,0.5,ROS_VNF_command,3.1,2084077568,1552269312,25.5,366596096,1007374336,520220672,393666560,59994112,650113024,1150976
1,2021-12-27,19:56:44,0.5,ROS_VNF_command,4.2,2084077568,1552326656,25.5,366616576,1007341568,520314880,393719808,59994112,650125312,1150976
2,2021-12-27,19:56:45,0.5,ROS_VNF_command,1.1,2084077568,1552326656,25.5,366616576,1007341568,520314880,393719808,59994112,650125312,1150976
3,2021-12-27,19:56:45,0.5,ROS_VNF_command,4.1,2084077568,1552326656,25.5,366616576,1007341568,520314880,393719808,59994112,650125312,1150976
4,2021-12-27,19:56:46,0.5,ROS_VNF_command,6.3,2084077568,1561448448,25.1,357494784,1016463360,511111168,393719808,59994112,650125312,1150976
5,2021-12-27,19:56:46,0.5,ROS_VNF_command,4.1,2084077568,1561780224,25.1,357171200,1016786944,511029248,393728000,59994112,650125312,1150976
6,2021-12-27,19:56:47,0.5,ROS_VNF_command,4.2,2084077568,1561845760,25.1,357105664,1016852480,511029248,393728000,59994112,650125312,1150976
7,2021-12-27,19:56:47,0.5,ROS_VNF_command,1.1,2084077568,1561845760,25.1,357105664,1016852480,511029248,393728000,59994112,650125312,1150976
8,2021-12-27,19:56:48,0.5,ROS_VNF_command,4.1,2084077568,1561522176,25.1,357429248,1016528896,511029248,393728000,60006400,650113024,1150976
9,2021-12-27,19:56:48,0.5,ROS_VNF_command,3.1,2084077568,1561559040,25.1,357380096,1016561664,511029248,393728000,60006400,650129408,1150976
10,2021-12-27,19:56:49,0.5,ROS_VNF_command,6.1,2084077568,1561526272,25.1,357412864,1016528896,511029248,393728000,60006400,650129408,1150976
11,2021-12-27,19:56:49,0.5,ROS_VNF_command,1.1,2084077568,1561526272,25.1,357412864,1016528896,511029248,393728000,60006400,650129408,1150976
