iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-27,03:24:52,0.5,ROS_VNF_command,0.0,2084077568,1409572864,32.4,507539456,842248192,680263680,385134592,61665280,672624640,1232896
1,2022-01-27,03:24:53,0.5,ROS_VNF_command,5.5,2084077568,1409474560,32.4,507637760,842149888,680263680,385134592,61665280,672624640,1232896
2,2022-01-27,03:24:53,0.5,ROS_VNF_command,4.4,2084077568,1409540096,32.4,507572224,842215424,680263680,385134592,61665280,672624640,1232896
3,2022-01-27,03:24:54,0.5,ROS_VNF_command,4.4,2084077568,1409572864,32.4,507539456,842248192,680263680,385134592,61665280,672624640,1232896
4,2022-01-27,03:24:54,0.5,ROS_VNF_command,7.5,2084077568,1409572864,32.4,507539456,842248192,680263680,385134592,61665280,672624640,1232896
5,2022-01-27,03:24:55,0.5,ROS_VNF_command,6.5,2084077568,1409474560,32.4,507637760,842149888,680263680,385134592,61665280,672624640,1232896
6,2022-01-27,03:24:55,0.5,ROS_VNF_command,10.8,2084077568,1417367552,32.0,499748864,850030592,672010240,385138688,61673472,672624640,1232896
7,2022-01-27,03:24:56,0.5,ROS_VNF_command,6.5,2084077568,1417334784,32.0,499781632,849997824,672010240,385138688,61673472,672624640,1232896
8,2022-01-27,03:24:56,0.5,ROS_VNF_command,7.5,2084077568,1417367552,32.0,499748864,850030592,672010240,385138688,61673472,672624640,1232896
9,2022-01-27,03:24:57,0.5,ROS_VNF_command,6.5,2084077568,1417367552,32.0,499748864,850030592,672010240,385138688,61673472,672624640,1232896
10,2022-01-27,03:24:57,0.5,ROS_VNF_command,3.4,2084077568,1417560064,32.0,499556352,850223104,672010240,385138688,61673472,672624640,1232896
11,2022-01-27,03:24:58,0.5,ROS_VNF_command,7.5,2084077568,1417560064,32.0,499556352,850223104,672010240,385138688,61673472,672624640,1232896
12,2022-01-27,03:24:58,0.5,ROS_VNF_command,9.6,2084077568,1417527296,32.0,499589120,850190336,672010240,385138688,61673472,672624640,1232896
13,2022-01-27,03:24:59,0.5,ROS_VNF_command,5.5,2084077568,1417527296,32.0,499589120,850190336,672010240,385138688,61673472,672624640,1232896
14,2022-01-27,03:24:59,0.5,ROS_VNF_command,6.5,2084077568,1417527296,32.0,499589120,850190336,672010240,385138688,61673472,672624640,1232896
15,2022-01-27,03:25:00,0.5,ROS_VNF_command,6.5,2084077568,1417494528,32.0,499621888,850157568,672010240,385138688,61673472,672624640,1232896
