iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 02:32:19 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.59%
2 2022-01-03 02:32:21 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 10.90%
3 2022-01-03 02:32:23 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.30%
4 2022-01-03 02:32:25 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.34%
5 2022-01-03 02:32:27 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.18%
6 2022-01-03 02:32:29 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 10.82%
7 2022-01-03 02:32:31 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.20%
8 2022-01-03 02:32:33 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.87%
9 2022-01-03 02:32:35 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.75%
10 2022-01-03 02:32:37 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.30%
11 2022-01-03 02:32:39 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.93%
12 2022-01-03 02:32:41 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.82%
13 2022-01-03 02:32:43 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.16%
14 2022-01-03 02:32:45 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.82%
15 2022-01-03 02:32:47 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.76%
16 2022-01-03 02:32:49 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.44%
17 2022-01-03 02:32:51 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.56%
18 2022-01-03 02:32:53 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.05%
19 2022-01-03 02:32:55 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.15%
20 2022-01-03 02:32:57 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.20%
21 2022-01-03 02:32:59 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 10.82%
22 2022-01-03 02:33:01 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.49%
23 2022-01-03 02:33:03 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.92%
24 2022-01-03 02:33:05 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.33%
25 2022-01-03 02:33:07 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.48%
26 2022-01-03 02:33:09 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.78%
27 2022-01-03 02:33:11 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.61%
28 2022-01-03 02:33:13 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.06%
29 2022-01-03 02:33:15 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.83%
30 2022-01-03 02:33:17 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.82%
31 2022-01-03 02:33:19 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.63%
32 2022-01-03 02:33:21 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.68%
33 2022-01-03 02:33:23 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.28%
34 2022-01-03 02:33:25 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.34%
35 2022-01-03 02:33:27 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.41%
36 2022-01-03 02:33:29 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.50%
37 2022-01-03 02:33:31 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.63%
38 2022-01-03 02:33:33 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.7MiB / 3.844GiB 7.26% 11.39%
39 2022-01-03 02:33:35 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.72%
40 2022-01-03 02:33:37 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.61%
41 2022-01-03 02:33:39 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 13.37%
42 2022-01-03 02:33:41 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.28%
43 2022-01-03 02:33:43 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 10.99%
44 2022-01-03 02:33:46 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.24%
45 2022-01-03 02:33:48 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.35%
46 2022-01-03 02:33:50 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 10.12%
47 2022-01-03 02:33:52 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.75%
48 2022-01-03 02:33:54 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.92%
49 2022-01-03 02:33:56 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.90%
50 2022-01-03 02:33:58 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.70%
51 2022-01-03 02:34:00 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.87%
52 2022-01-03 02:34:02 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.27%
53 2022-01-03 02:34:04 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.21%
54 2022-01-03 02:34:06 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.90%
55 2022-01-03 02:34:08 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.54%
56 2022-01-03 02:34:10 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 10.64%
57 2022-01-03 02:34:12 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.56%
58 2022-01-03 02:34:14 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.27%
59 2022-01-03 02:34:16 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.49%
60 2022-01-03 02:34:18 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.31%
61 2022-01-03 02:34:20 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.54%
62 2022-01-03 02:34:22 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.00%
63 2022-01-03 02:34:24 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 10.81%
64 2022-01-03 02:34:26 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 13.36%
65 2022-01-03 02:34:28 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.79%
66 2022-01-03 02:34:30 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.30%
67 2022-01-03 02:34:32 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.55%
68 2022-01-03 02:34:34 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.74%
69 2022-01-03 02:34:36 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.43%
70 2022-01-03 02:34:38 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.67%
71 2022-01-03 02:34:40 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.41%
72 2022-01-03 02:34:42 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.34%
73 2022-01-03 02:34:44 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.95%
74 2022-01-03 02:34:46 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.26%
75 2022-01-03 02:34:48 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.61%
76 2022-01-03 02:34:50 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.26%
77 2022-01-03 02:34:52 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.70%
78 2022-01-03 02:34:54 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.98%
79 2022-01-03 02:34:56 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 10.69%
80 2022-01-03 02:34:58 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.13%
81 2022-01-03 02:35:00 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.27%
82 2022-01-03 02:35:02 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.42%
83 2022-01-03 02:35:04 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.98%
84 2022-01-03 02:35:06 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.75%
85 2022-01-03 02:35:08 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.71%
86 2022-01-03 02:35:10 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.36%
87 2022-01-03 02:35:12 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.12%
88 2022-01-03 02:35:14 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.45%
89 2022-01-03 02:35:16 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.89%
90 2022-01-03 02:35:19 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.20%
91 2022-01-03 02:35:21 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 12.26%
92 2022-01-03 02:35:23 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 285.5MiB / 3.844GiB 7.25% 11.27%
