iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 01:39:29 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 343.9MiB / 3.844GiB 8.74% 18.75%
2 2022-01-03 01:39:31 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 343.9MiB / 3.844GiB 8.74% 17.49%
3 2022-01-03 01:39:33 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344MiB / 3.844GiB 8.74% 20.33%
4 2022-01-03 01:39:35 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344MiB / 3.844GiB 8.74% 18.88%
5 2022-01-03 01:39:37 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 343.9MiB / 3.844GiB 8.74% 20.33%
6 2022-01-03 01:39:39 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 343.9MiB / 3.844GiB 8.74% 18.26%
7 2022-01-03 01:39:42 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.32%
8 2022-01-03 01:39:44 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344MiB / 3.844GiB 8.74% 17.99%
9 2022-01-03 01:39:46 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344MiB / 3.844GiB 8.74% 20.74%
10 2022-01-03 01:39:48 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344MiB / 3.844GiB 8.74% 17.44%
11 2022-01-03 01:39:50 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344MiB / 3.844GiB 8.74% 18.08%
12 2022-01-03 01:39:52 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344MiB / 3.844GiB 8.74% 18.22%
13 2022-01-03 01:39:54 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 19.67%
14 2022-01-03 01:39:56 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.05%
15 2022-01-03 01:39:58 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 19.83%
16 2022-01-03 01:40:00 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 19.79%
17 2022-01-03 01:40:02 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.51%
18 2022-01-03 01:40:04 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 21.10%
19 2022-01-03 01:40:06 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.63%
20 2022-01-03 01:40:08 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 19.29%
21 2022-01-03 01:40:10 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.06%
22 2022-01-03 01:40:12 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 17.46%
23 2022-01-03 01:40:14 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 19.03%
24 2022-01-03 01:40:16 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.45%
25 2022-01-03 01:40:18 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 18.87%
26 2022-01-03 01:40:20 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 18.48%
27 2022-01-03 01:40:22 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 19.78%
28 2022-01-03 01:40:24 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 20.43%
29 2022-01-03 01:40:26 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 19.26%
30 2022-01-03 01:40:28 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 17.55%
31 2022-01-03 01:40:30 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 19.25%
32 2022-01-03 01:40:32 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.75%
33 2022-01-03 01:40:34 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 21.90%
34 2022-01-03 01:40:36 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.51%
35 2022-01-03 01:40:38 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 20.10%
36 2022-01-03 01:40:40 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 17.93%
37 2022-01-03 01:40:42 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.15%
38 2022-01-03 01:40:44 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 17.73%
39 2022-01-03 01:40:46 ROS_VNF_interface 04a9b9fa0766 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 17.70%
