iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 03:05:39 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 18.03%
2 2022-01-03 03:05:41 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 20.29%
3 2022-01-03 03:05:43 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 17.75%
4 2022-01-03 03:05:45 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 21.05%
5 2022-01-03 03:05:47 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 17.38%
6 2022-01-03 03:05:49 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.1MiB / 3.844GiB 8.74% 18.06%
7 2022-01-03 03:05:51 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 17.62%
8 2022-01-03 03:05:53 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 18.01%
9 2022-01-03 03:05:55 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 19.93%
10 2022-01-03 03:05:57 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 19.50%
11 2022-01-03 03:05:59 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 18.96%
12 2022-01-03 03:06:01 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.21%
13 2022-01-03 03:06:03 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 16.86%
14 2022-01-03 03:06:05 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 20.64%
15 2022-01-03 03:06:07 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 19.18%
16 2022-01-03 03:06:09 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.02%
17 2022-01-03 03:06:11 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 20.73%
18 2022-01-03 03:06:13 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 20.65%
19 2022-01-03 03:06:15 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 17.63%
20 2022-01-03 03:06:17 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 18.33%
21 2022-01-03 03:06:19 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 16.89%
22 2022-01-03 03:06:21 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.5MiB / 3.844GiB 8.75% 18.47%
23 2022-01-03 03:06:23 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.16%
24 2022-01-03 03:06:25 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 21.82%
25 2022-01-03 03:06:27 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 16.48%
26 2022-01-03 03:06:29 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 18.84%
27 2022-01-03 03:06:31 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 19.83%
28 2022-01-03 03:06:33 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.74% 18.75%
29 2022-01-03 03:06:35 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 19.67%
30 2022-01-03 03:06:37 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.2MiB / 3.844GiB 8.75% 18.59%
31 2022-01-03 03:06:39 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.3MiB / 3.844GiB 8.75% 18.63%
32 2022-01-03 03:06:41 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 18.33%
33 2022-01-03 03:06:43 ROS_VNF_interface a438aec6c253 interfacemaster_robot_1 344.4MiB / 3.844GiB 8.75% 19.64%
