iteration date time machine/VNF container name MemUsage / MemTot MemPerc CPUPerc
1 2022-01-03 00:46:21 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.71% 18.35%
2 2022-01-03 00:46:23 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.71% 17.08%
3 2022-01-03 00:46:25 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.71% 17.58%
4 2022-01-03 00:46:27 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.71% 17.84%
5 2022-01-03 00:46:29 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.71% 15.43%
6 2022-01-03 00:46:31 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.71% 17.67%
7 2022-01-03 00:46:33 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.71% 16.78%
8 2022-01-03 00:46:35 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.71% 16.74%
9 2022-01-03 00:46:37 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.04%
10 2022-01-03 00:46:39 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 16.81%
11 2022-01-03 00:46:41 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.15%
12 2022-01-03 00:46:43 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.53%
13 2022-01-03 00:46:45 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 16.86%
14 2022-01-03 00:46:47 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 18.69%
15 2022-01-03 00:46:49 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 16.90%
16 2022-01-03 00:46:51 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 15.81%
17 2022-01-03 00:46:53 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.17%
18 2022-01-03 00:46:55 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.60%
19 2022-01-03 00:46:57 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 16.78%
20 2022-01-03 00:46:59 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.36%
21 2022-01-03 00:47:01 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 16.14%
22 2022-01-03 00:47:03 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.60%
23 2022-01-03 00:47:05 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.10%
24 2022-01-03 00:47:07 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.70%
25 2022-01-03 00:47:09 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.18%
26 2022-01-03 00:47:11 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 15.18%
27 2022-01-03 00:47:13 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 16.27%
28 2022-01-03 00:47:15 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 16.88%
29 2022-01-03 00:47:17 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 17.24%
30 2022-01-03 00:47:19 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343MiB / 3.844GiB 8.72% 16.94%
31 2022-01-03 00:47:21 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343.1MiB / 3.844GiB 8.72% 16.81%
32 2022-01-03 00:47:23 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343.1MiB / 3.844GiB 8.72% 17.62%
33 2022-01-03 00:47:26 ROS_VNF_interface 2c1795412272 interfacemaster_robot_1 343.1MiB / 3.844GiB 8.72% 17.91%
