iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-25,10:10:56,0.5,ROS_VNF_interface,16.9,4127342592,1288650752,68.8,2570293248,788004864,2676363264,348893184,64688128,704356352,1654784
1,2022-01-25,10:10:56,0.5,ROS_VNF_interface,15.7,4127342592,1288519680,68.8,2570424320,787873792,2676363264,348893184,64688128,704356352,1654784
2,2022-01-25,10:10:57,0.5,ROS_VNF_interface,18.6,4127342592,1288814592,68.8,2570129408,788168704,2676363264,348893184,64688128,704356352,1654784
3,2022-01-25,10:10:57,0.5,ROS_VNF_interface,17.9,4127342592,1288851456,68.8,2570096640,788201472,2676391936,348897280,64688128,704356352,1654784
4,2022-01-25,10:10:58,0.5,ROS_VNF_interface,19.3,4127342592,1288724480,68.8,2570227712,788070400,2676449280,348901376,64688128,704356352,1654784
5,2022-01-25,10:10:58,0.5,ROS_VNF_interface,15.7,4127342592,1288626176,68.8,2570326016,787972096,2676486144,348901376,64688128,704356352,1654784
6,2022-01-25,10:10:59,0.5,ROS_VNF_interface,28.9,4127342592,1296056320,68.6,2562883584,795402240,2668613632,348901376,64700416,704356352,1654784
7,2022-01-25,10:10:59,0.5,ROS_VNF_interface,25.0,4127342592,1296068608,68.6,2562883584,795402240,2668568576,348901376,64700416,704356352,1654784
8,2022-01-25,10:11:00,0.5,ROS_VNF_interface,23.6,4127342592,1295970304,68.6,2562981888,795303936,2668568576,348901376,64700416,704356352,1654784
9,2022-01-25,10:11:00,0.5,ROS_VNF_interface,19.0,4127342592,1296003072,68.6,2562949120,795336704,2668568576,348901376,64700416,704356352,1654784
10,2022-01-25,10:11:01,0.5,ROS_VNF_interface,31.8,4127342592,1296068608,68.6,2562883584,795402240,2668568576,348901376,64700416,704356352,1654784
11,2022-01-25,10:11:01,0.5,ROS_VNF_interface,27.1,4127342592,1296035840,68.6,2562916352,795369472,2668568576,348901376,64700416,704356352,1654784
12,2022-01-25,10:11:02,0.5,ROS_VNF_interface,19.8,4127342592,1296035840,68.6,2562916352,795369472,2668568576,348901376,64700416,704356352,1654784
13,2022-01-25,10:11:02,0.5,ROS_VNF_interface,28.6,4127342592,1296035840,68.6,2562916352,795369472,2668568576,348901376,64700416,704356352,1654784
14,2022-01-25,10:11:03,0.5,ROS_VNF_interface,18.1,4127342592,1296265216,68.6,2562686976,795598848,2668568576,348901376,64700416,704356352,1654784
15,2022-01-25,10:11:03,0.5,ROS_VNF_interface,18.8,4127342592,1296134144,68.6,2562818048,795467776,2668568576,348901376,64700416,704356352,1654784
16,2022-01-25,10:11:04,0.5,ROS_VNF_interface,16.0,4127342592,1295970304,68.6,2562981888,795303936,2668568576,348901376,64700416,704356352,1654784
17,2022-01-25,10:11:04,0.5,ROS_VNF_interface,28.2,4127342592,1296134144,68.6,2562809856,795467776,2668568576,348901376,64708608,704356352,1654784
18,2022-01-25,10:11:05,0.5,ROS_VNF_interface,17.1,4127342592,1296134144,68.6,2562809856,795467776,2668568576,348901376,64708608,704356352,1654784
19,2022-01-25,10:11:05,0.5,ROS_VNF_interface,33.8,4127342592,1296134144,68.6,2562809856,795467776,2668568576,348901376,64708608,704356352,1654784
20,2022-01-25,10:11:06,0.5,ROS_VNF_interface,31.3,4127342592,1296134144,68.6,2562809856,795467776,2668568576,348901376,64708608,704356352,1654784
21,2022-01-25,10:11:06,0.5,ROS_VNF_interface,27.3,4127342592,1296068608,68.6,2562875392,795402240,2668568576,348901376,64708608,704356352,1654784
22,2022-01-25,10:11:07,0.5,ROS_VNF_interface,34.1,4127342592,1296199680,68.6,2562744320,795533312,2668568576,348901376,64708608,704356352,1654784
23,2022-01-25,10:11:07,0.5,ROS_VNF_interface,32.1,4127342592,1296166912,68.6,2562777088,795500544,2668568576,348901376,64708608,704356352,1654784
24,2022-01-25,10:11:08,0.5,ROS_VNF_interface,35.3,4127342592,1296068608,68.6,2562875392,795402240,2668568576,348901376,64708608,704356352,1654784
25,2022-01-25,10:11:08,0.5,ROS_VNF_interface,26.8,4127342592,1296003072,68.6,2562940928,795336704,2668568576,348901376,64708608,704356352,1654784
26,2022-01-25,10:11:09,0.5,ROS_VNF_interface,27.2,4127342592,1296207872,68.6,2562744320,795533312,2668576768,348901376,64708608,704356352,1654784
27,2022-01-25,10:11:09,0.5,ROS_VNF_interface,24.1,4127342592,1296076800,68.6,2562875392,795402240,2668576768,348901376,64708608,704356352,1654784
28,2022-01-25,10:11:10,0.5,ROS_VNF_interface,26.8,4127342592,1296207872,68.6,2562732032,795533312,2668576768,348901376,64716800,704360448,1654784
29,2022-01-25,10:11:10,0.5,ROS_VNF_interface,27.7,4127342592,1296076800,68.6,2562863104,795402240,2668576768,348901376,64716800,704360448,1654784
30,2022-01-25,10:11:11,0.5,ROS_VNF_interface,24.1,4127342592,1296228352,68.6,2562732032,795533312,2668560384,348921856,64716800,704360448,1654784
31,2022-01-25,10:11:11,0.5,ROS_VNF_interface,27.2,4127342592,1296171008,68.6,2562830336,795435008,2668539904,348954624,64716800,704360448,1654784
32,2022-01-25,10:11:12,0.5,ROS_VNF_interface,26.8,4127342592,1296105472,68.6,2562895872,795369472,2668539904,348954624,64716800,704360448,1654784
33,2022-01-25,10:11:12,0.5,ROS_VNF_interface,28.9,4127342592,1296236544,68.6,2562764800,795500544,2668539904,348954624,64716800,704360448,1654784
34,2022-01-25,10:11:13,0.5,ROS_VNF_interface,25.9,4127342592,1296269312,68.6,2562732032,795533312,2668539904,348954624,64716800,704360448,1654784
35,2022-01-25,10:11:13,0.5,ROS_VNF_interface,25.0,4127342592,1296007168,68.6,2562994176,795271168,2668539904,348954624,64716800,704360448,1654784
36,2022-01-25,10:11:14,0.5,ROS_VNF_interface,30.2,4127342592,1296203776,68.6,2562797568,795467776,2668539904,348954624,64716800,704360448,1654784
37,2022-01-25,10:11:14,0.5,ROS_VNF_interface,26.3,4127342592,1296236544,68.6,2562764800,795500544,2668539904,348954624,64716800,704360448,1654784
38,2022-01-25,10:11:15,0.5,ROS_VNF_interface,25.9,4127342592,1296039936,68.6,2562961408,795303936,2668539904,348954624,64716800,704360448,1654784
39,2022-01-25,10:11:15,0.5,ROS_VNF_interface,25.9,4127342592,1296171008,68.6,2562830336,795435008,2668539904,348954624,64724992,704352256,1654784
40,2022-01-25,10:11:16,0.5,ROS_VNF_interface,25.9,4127342592,1296236544,68.6,2562756608,795500544,2668539904,348954624,64724992,704360448,1654784
41,2022-01-25,10:11:16,0.5,ROS_VNF_interface,23.8,4127342592,1296138240,68.6,2562854912,795402240,2668539904,348954624,64724992,704360448,1654784
42,2022-01-25,10:11:17,0.5,ROS_VNF_interface,26.2,4127342592,1296171008,68.6,2562822144,795435008,2668539904,348954624,64724992,704360448,1654784
43,2022-01-25,10:11:17,0.5,ROS_VNF_interface,26.8,4127342592,1296007168,68.6,2562985984,795271168,2668539904,348954624,64724992,704360448,1654784
44,2022-01-25,10:11:18,0.5,ROS_VNF_interface,28.6,4127342592,1296203776,68.6,2562789376,795467776,2668539904,348954624,64724992,704360448,1654784
45,2022-01-25,10:11:18,0.5,ROS_VNF_interface,27.2,4127342592,1296171008,68.6,2562822144,795435008,2668539904,348954624,64724992,704360448,1654784
46,2022-01-25,10:11:19,0.5,ROS_VNF_interface,28.6,4127342592,1296138240,68.6,2562854912,795402240,2668539904,348954624,64724992,704360448,1654784
47,2022-01-25,10:11:19,0.5,ROS_VNF_interface,26.3,4127342592,1296105472,68.6,2562887680,795369472,2668539904,348954624,64724992,704360448,1654784
48,2022-01-25,10:11:20,0.5,ROS_VNF_interface,29.1,4127342592,1296236544,68.6,2562756608,795500544,2668539904,348954624,64724992,704360448,1654784
49,2022-01-25,10:11:20,0.5,ROS_VNF_interface,31.4,4127342592,1296236544,68.6,2562756608,795500544,2668539904,348954624,64724992,704360448,1654784
50,2022-01-25,10:11:21,0.5,ROS_VNF_interface,28.2,4127342592,1296138240,68.6,2562846720,795402240,2668539904,348954624,64733184,704360448,1654784
51,2022-01-25,10:11:21,0.5,ROS_VNF_interface,25.3,4127342592,1296072704,68.6,2562912256,795336704,2668539904,348954624,64733184,704360448,1654784
52,2022-01-25,10:11:22,0.5,ROS_VNF_interface,26.5,4127342592,1296269312,68.6,2562715648,795533312,2668539904,348954624,64733184,704360448,1654784
53,2022-01-25,10:11:22,0.5,ROS_VNF_interface,28.9,4127342592,1296171008,68.6,2562813952,795435008,2668539904,348954624,64733184,704360448,1654784
54,2022-01-25,10:11:23,0.5,ROS_VNF_interface,28.2,4127342592,1296236544,68.6,2562748416,795500544,2668539904,348954624,64733184,704360448,1654784
55,2022-01-25,10:11:23,0.5,ROS_VNF_interface,30.2,4127342592,1296171008,68.6,2562813952,795435008,2668539904,348954624,64733184,704360448,1654784
56,2022-01-25,10:11:24,0.5,ROS_VNF_interface,31.8,4127342592,1296175104,68.6,2562809856,795435008,2668544000,348958720,64733184,704364544,1654784
57,2022-01-25,10:11:24,0.5,ROS_VNF_interface,27.7,4127342592,1296044032,68.6,2562940928,795303936,2668544000,348958720,64733184,704364544,1654784
58,2022-01-25,10:11:25,0.5,ROS_VNF_interface,20.8,4127342592,1296207872,68.6,2562777088,795467776,2668544000,348958720,64733184,704364544,1654784
59,2022-01-25,10:11:25,0.5,ROS_VNF_interface,34.2,4127342592,1296207872,68.6,2562777088,795467776,2668544000,348958720,64733184,704364544,1654784
60,2022-01-25,10:11:26,0.5,ROS_VNF_interface,26.9,4127342592,1296109568,68.6,2562867200,795369472,2668544000,348958720,64741376,704364544,1654784
61,2022-01-25,10:11:26,0.5,ROS_VNF_interface,28.2,4127342592,1296142336,68.6,2562834432,795402240,2668544000,348958720,64741376,704364544,1654784
62,2022-01-25,10:11:27,0.5,ROS_VNF_interface,25.3,4127342592,1296142336,68.6,2562834432,795402240,2668544000,348958720,64741376,704364544,1654784
63,2022-01-25,10:11:27,0.5,ROS_VNF_interface,30.0,4127342592,1296207872,68.6,2562768896,795467776,2668605440,348958720,64741376,704364544,1654784
64,2022-01-25,10:11:28,0.5,ROS_VNF_interface,28.8,4127342592,1296240640,68.6,2562736128,795500544,2668605440,348958720,64741376,704364544,1654784
65,2022-01-25,10:11:28,0.5,ROS_VNF_interface,26.9,4127342592,1296109568,68.6,2562867200,795369472,2668605440,348958720,64741376,704364544,1654784
66,2022-01-25,10:11:29,0.5,ROS_VNF_interface,29.9,4127342592,1296175104,68.6,2562801664,795435008,2668605440,348958720,64741376,704364544,1654784
67,2022-01-25,10:11:29,0.5,ROS_VNF_interface,29.6,4127342592,1296175104,68.6,2562801664,795435008,2668605440,348958720,64741376,704364544,1654784
68,2022-01-25,10:11:30,0.5,ROS_VNF_interface,30.4,4127342592,1295978496,68.6,2562998272,795238400,2668605440,348958720,64741376,704364544,1654784
69,2022-01-25,10:11:30,0.5,ROS_VNF_interface,27.2,4127342592,1296109568,68.6,2562867200,795369472,2668605440,348958720,64741376,704364544,1654784
70,2022-01-25,10:11:31,0.5,ROS_VNF_interface,25.9,4127342592,1296240640,68.6,2562736128,795500544,2668605440,348958720,64741376,704364544,1654784
71,2022-01-25,10:11:31,0.5,ROS_VNF_interface,28.0,4127342592,1296207872,68.6,2562760704,795467776,2668605440,348958720,64749568,704364544,1654784
72,2022-01-25,10:11:32,0.5,ROS_VNF_interface,26.5,4127342592,1296207872,68.6,2562760704,795467776,2668605440,348958720,64749568,704364544,1654784
73,2022-01-25,10:11:32,0.5,ROS_VNF_interface,21.1,4127342592,1296175104,68.6,2562793472,795435008,2668605440,348958720,64749568,704364544,1654784
74,2022-01-25,10:11:33,0.5,ROS_VNF_interface,23.4,4127342592,1296273408,68.6,2562695168,795533312,2668605440,348958720,64749568,704364544,1654784
75,2022-01-25,10:11:33,0.5,ROS_VNF_interface,26.3,4127342592,1296142336,68.6,2562826240,795402240,2668605440,348958720,64749568,704364544,1654784
76,2022-01-25,10:11:34,0.5,ROS_VNF_interface,28.6,4127342592,1296109568,68.6,2562859008,795369472,2668605440,348958720,64749568,704364544,1654784
77,2022-01-25,10:11:34,0.5,ROS_VNF_interface,19.3,4127342592,1296142336,68.6,2562826240,795402240,2668605440,348958720,64749568,704364544,1654784
78,2022-01-25,10:11:35,0.5,ROS_VNF_interface,15.0,4127342592,1296142336,68.6,2562826240,795402240,2668605440,348958720,64749568,704364544,1654784
79,2022-01-25,10:11:35,0.5,ROS_VNF_interface,39.8,4127342592,1296142336,68.6,2562826240,795402240,2668605440,348958720,64749568,704364544,1654784
80,2022-01-25,10:11:36,0.5,ROS_VNF_interface,32.5,4127342592,1296076800,68.6,2562891776,795336704,2668605440,348958720,64749568,704364544,1654784
81,2022-01-25,10:11:36,0.5,ROS_VNF_interface,30.4,4127342592,1296142336,68.6,2562826240,795402240,2668605440,348958720,64749568,704364544,1654784
82,2022-01-25,10:11:37,0.5,ROS_VNF_interface,30.9,4127342592,1296338944,68.6,2562621440,795598848,2668605440,348958720,64757760,704364544,1654784
83,2022-01-25,10:11:37,0.5,ROS_VNF_interface,32.5,4127342592,1296175104,68.6,2562785280,795435008,2668605440,348958720,64757760,704364544,1654784
84,2022-01-25,10:11:38,0.5,ROS_VNF_interface,33.7,4127342592,1296273408,68.6,2562686976,795533312,2668605440,348958720,64757760,704364544,1654784
85,2022-01-25,10:11:38,0.5,ROS_VNF_interface,31.3,4127342592,1296142336,68.6,2562813952,795402240,2668605440,348958720,64757760,704368640,1654784
86,2022-01-25,10:11:39,0.5,ROS_VNF_interface,28.8,4127342592,1296207872,68.6,2562748416,795467776,2668605440,348958720,64757760,704368640,1654784
