iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,18:50:07,0.3,ROS_VNF_driver,0.0,4127342592,3683135488,10.8,218750976,3395502080,258080768,343752704,47509504,465580032,1081344
1,2021-12-29,18:50:07,0.3,ROS_VNF_driver,0.0,4127342592,3683164160,10.8,218759168,3395502080,258174976,343760896,47509504,465571840,1081344
2,2021-12-29,18:50:07,0.3,ROS_VNF_driver,0.0,4127342592,3683164160,10.8,218759168,3395502080,258174976,343760896,47509504,465571840,1081344
3,2021-12-29,18:50:08,0.3,ROS_VNF_driver,0.0,4127342592,3683164160,10.8,218759168,3395502080,258174976,343760896,47517696,465563648,1081344
4,2021-12-29,18:50:08,0.3,ROS_VNF_driver,0.0,4127342592,3683164160,10.8,218759168,3395502080,258174976,343760896,47517696,465563648,1081344
5,2021-12-29,18:50:08,0.3,ROS_VNF_driver,0.0,4127342592,3683164160,10.8,218750976,3395502080,258174976,343760896,47517696,465571840,1081344
6,2021-12-29,18:50:09,0.3,ROS_VNF_driver,0.0,4127342592,3683164160,10.8,218750976,3395502080,258174976,343760896,47517696,465571840,1081344
7,2021-12-29,18:50:09,0.3,ROS_VNF_driver,0.0,4127342592,3683164160,10.8,218750976,3395502080,258174976,343760896,47517696,465571840,1081344
8,2021-12-29,18:50:09,0.3,ROS_VNF_driver,1.6,4127342592,3683160064,10.8,218755072,3395497984,257150976,343760896,47517696,465571840,1081344
9,2021-12-29,18:50:10,0.3,ROS_VNF_driver,0.0,4127342592,3683160064,10.8,218755072,3395497984,257150976,343760896,47517696,465571840,1081344
10,2021-12-29,18:50:10,0.3,ROS_VNF_driver,0.0,4127342592,3683160064,10.8,218755072,3395497984,257150976,343760896,47517696,465571840,1081344
11,2021-12-29,18:50:10,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
12,2021-12-29,18:50:10,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
13,2021-12-29,18:50:11,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
14,2021-12-29,18:50:11,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
15,2021-12-29,18:50:11,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
16,2021-12-29,18:50:12,0.3,ROS_VNF_driver,1.6,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
17,2021-12-29,18:50:12,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
18,2021-12-29,18:50:12,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
19,2021-12-29,18:50:13,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
20,2021-12-29,18:50:13,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218734592,3395518464,257118208,343769088,47517696,465571840,1081344
21,2021-12-29,18:50:13,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
22,2021-12-29,18:50:13,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
23,2021-12-29,18:50:14,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
24,2021-12-29,18:50:14,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
25,2021-12-29,18:50:14,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
26,2021-12-29,18:50:15,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
27,2021-12-29,18:50:15,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
28,2021-12-29,18:50:15,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
29,2021-12-29,18:50:16,0.3,ROS_VNF_driver,1.3,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
30,2021-12-29,18:50:16,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218726400,3395518464,257118208,343769088,47525888,465571840,1081344
31,2021-12-29,18:50:16,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218722304,3395518464,257118208,343769088,47525888,465575936,1081344
32,2021-12-29,18:50:17,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218722304,3395518464,257118208,343769088,47525888,465575936,1081344
33,2021-12-29,18:50:17,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218722304,3395518464,257118208,343769088,47525888,465575936,1081344
34,2021-12-29,18:50:17,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218722304,3395518464,257118208,343769088,47525888,465575936,1081344
35,2021-12-29,18:50:17,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218722304,3395518464,257118208,343769088,47525888,465575936,1081344
36,2021-12-29,18:50:18,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218722304,3395518464,257118208,343769088,47525888,465575936,1081344
37,2021-12-29,18:50:18,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218722304,3395518464,257118208,343769088,47525888,465575936,1081344
38,2021-12-29,18:50:18,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218722304,3395518464,257118208,343769088,47525888,465575936,1081344
39,2021-12-29,18:50:19,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
40,2021-12-29,18:50:19,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
41,2021-12-29,18:50:19,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
42,2021-12-29,18:50:20,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
43,2021-12-29,18:50:20,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
44,2021-12-29,18:50:20,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
45,2021-12-29,18:50:21,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
46,2021-12-29,18:50:21,0.3,ROS_VNF_driver,1.6,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
47,2021-12-29,18:50:21,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
48,2021-12-29,18:50:21,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
49,2021-12-29,18:50:22,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
50,2021-12-29,18:50:22,0.3,ROS_VNF_driver,0.0,4127342592,3683196928,10.8,218714112,3395518464,257118208,343769088,47534080,465575936,1081344
