iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-27,13:13:19,0.5,ROS_VNF_interface,41.9,2084077568,62988288,97.0,1879826432,84492288,928747520,827527168,10936320,108822528,749568
1,2022-01-27,13:13:20,0.5,ROS_VNF_interface,36.0,2084077568,62926848,97.0,1879855104,84393984,928796672,827645952,10948608,108879872,749568
2,2022-01-27,13:13:20,0.5,ROS_VNF_interface,44.4,2084077568,62750720,97.0,1880002560,84201472,928878592,827609088,10948608,108924928,749568
3,2022-01-27,13:13:21,0.5,ROS_VNF_interface,31.8,2084077568,62828544,97.0,1879920640,84267008,928894976,827641856,10948608,108941312,749568
4,2022-01-27,13:13:21,0.5,ROS_VNF_interface,31.8,2084077568,62783488,97.0,1879945216,84201472,928915456,827682816,10948608,108982272,749568
5,2022-01-27,13:13:22,0.5,ROS_VNF_interface,35.3,2084077568,72114176,96.5,1870610432,93519872,924798976,823144448,10948608,108998656,749568
6,2022-01-27,13:13:22,0.5,ROS_VNF_interface,44.3,2084077568,71868416,96.6,1870839808,93257728,924803072,823181312,10948608,109031424,749568
7,2022-01-27,13:13:23,0.5,ROS_VNF_interface,44.0,2084077568,71864320,96.6,1870790656,93229056,924844032,823263232,10948608,109109248,749568
8,2022-01-27,13:13:23,0.5,ROS_VNF_interface,41.4,2084077568,71794688,96.6,1870852096,93130752,924864512,823316480,10948608,109146112,749568
9,2022-01-27,13:13:24,0.5,ROS_VNF_interface,38.1,2084077568,71729152,96.6,1870917632,93065216,924864512,823316480,10948608,109146112,749568
10,2022-01-27,13:13:24,0.5,ROS_VNF_interface,38.6,2084077568,72085504,96.5,1870561280,93421568,924950528,823316480,10948608,109146112,749568
11,2022-01-27,13:13:25,0.5,ROS_VNF_interface,37.6,2084077568,72015872,96.5,1870573568,93323264,925011968,823373824,10956800,109223936,749568
12,2022-01-27,13:13:25,0.5,ROS_VNF_interface,36.6,2084077568,72081408,96.5,1870516224,93356032,925028352,823427072,10956800,109248512,749568
13,2022-01-27,13:13:26,0.5,ROS_VNF_interface,42.7,2084077568,72155136,96.5,1870426112,93388800,925052928,823513088,10956800,109305856,749568
14,2022-01-27,13:13:26,0.5,ROS_VNF_interface,34.6,2084077568,72212480,96.5,1870331904,93421568,925106176,823558144,10956800,109367296,749568
15,2022-01-27,13:13:27,0.5,ROS_VNF_interface,42.9,2084077568,72155136,96.5,1870376960,93356032,925106176,823574528,10956800,109387776,749568
16,2022-01-27,13:13:27,0.5,ROS_VNF_interface,34.6,2084077568,71888896,96.6,1870626816,93065216,925114368,823627776,10956800,109428736,749568
17,2022-01-27,13:13:28,0.5,ROS_VNF_interface,39.5,2084077568,71974912,96.5,1870532608,93130752,925130752,823668736,10956800,109457408,749568
18,2022-01-27,13:13:28,0.5,ROS_VNF_interface,39.3,2084077568,72028160,96.5,1870458880,93163520,925130752,823709696,10956800,109498368,749568
19,2022-01-27,13:13:29,0.5,ROS_VNF_interface,31.3,2084077568,72167424,96.5,1870090240,93163520,925134848,824029184,10956800,109867008,749568
20,2022-01-27,13:13:29,0.5,ROS_VNF_interface,39.8,2084077568,72163328,96.5,1870102528,93097984,925151232,824147968,10956800,109920256,749568
21,2022-01-27,13:13:30,0.5,ROS_VNF_interface,48.9,2084077568,71839744,96.6,1870397440,92774400,925151232,824147968,10964992,109940736,749568
22,2022-01-27,13:13:30,0.5,ROS_VNF_interface,32.5,2084077568,71675904,96.6,1870573568,92581888,925159424,824201216,10964992,109957120,749568
23,2022-01-27,13:13:31,0.5,ROS_VNF_interface,35.2,2084077568,71733248,96.6,1870491648,92614656,925167616,824242176,10964992,110006272,749568
24,2022-01-27,13:13:31,0.5,ROS_VNF_interface,36.8,2084077568,71667712,96.6,1870557184,92549120,925167616,824242176,10964992,110006272,749568
25,2022-01-27,13:13:32,0.5,ROS_VNF_interface,55.4,2084077568,71741440,96.6,1870442496,92581888,925204480,824324096,10964992,110088192,749568
26,2022-01-27,13:13:32,0.5,ROS_VNF_interface,40.2,2084077568,71786496,96.6,1870368768,92614656,925204480,824348672,10964992,110129152,749568
27,2022-01-27,13:13:33,0.5,ROS_VNF_interface,32.1,2084077568,71802880,96.6,1870352384,92614656,925208576,824385536,10964992,110145536,749568
28,2022-01-27,13:13:33,0.5,ROS_VNF_interface,30.1,2084077568,71782400,96.6,1870360576,92581888,925224960,824406016,10964992,110170112,749568
29,2022-01-27,13:13:34,0.5,ROS_VNF_interface,39.5,2084077568,71540736,96.6,1870561280,92323840,925229056,824442880,10964992,110227456,749568
30,2022-01-27,13:13:34,0.5,ROS_VNF_interface,36.0,2084077568,71540736,96.6,1870553088,92323840,925229056,824442880,10964992,110235648,749568
31,2022-01-27,13:13:35,0.5,ROS_VNF_interface,43.0,2084077568,71565312,96.6,1870503936,92323840,925233152,824487936,10973184,110276608,749568
32,2022-01-27,13:13:35,0.5,ROS_VNF_interface,30.6,2084077568,71499776,96.6,1870548992,92258304,925233152,824487936,10973184,110297088,749568
33,2022-01-27,13:13:36,0.5,ROS_VNF_interface,40.0,2084077568,71565312,96.6,1870467072,92258304,925261824,824614912,10973184,110379008,749568
34,2022-01-27,13:13:36,0.5,ROS_VNF_interface,28.4,2084077568,71696384,96.6,1870336000,92389376,925261824,824614912,10973184,110379008,749568
35,2022-01-27,13:13:37,0.5,ROS_VNF_interface,34.9,2084077568,71585792,96.6,1870426112,92258304,925294592,824655872,10973184,110419968,749568
36,2022-01-27,13:13:37,0.5,ROS_VNF_interface,36.9,2084077568,71585792,96.6,1870401536,92229632,925319168,824709120,10973184,110473216,749568
37,2022-01-27,13:13:38,0.5,ROS_VNF_interface,30.1,2084077568,71585792,96.6,1870393344,92229632,925319168,824709120,10973184,110481408,749568
38,2022-01-27,13:13:38,0.5,ROS_VNF_interface,29.6,2084077568,71557120,96.6,1870405632,92196864,925323264,824717312,10973184,110501888,749568
39,2022-01-27,13:13:39,0.5,ROS_VNF_interface,25.6,2084077568,71491584,96.6,1870471168,92131328,925323264,824717312,10973184,110501888,749568
